taxonID,vernacularName,identifier,source,language,,,,,,,,,,,,,,,
wfo-7000000231,Beech Family,A60AAB1A-8525-487F-B78F-B5570D11FEC1,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000249,Maidenhair Tree Family,06F310F2-7D25-4FF3-9009-7CEC35113AF9,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000251,Forking Fern Family,2D924A38-3506-43DE-97DE-B165ECA05086,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000266,Bloodwort Family,E7E2E5B5-6823-42A8-8FEC-1DC576884D66,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000269,Witch-hazel Family,05C22DDF-ECEF-4C38-BEAE-8785BBD5266F,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000286,Tape-grass or Frog-bit Family,C202006E-9EDD-47B9-970A-183373E7AECD,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000290,Filmy Fern Family,9274A689-8A26-4FDF-8E2E-7E9F2FE9D7D5,,,,,,,,,,,,,,2004-05-21,,,2012-10-26
wfo-7000000299,Iris Family,3D8890C9-6028-4EF8-BF5D-49A0DCADE64E,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000309,Walnut Family,FF6F44F1-4BFE-446C-97E0-1129B99BC1DC,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000310,Rush Family,B73F2672-BE77-44EB-92BE-B928C14A16B1,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000311,Arrow-grass Family,E8D06B5F-D021-4B52-9186-8EE688B8B45B,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000320,Lardizabala Family,BD8E26E9-9F1F-4313-AEEA-F41099B915F7,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000321,Laurel Family,03C573D7-F433-48DD-B361-8EA544143EBB,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000336,Lily Family,44458774-61A5-48E2-B2EB-7EF61161272A,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000354,Club moss Family,7FFE0946-2EA6-4CC2-89E5-D8ACE5F2B31E,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000355,Climbing Ferns,E98528A0-7434-44A5-8596-48BD3C8DCF30,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000357,Magnolia Family,D38DB3C4-EAB4-4DAE-860B-966DE3379C83,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000361,"Arrowroot or Prayer-plant Family, maranta",4969B062-9E2A-418D-8163-402F9FF1B13B,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000365,Water clover Family,03BB5D97-8E6F-40DB-BB07-085374F76237,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000369,Mayaca or Bog-moss Family,1AEA20BB-E6AD-4E91-9B4C-F41CFF6751B9,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000375,Moonseed Family,5E42AB7B-759E-4AAE-A034-D66254869D67,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000395,Mulberry Family,F81CDF2E-B11A-4778-9E23-248E3D7BFAE3,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000398,Banana Family,B39572E2-4AA1-4B80-B340-2F8C3CFD2C08,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000400,Wax-myrtle Family,26EA4430-40A5-4C88-BC58-B7021EFEFC3E,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000408,Lotus-lily family,7EC16E53-F783-4D12-A747-E0D9B93B0E3C,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000416,Four-o’clock Family,4F921AEC-6783-4D38-A5E0-6996A088994D,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000417,Water-lily Family,B6859AED-2B44-426A-8690-D427137F7D74,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000427,Adder's tongue Family,A9A1D1EC-A38A-4A27-B725-C11D7A01F97B,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000429,Orchid Family,D38F4F30-B353-40B4-9693-09DF6EC93E25,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000433,Royal Fern Family,79577BB1-B912-46B6-8B3F-03C90BBD8F95,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000466,Pokeweed Family,C2434B58-0894-4FBA-B8D9-577CB8C5FC63,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000470,Pine Family,FB6DEF3C-BA32-422B-9F7A-7F8D2D3596C8,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-7000000471,Pepper family,945C8E2B-3FD2-49BD-9F89-F5A4CC6E7C71,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000477,Plane-tree Family,941AB82B-FA5C-47E3-9BBB-B3C023EADC3A,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000482,Leadwort Family,6C5595F8-9DD1-499D-8C2A-2AD074102231,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-7000000488,Buckwheat Family,4E4FB1AA-B1AA-4198-8119-0BA5E1FAAD8C,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-7000000489,Polypody Family,1B2F2895-E6BE-4FDB-8764-90E8AA16C3D0,,,,,,,,,,,,,,2004-05-21,,,2011-07-12
wfo-7000000491,Pickerel-weed Family,6FBB66F9-A8BB-4F1F-8E84-05990D3489E3,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000493,Purslane Family,FD88E913-0DEC-42E5-8808-DCD94729D853,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000495,Pondweed Family,F12771AC-97EA-4B8E-AD7C-73BAF25AF182,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000502,Whisk fern Family,19833883-62C0-4CDB-B4E3-F8EA9C0C0274,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000503,Maidenhair Fern Family,DFA59CC8-144E-4CB6-94C5-026E49B9A928,,,,,,,,,,,,,,2004-05-21,,,2008-05-13
wfo-7000000514,Crowfoot Family,8EBB8589-0C14-4A88-B9DB-EB3BBC10F4B7,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000542,Floating Fern or Water Spangle Family,7CE9E279-335D-4D22-B84A-FF1D11D44529,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000549,Lizard's-tail Family,B47C23F6-93C9-45C4-87DC-F23A676B31FF,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000552,Scheuchzeria Family,7A0B7963-8420-48CF-94CA-6D5908150525,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000553,Star-vine Family,24B0A908-8D74-4359-8793-C619AB3794B2,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000556,Curly Grass Family,A6CD6001-6C52-4E30-BC3C-9C013342F6E5,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000571,Catbrier Family,ECC774E7-2AA1-42E6-9F40-C4CEB23DFC60,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000584,Stemona Family,B739326A-227C-4326-B554-B3EC5C5A8360,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000599,Yew Family,9F5E8CAC-8885-4AF8-B894-B6E8774A79DD,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000609,Marsh Fern Family,B6CB6CE0-EC9A-4725-AA8D-806F2859BBA8,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000629,Cat-tail Family,32D717ED-FEFF-4908-B56A-A53305C438B8,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000630,Elm Family,138D72D8-AB42-459D-BCFB-41F357606A4B,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000631,Nettle Family,1744A0CE-4067-4145-826F-126E21C78D32,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000649,Yellow-eyed-grass Family,A2573D66-4D3B-471A-9D44-11C3960D5588,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000650,Sago-palm Family,C47FB784-1A77-4295-8C2A-FB305349C68F,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000651,Ginger Family,800ED0E2-03CA-42E8-A168-41884FA6F47F,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-7000000652,Eel-grass Family,B7BCA180-74B2-414D-B44F-0E8E4D168079,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000004,Sweet-Flag Family,BD1B7F79-233A-44D7-9F3B-C77DAB80C0C0,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000274,"Heliconia, False Bird-of-paradise, Family , Heliconia Family, or Lobster-claw Family",DC216DD5-CBD7-4C75-9A3D-3951B0F59F55,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000388,Carpet-weed Family,7590B11F-BF45-4E10-A8B2-D1D9C13EF615,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000535,Ditch-grass Family,48563DEF-3156-4312-AFDA-62DC34EB5BFF,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-4000000038,Fir [Latin name of a European fir],AFA3E563-C6F5-4096-B35A-75830B26DF62,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000000042,"[for Peder Chritian Abildgaard, 1740–1801, Danish professor of verterinary medicine]",8A3C3C9B-A35D-4058-AB35-3F82402E49F1,,,,,,,,,,,,,,2004-05-21,,,2004-03-08
wfo-4000000056,"Sand-verbena [Greek <i>abros</i>, delicate or graceful]",6961DB5D-3732-44B8-B322-C3B023CFFA39,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000000104,"[Greek <i>akantha</i>, thorn, and <i>Cereus</i>, a genus of cacti]",F89DECAB-DA35-4447-8C24-E0F6BF453E02,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000000151,"Flowery puncturebract [Greek <i>acantha</i>, thorn, and <i>scyphos</i>, cup, alluding to awn on involucre]",ABFFA4A1-99BD-4949-B750-873F919EE650,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-4000000178,"[Greek <i>a</i>-, without, and <i>kaulos</i>, stalk or stem, alluding to stemless habit]",327449EC-1593-4FAD-B526-75F1E77CA5C0,,,,,,,,,,,,,,2007-07-14,,,2007-07-14
wfo-4000000226,"[Greek Achlus, a god of night]",EB7B35A2-CF49-4947-8B39-0B54AA97680C,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000000251,"Chaff-flower [Greek <i>achyron</i>, chaff, and <i>anthos</i>, flower]",8215E2EF-F2E2-46B0-A329-A5CC04D55BC1,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000260,"Onyx flower, frost-mat [Greek <i>achuron</i>, chaff, and <i>onyx</i>, <i>onychos</i>, nail or fingernail, alluding to the chaffy sepals]",CB4026EC-4491-41BD-A7C3-1C75AC427A8A,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-4000000308,"Trumpets [Greek <i>a</i>, without, <i>cleis</i>, thing that closes, and <i>anthos</i>, flower; alluding to lack of involucre]",C44AF4D0-33D7-498F-B59E-4A393B92FEEB,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000000341,"Monkshood, aconite, wolfsbane, aconit [according to Pliny, the name ""aconite"" is taken from the ancient Black Sea port Aconis]",4F49309A-B670-41D3-9CA1-156C59AF783E,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000342,"[Greek <i>acon</i>, whetstone, and <i>gone</i>, seed, perhaps alluding to rough seeds]",F5F1B98A-2C0B-4385-8E1F-C4FC49DDAB5B,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-4000000350,"Sweet-flag [Latin form of Greek akoron, presumably an ancient plant name]",52AC09FD-4F36-4BF3-ADE2-D345F23E109C,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000409,"Coyol, gru-gru [Greek akron, summit, and kome, hairs of the head, in reference to the high crown of leaves; akrokomos, with leaves at the top, said especially of palms]",A1767F50-D49F-4E89-AD75-BF8C50E07D94,,,,,,,,,,,,,,2004-05-21,,,2004-08-19
wfo-4000000472,"Leather fern [Greek acros, at the end, tip, and stichos, row, referring to the distal spore-bearing pinnae]",B9636851-9EB1-4AF0-A87D-51B91AD4E4E8,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000488,"Baneberry, necklaceweed, cohosh, actée [Greek, aktea, ancient name for the elder, probably for leaf similarity]",3A6A995A-E2F0-4EB2-B8FE-43ECBA20471B,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000530,"Ray spiked fern [Greek aktis, ray, and stachys, spike, referring to the rays of the fertile leaves]",1AB342A7-737D-49B3-ABA8-0C9FE23C8BF4,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000000695,"Maidenhair fern [Greek adiantos, unwetted, for the glabrous leaves, which shed raindrops]",B099F98E-2002-45BE-896C-4BCDEA7FDAB9,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000720,"Pheasant's-eye, adonis [Greek mythology: sprouted from blood of Adonis, lover of Aphrodite, based on the blood red flowers]",B1FEF7A2-586E-4373-8B29-1539968EE2B5,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000928,"Century plant [Greek agave, noble or admirable]",6341D168-844E-4EA4-85F6-A127595C6E5B,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000000929,"[A mythi-cal hermaphrodite monster, in reference to the original inclusion in Menispermaceae, where it was the only genus with bisexual flowers]",8BBA4CF6-DBE9-4E64-9BAD-DC92CA325255,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000000994,"[Greek <i>agros</i>, field, and <i>stemma</i>, crown or wreath, alluding to the flowers' use in garlands]",D09B5B70-B0D1-4B92-971A-2DC6C35095DF,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-4000001066,"[Japanese akebi, name for Akebia quinata]",23A5C2E9-9369-4758-AC71-59F9CCFF0E37,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000001156,"Colic-root, stargrass  [Greek aletris, a female slave who ground corn, alluding to the mealy texture of the perianths]",3231F57F-193C-4570-9674-922F2C50832B,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000001209,"Water-plantain [ancient Greek name, adopted by Linnaeus from Dioscorides]",899FBA27-BDF2-412E-B411-DD1DC0C93A89,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000001247,"Iodine bush [for Robert Allen Rolfe, English botanist, 1855-1921]",38C32D70-1F07-4FD2-BAED-1E2AE68C9729,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000001253,"[For C. Allioni, 1725-1804, Italian botanist]",B35DD62A-19A4-432E-AD7B-C2B31EFE1BD9,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000001260,"Onion [Latin, classical name for garlic]",41F64450-1107-4BC3-B898-1514010856C4,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000001331,"Alder, aulne, aune [Latin alnus, alder]",D9BACF41-3813-4E72-BE3B-A5AAB390B0A9,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000001343,"[Genus <i>Aloë</i> and Latin -<i>ina</i>, resembling, alluding to fleshy leaves]",D7498710-2B19-423C-901A-9FAAAEFF2CE7,,,,,,,,,,,,,,2007-07-14,,,2007-07-14
wfo-4000001355,"Pinewoods-lily, purple pleat-leaf [Greek a, not, and lophos, crest, referring to the absence of style crests]",01FF5E5C-2A9C-4878-85D6-DBC745AFCFFE,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000001368,Ginger-lily [for Italian botanist Prosper Alpinus (1553--1617)],92ED4861-DF78-4E25-B029-6E2D6344BAD6,,,,,,,,,,,,,,2004-05-21,,,2004-08-20
wfo-4000001413,"[Latin <i>alternans</i>, alternating, and <i>anthera</i>, anther, referring to the alternation of pseudostaminodes and stamens]",E2DA66D8-60D6-4CA9-B08D-C98385F22702,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000001466,"Amaranth, pigweed [Greek <i>amarantos</i>, unfading, nonwithering]",5DF82A9F-B4ED-4156-9D5F-5CA981DDCED2,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000001596,"Fly-poison, crow-poison, St. Elmo’s-feather, staggergrass [merged Greek amiantos, unsoiled, and anthos, flower, alluding to the glandless tepals]",7EC44746-B181-4894-B9C9-89FDF6AEBBA8,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000001739,"[Greek amphi-, doubtful, ambiguous, and Latin scirpus, bulrush]",FCA356A7-4754-44D5-8CB8-F32399E00EF5,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000001913,"[Greek <i>ankistron</i>, fish hook, referring to hooked central spines, and <i>Cactus</i>, an old genus name]",0F3BEE44-7EEA-4CDD-AF02-480873F58D74,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000001968,"[For J. G. R. Andreae, 1724-1793, apothecary of Hanover, Germany]",381FCAB0-DB28-406D-A753-6778DB04FF08,,,,,,,,,,,,,,2007-07-14,,,2007-07-14
wfo-4000001970,"[Genus <i>Andreaea</i> and Greek <i>bryon</i>, moss, alluding to anomalous resemblance]",508F473B-15BD-44EA-8120-04F597E9CF22,,,,,,,,,,,,,,2007-07-14,,,2007-07-14
wfo-4000002020,"Funnel-lily [Greek andros, stamen, and stephanos, crown, alluding to the apical appendages of the united filaments]",CF53C958-C518-4D22-B417-146ECDF922C2,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000002042,"[Greek aneimon, without clothing, referring to the absence of blade protection for the sporangia]",A60729D3-5521-48A6-8D23-ED4F06A42974,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000002053,"Windflower, anémone [etymology not clear: probably Greek anemos, wind; possibly from Naaman, Semitic name for Adonis, whose blood, according to myth, produced Anemone coronaria ]",08F5C5DF-ECDD-4B33-AA4C-702639A3BEA3,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000002061,"Yerba mansa [Greek anemone, the windflower, and opsis, appearance]",CA8D7017-61F4-43D9-9755-581A30A39E39,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000002240,"Custard-apple, soursop, alligator-apple [native Hispaniolan anon or hanon, given to A . muricata ]",E245074B-8E97-493E-91D7-028F8EBD4D83,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000002260,"[Greek <i>anoiktos,</i> opened, and <i>angos</i>, container, alluding to wide-mouthed capsule]",12E39421-B96D-449F-9203-15AEC794EE9C,,,,,,,,,,,,,,2007-07-14,,,2007-07-14
wfo-4000002346,"Madeira-vine [for Anreder, about whom nothing else is known]",23634898-FCCF-4F93-8CE0-7773220753AE,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000002487,"Coralvine, Mexican creeper, corona de la reina, Confederate-vine [etymology uncertain; perhaps Greek <i>anti-</i>, against, and <i>gony</i>, knee, alluding to angled stems, or Greek anti-, in place of, and genus <i>Polygonum</i>, alluding to affinity]",A79FE575-D26F-4A75-AD4B-E0BEAB5BE472,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-4000002543,"Ringstem [Latin <i>anulus</i>, ring, and <i>caule</i>, stem, in reference to the sticky internodal rings]",6B8E29C5-D5A0-449D-AA80-910B56C60612,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-4000002674,"Putty-root, Adam-and-Eve, aplectrum d’hiver [Greek a, without, and plectron, spur]",FA75431D-5BBD-4425-B814-EF6D199F6D53,,,,,,,,,,,,,,2004-05-21,,,2015-11-17
wfo-4000002734,"[Greek, from aquatic habitat]",EEBEE833-D4B0-4D04-8DE7-FF6AA5836463,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000002782,"[Greek a, without, and pteron, wing]",4AEC5A02-742D-49F4-9E73-2B909EC2F3D5,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000002807,"Columbine, ancolie",F294CBA5-E70D-4217-B8FA-09BA6E3EFD69,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000002821,"East Indian holly fern [Greek arachnion, spider's web, and -odes, having the form or nature of; it has been suggested that Blume saw fungal hyphae or spider webs on his original material]",2604B9E5-83E2-4B5A-A568-97061D324690,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000002898,"[Greek <i>arche</i>, primitive form or nature, alluding to small, simple plants and cleistocarpous capsule]",9563A00E-1CF5-4255-B998-C11042C3A78B,,,,,,,,,,,,,,2007-07-14,,,2007-07-14
wfo-4000002921,"[Greek <i>arktos,</i> bear, alluding to an arctic or northern distribution]",8F1487F5-D30A-4EE0-995F-1C33008BA20B,,,,,,,,,,,,,,2007-07-14,,,2007-07-14
wfo-4000002927,"Desert bearclaw-poppy [Greek arktos, bear, alluding to the long-pilose pubescence, and mekon, poppy]",4735BCF4-94DB-4847-8D8D-99C0E764C64D,,,,,,,,,,,,,,2004-05-21,,,2003-10-30
wfo-4000002959,"Sandwort, sabline [Latin <i>arena</i>, sand, a common habitat]",130B89E0-7C93-4E7F-9D77-371A8AFEC870,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-4000002965,"Arethusa, dragon’s-mouth, aréthuse [Greek Arethusa, mythical river nymph]",1471ED88-7210-4903-9EDE-36BCA3D30D44,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-4000002974,Prickly-poppy [a poppylike herb mentioned by Pliny],AD5A312A-9E3B-4958-A641-DE512CBD85C3,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
