WFO-ID,Fl.Afr.centr.-ID,family,tribe/subfam.,genus,specificEpithet,infraspecificEpithet,scientificnameauthorship,taxonRank,taxon abbr. lookup,taxon abbr.,scientificnamelookup,scientificname,parentNameUsageID,typematerial,morphology,Classification,distribution,habitat,conservation,use,vernacular names,Notes/Observations,Key,Key as PDF,bibliographicCitation,other data,,,
wfo-4000006709,FAC002013000,Cyperaceae,,Carex,,,L.,genus,,,Carex,Carex,FAC002012000,,"Herbes généralement vivaces, rarement annuelles, cespiteuses ou rhizomateuses, formant parfois des touffes denses et surélevées (touradons) ; tiges florifères simples, de section triangulaire à angles aigus ou ± arrondis, rarement arrondies, lisses ou scabres. Feuilles généralement présentes, glabres ou plus rarement poilues ; gaines entourant souvent longuement la tige ; ligule et parfois aussi antiligule présente(s) à la jonction entre gaine et limbe ; limbe linéaire (en Afrique), court ou long, rigide, caréné et dressé, ou mou et retombant, plat, plié ou enroulé, lisse ou scabre au bord. Inflorescences terminales, de structure très variable (voir planche 12), formées d’épis sessiles ou pédonculés, solitaires ou plusieurs en panicule spiciforme, ou en panicule plus complexe, ramifiée ou pas, lâche ou dense ; bractées engainantes ou pas, glumacées, sétacées ou foliacées, plus courtes ou plus longues que l’épi ou l’inflorescence ; gaine membraneuse (appelée prophylle) parfois présente à l’insertion du pédoncule de l’épi sur la tige. Épillets à 1(ou 2) fleur(s), chacun sous-tendu par une glume ; utricule en forme d’outre aplatie ou renflée, avec une face convexe et une face plane ou concave, rétrécie au sommet en bec ± long et souvent bifide, à surface lisse ou nervurée, glabre ou poilue, parfois scabre au bord. Fleurs : les mâles avec (1 à)3 étamines ; les femelles à ovaire uniovulé et style à 2 ou 3 branches. Akène plan-convexe, biconvexe ou trigone, restant inclus dans l’utricule à maturité.",voir « Classification » sous la tribu « Cariceae » ci-dessus.,"Genre cosmopolite, comptant au sens large, environ 2150 espèces, surtout diversifié dans les régions tempérées ou froides de l’hémisphère nord. En zone intertropicale, les espèces poussent surtout dans les montagnes. En Afrique, environ 160 espèces sont présentes, dont 22 dans le territoire de cette Flore (22 en République démocratique du Congo, 16 au Rwanda et 7 au Burundi), exclusivement en altitude (700-4300 m), dans les régions montagneuses à l’Est et au Sud du territoire de la Flore.",,,,,"1. Chez les Carex, il n’est pas rare de trouver des épis présentant des anomalies dans l’arrangement des fleurs mâles et femelles. Des hybrides peuvent aussi se former entre beaucoup d’espèces. D’autres anomalies sont fréquemment observées, comme la contamination des inflorescences par une moisissure noire (Farysia sp.) ou la présence d’utricules hypertrophiés et ± difformes liée à une infection parasitaire.
2. Le traitement des espèces proposé pour cette Flore s’appuie principalement sur les publications suivantes : Gehrke (2011), Hoenselaar & al. (2010), Escudero & Luceño (2011), Robyns & Tournay (1955).
3. Dans le texte ci-après, par commodité, on appellera « glume femelle » une glume sous-tendant une fleur femelle y compris son utricule et « glume mâle » une glume sous-tendant une fleur mâle.
4. C. erythrorrhiza, qui se distingue de C. conferta et de C. lycurus par ses racines rouges, est parfois cité comme présent en République démocratique du Congo, mais nous n’avons trouvé aucun échantillon provenant de ce pays. Les spécimens identifiés auparavant comme « C. erythrorrhiza » et examinés à BR correspondent à C. lycurus subsp. scabrida (= C. erythrorrhiza var. scabrida). Cependant, l’observation en herbier des racines n’est pas toujours évidente, car elles manquent régulièrement.","1.	-	Inflorescence formée d’un seul épi terminal simple (planche 12D) 
	 1. C. runssoroensis
	-	Inflorescence formée de plusieurs épis ou paniculée, parfois contractée et spiciforme (planche 12E-I) 	 2
2.	-	Inflorescence terminale ± spiciforme, compacte ou lobulée, parfois discontinue, composée d’épis individuels courts, sessiles ou courtement pédonculés (planche 12E) 	 3
	-	Inflorescence composée d’inflorescences partielles en épis ou panicules, sessiles ou pédonculées, groupées vers le haut ou espacées le long de la tige (planche 12F-I) 	 5
3.	-	Utricule avec 0 à 5 nervures discrètes sur la face convexe et sans nervures nettes sur la face concave 	 2a. C. conferta var. leptosaccus
	-	Utricule avec 6 à 9 nervures distinctes sur la face convexe et 3 à 5 nervures sur la face concave (3. C. lycurus) 	 4
4.	-	Plante généralement robuste ; tige de 40–120 cm ; limbe foliaire large 
de (6–)7–11 mm ; inflorescence longue de 6–12 cm
			................................................................... 3a. C. lycurus subsp. lycurus
	-	Plante plus basse ; tige de 15–60 cm ; limbe foliaire large de 2–6(–7) mm ; inflorescence longue de 1–8 cm 	 3b. C. lycurus subsp. scabrida
5.	-	Inflorescence constituée de plusieurs épis bien individualisés, ± longs et denses, fusiformes ou cylindriques, souvent pédonculés, issus par 1 à 3 des gaines foliaires intermédiaires et supérieures (planche 12H) 	 6
	-	Inflorescence paniculée ou ± répartie le long de la tige, sans longs épis denses (planche 12F, G, I) 	 17
6.	-	Glume femelle terminée par une longue pointe ciliée ; utricule large et aplati ; style à 2 branches 	 4a. C. papillosissima subsp. katangensis
	-	Glume femelle avec ou sans pointe ciliée ; utricule ± épais ; style à 3 branches (parfois quelques fleurs avec un style bifide) 	 7
7.	-	Épis les plus grands dépassant 8 cm de longueur, longuement pédonculés, pendants ; limbe foliaire large de 10–20 mm ; utricule à bec court, de < 0,5 mm 	 5a. C. bequaertii subsp. bequaertiii
	-	Épis longs de 1–10 cm, sessiles ou pédonculés, pendants ou pas ; si épis longs de plus de 8 cm alors utricule à bec de > 0,7 mm ; limbe foliaire large de 3–15 mm 	 8
8.	-	Inflorescence constituée de 4 à 7 épis denses, sessiles ou subsessiles, dressés et groupés au sommet de la tige (épi inférieur parfois un peu écarté des autres et courtement pédonculé) ; utricule habituellement renflé et étalé à maturité 	 6. C. congolensis
	-	Au moins quelques épis écartés des autres, pédonculés (au moins ceux de la base), souvent pendants à maturité ; utricule rarement renflé 	 9
9.	-	Utricule nettement incurvé 	 7. C. vallis-rosetto
	-	Utricule droit 	 10
10.	-	Utricule à bec tronqué ou bidenté (sinus dorsal de < 0,1 mm) ; principaux limbes foliaires généralement large de > 11 mm ; au moins une partie des épis issus par 3 ou 4 des gaines foliaires
	 8. C. mildbraediana
	-	Utricule à bec ± bifide (sinus dorsal de > 0,2 mm) ; limbe foliaire large de < 12 mm ; épis issus par 1 ou 2 des gaines foliaires 	 11
11.	-	Utricule à stipe de 0,4–1,4 mm ; gaines basales et glumes femelles pourpre foncé à presque noires (9. C. simensis) 	 12
	-	Utricule sessile ou à stipe de < 0,3 mm ; gaines basales et glumes de couleur claire ou foncée 	 13
12.	-	Utricule long de 5,5–6,5 mm (stipe non compris) ; limbe foliaire large de 8–12 mm 	 9a. C. simensis var. simensis
	-	Utricule long de 4,5–5 mm (stipe non compris) ; limbe foliaire large de 4–6 mm 	 9b. C. simensis var. lanuriensis
13.	-	Gaines basales et gaines des feuilles inférieures de couleur foncée, de brun foncé à pourpre foncé 	 14
	-	Gaines basales et gaines des feuilles inférieures de couleur plus claire, de jaune paille à brun clair ou brun rougeâtre clair 	 15
14.	-	Glume femelle opaque, pourpre à violette 
	 10a. C. mannii subsp. mannii
	-	Glume femelle hyaline, brun à brun rougeâtre pâle 
	 11a. C. fischeri subsp. fischeri
15.	-	Au moins 2 épis latéraux ayant des fleurs mâles à la base (parfois seulement quelques-unes) et des fleurs femelles au-dessus ; épi large, cylindrique ou claviforme ; utricule à bec aculéolé ou très rarement lisse 	 12a. C. petitiana subsp. petitiana
	-	Aucun ou 1(ou 2) épi latéral ayant des fleurs mâles à la base et des fleurs femelles au-dessus ; épi étroit, ellipsoïde à claviforme ; utricule à bec lisse (11. C. fischeri) 	 16
16.	-	Glume femelle hyaline, brun pâle ou brun-rougeâtre clair, jamais violacée ; limbe foliaire non rigide 	 11a. C. fischeri subsp. fischeri
	-	Glume femelle opaque, brun-rougeâtre foncé ou violacée ; limbe foliaire rigide 	 11b. C. fischeri subsp. recedens
17(5).	- Utricule long de 7–12 mm 	 18
	-	Utricule long de 2–6(–7) mm 	 19
18.	-	Épis longs de 10–45(–70) mm, linéaires, grêles ; glume femelle brun pâle à pourpre, plus courte que l’utricule 	 13. C. johnstonii
	-	Épis longs de 10–15 mm, ovales-lancéolés, denses ; glume femelle pourpre, égalant l’utricule 	 14. C. biegensis
19.	-	Utricule long de 2–3 mm ; vestige d’épillet présent dans l’utricule (Planche 29E-H) ; inflorescence très grêle (planche 12G)
			................................................................................. 15. C. schimperiana
	-	Utricule long de 3–7 mm ; sans vestige d’épillet dans l’utricule ; inflorescence grêle ou dense (planche 12I) 	 20
20. 	-	Inflorescences secondaires matures souvent pendantes, denses, avec le rachis peu visible ; épillets insérés sur le rachis sous un angle de moins de 30° ; utricule long de 5–7 mm, très progressivement rétréci en bec conique long de 1,5–2,2 mm, scabre au moins sur les nervures ; glumes avec arête longue de < 1,5 mm 	 16. C. steudneri
	-	Inflorescences secondaires matures avec des épillets plus espacés et un rachis visible (au moins sur les nœuds inférieurs) ; épillets insérés sur le rachis sous un angle de moins ou de plus de 30° (souvent entre 45–90°) ; si le bec des utricules est ≥ 1,5 mm de longueur, alors les glumes à arête ≥ 1,5 mm de longueur 	 21
21.	-	Rachis de l’inflorescence toujours à faces glabres et angles poilus ; limbe foliaire large de 3–6 mm ; utricule long de 5–6 mm (bec compris) 	 17. C. macrophyllidion
	-	Rachis de l’inflorescence à faces et angles poilus (au moins sous les nœuds) ; limbe foliaire large de 4–12 mm ; utricule long de 3–5,5 mm (bec compris) 	 22
22.	-	Glume femelle longue de 5–6 mm (arête comprise) ; base de la plante généralement densément couverte des restes fibreux des vieilles gaines foliaires 	 23
	-	Glume femelle longue de 3,5–5 mm (arête comprise) ; vieilles gaines foliaires se décomposant seulement légèrement en fibres 	 24
23.	-	Limbe foliaire large de 5–8 mm ; gaine des feuilles basales rougeâtre foncé ; utricule glabrescent ou parfois légèrement hispide vers le haut 	 18. C. angolensis
	-	Limbe foliaire large de 8–11 mm ; gaine des feuilles basales brune ou jaunâtre ; utricule densément hispide au moins vers le haut 
			.......................................................................................19. C. tricholepis
24. 	- 	Glume femelle brun cuivré à brun rougeâtre foncé, longue de 3,5–4 mm (arête comprise) 	 20. C. spicatopaniculata
	-	Glume femelle verdâtre à brun pâle, souvent dépassant 4 mm (arête comprise) 	 25
25.	-	Utricule long de 4–5(–5,5) mm (bec compris), progressivement rétréci en un bec fin, long de 1,5–2,2 mm (presque aussi long que le corps), lisse ou légèrement scabre 	 21. C. chlorosaccus
	-	Utricule long de 3–4 mm (bec compris), assez abruptement rétréci en un bec long de < 1,5 mm, nettement plus court que le corps, finement poilu 	 22a. C. echinochoe subsp. echinochloe",,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000350863,FAC002013001,Cyperaceae,,Carex,runssoroensis,,K.Schum.,species,,,Carex runssoroensis,Carex runssoroensis,FAC002013000,"République démocratique du Congo, Ruwenzori, vallée de la Butahu, 3800 m, juin 1891, Stuhlmann 2454 (holo- : B†, lecto- : K).",,,,,,,,,,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000919196,FAC002013002,Cyperaceae,,Carex,runssoroensis,runssoroensis,,variety,var.,var.,Carex runssoroensis var. runssoroensis,Carex runssoroensis var. runssoroensis,FAC002013001,,"Herbe vivace, à rhizome court, formant des touffes denses de 0,5–1 m de diamètre et ± surélevées (touradons) ; tige de 20–60 cm × 1–2 mm, cylindrique, vert glauque, finement striée longitudinalement, rigide, non scabre. Feuille : gaine brun jaunâtre à marron ; limbe très court, souvent long de < 6 cm, brun, raide. Inflorescence en épi solitaire terminal, androgyne, long de 2–5 cm, large de 3–5 mm pour la partie mâle et 5–10 mm pour la partie femelle ; bractée basale longue de 5–15 mm, encerclant la base de l’épi, brun pâle à foncé avec la marge hyaline, échancrée au sommet, à nervure centrale prolongée souvent par une courte arête scabre. Épillet sessile ; glume femelle lancéolée, de 5–8 × 1,5–2 mm, assez épaisse, raide, à pointe souvent recourbée (parfois cassée), marron devenant plus foncé vers le sommet, à nervure centrale plus pâle ; utricule comprimé, de contour obovale, de 3,5–5 × 1,2–2 mm (bec inclus), caché par sa glume, brun jaunâtre devenant plus foncé vers le bec, à quelques nervures longitudinales discrètes, à marges scabres, brusquement rétréci en bec long de 0,7–1 mm, étroit, brun noirâtre et bifide à dents longues de 0,3 mm. Fleur : style à 2 branches. Akène de contour elliptique, aplati, de 1,4 × 0,8 mm.",,"Dans le territoire de la Flore, répandu au Rwanda et en République démocratique du Congo, dans les montagnes des Virunga et du Rwenzori ; ailleurs, présent seulement au Kenya et en Ouganda.","Alpages, zones marécageuses ; dans le territoire de la Flore, entre 3400 et 4250 m d’altitude, où il peut occuper de grandes étendues, ailleurs à partir de 2700 m.","Préoccupation mineure (LC) ; statut selon la liste rouge de l’IUCN, évalué par Beentje (2017a).",,busumo (en kinyaruanda).,"1. C’est le seul Carex sur le territoire de cette Flore avec un épi terminal solitaire.
2. La var. aberdarensis Kük., trouvée au Kenya, a les tiges plus fines que la variété type et les glumes femelles à marge hyaline.",,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000345652,FAC002013003,Cyperaceae,,Carex,conferta,,Hochst. ex A.Rich.,species,,,Carex conferta,Carex conferta,FAC002013000,"Éthiopie, prope Enschedcap, 31 juil. 1839, Schimper 576 (lecto- : P [P00798669], désigné ici ; isolecto- : BM, BR, E, GOET, HOH, JE, K, LG, M, MO, P, S, STU, TUB).",,,,,,,,,,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000345655,FAC002013004,Cyperaceae,,Carex,conferta,leptosaccus,(C.B.Clarke) Lye,variety,var.,var.,Carex conferta var. leptosaccus,Carex conferta var. leptosaccus,FAC002013003,"Tanzanie, Mt Kilimanjaro, sept. 1884, Thompson s.n. (holo- : K).","Herbe vivace, à rhizomes rampants, à tiges ± espacées le long du rhizome ; racines brunes ; tige de 25–60 cm, triquètre, scabre sur les angles. Feuille : gaines basales brunâtre ; limbe large de 2–6 mm, égalant ou dépassant la tige, scabre à la marge et sur la nervure centrale. Inflorescence en panicule spiciforme étroite, lobulée, ± discontinue, longue de 2,5–7 cm, à rameaux inférieurs plus développés et portant chacun plusieurs épis ; bractée basale sétacée, très scabre, généralement plus longue que le rameau inférieur mais plus courte que l’inflorescence ; épis individuels ovoïdes, longs de 5–10 mm, sessiles ou presque, androgynes (parfois quelques épis exclusivement femelles). Épillet : glume longue de 3,0–3,5 mm, pointue au sommet, translucide se teintant de roux à maturité, à large nervure centrale pâle et ailes membraneuses, ; utricule obliquement dressé, sur stipe court, de contour ovale, dépassant souvent sa glume, long de 3,5–4 mm (bec inclus), verdâtre devenant blanchâtre ou roussâtre, à marge étroitement ailée et grossièrement dentée, à face convexe lisse ou avec 2 à 5 nervures discrètes, l’autre face souvent lisse (à observer à maturité, lorsque l’akène remplit l’utricule), à bec courtement bifide, long de ± 1,5 mm (30–50% de la longueur totale de l’utricule), scabre. Fleur : style à 2 branches très longues. Akène de contour ovale à elliptique et de section presque plan-convexe, de ± 1,8–2 × 1 mm, brun foncé à maturité.",,"Dans le territoire de la Flore, trouvé au Burundi, au Rwanda et en République démocratique du Congo dans la région des Lacs Édouard et Kivu ; ailleurs, connu en Éthiopie, au Kenya, en Tanzanie et en Ouganda.","Clairières humides dans la forêt de bambous, bords des eaux aux étages montagnard et subalpin ; dans le territoire de la Flore à 1900–3100 m d’altitude, ailleurs jusqu’à 3600 m.","Préoccupation mineure (LC) ; statut selon la liste rouge de l’IUCN, évalué par Beentje & Juffe Bignoli (2017).",,"urukembafuga, urukembakufa (en kinyaruanda).","1. Hoenselaar & al. (2010) regroupent les 2 variétés car, selon eux, il existe en Afrique de l’Est de nombreux spécimens intermédiaires difficiles à rattacher à une variété plutôt qu’à une autre. La variété type est présente en Afrique de l’Est et se distingue de la variété leptosaccus surtout par son utricule à bec plus court.
2. À l’inverse, Gehrke (2011) considère que C. leptosaccus est une espèce valide, intermédiaire entre C. conferta et C. lycurus. et propose une définition large de C. leptosaccus incluant C. erythrorrhiza var. scabrida (= C. lycurus subsp. scabrida). Cette définition large ne me semble pas cohérente avec la description de C.B. Clarke et le type de C. leptosaccus et elle n’est pas retenue ici (voir aussi la Note 3 sous C. lycurus ci-dessous).
3. C. conferta var. leptosaccus se distingue souvent de C. lycurus subsp. scabrida par ses utricules à nervures longitudinales discrètes ou absentes (vs. 7 à 9 nervures saillantes). On trouve cependant des spécimens intermédiaires, en particulier au Rwanda, difficiles à rattacher selon ce critère, à une espèce plutôt qu’à une autre.",,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000348554,FAC002013005,Cyperaceae,,Carex,lycurus,,K.Schum.,species,,,Carex lycurus,Carex lycurus,FAC002013000,"Tanzanie, Monts Usambara – Heboma, mars 1893, Holst 2554 (lecto- : K [K000363454]).",,,,,,,,,,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000918835,FAC002013006,Cyperaceae,,Carex,lycurus,lycurus,,subspecies,subsp.,subsp.,Carex lycurus subsp. lycurus,Carex lycurus subsp. lycurus,FAC002013005,,"Herbe vivace, robuste, pouvant dépasser 1,5 m de hauteur, cespiteuse, à rhizome ligneux court ; racines brun pâle ; tige de 40–120 cm, triquètre, scabre sur les angles au moins sous l’inflorescence, très feuillée à la base. Feuille : gaines basales brun pâle ; limbe plan, large de (6–)7–11 mm, à marge légèrement scabre. Inflorescence en panicule terminale spiciforme, lobulée ou discontinue, de 6–12 × 1–3 cm ; inflorescences partielles constituées d’un épi sessile ou les basales souvent ramifiées et portant plusieurs épis ; bractées généralement < 5 cm de long, sétacées ; épis individuels longs de 5–10 mm, majoritairement femelles avec quelques fleurs mâles au sommet, avec les glumes et les utricules étalées à maturité (aspect hérissé). Épillet : glume longue de ± 3 mm, pointue ou subulée au sommet, à large bande centrale blanchâtre, à ailes membraneuses, teintées de brun orangé ou de marron et avec une bordure incolore ± large ; utricule ovale-lancéolé, plan-convexe, dépassant sa glume, de 3,2–4,5 (bec inclus) × 1,1–1,6 mm, vert à brun pâle ou foncé, à face convexe avec 7 à 9 nervures longitudinales distinctes, face plane avec 3 à 5 nervures, à bec long (environ 50% de la longueur de l’utricule), à marge aculéolée. Fleur : style à 2 branches. Akène obovoïde, biconvexe, long de 1,5–2 mm en incluant la base persistante du style, brun.",,"Dans le territoire de la Flore, présent au Burundi et à l’est de la République démocratique du Congo ; ailleurs, présent en Afrique de l’Est et du Sud-Est (Kenya, Tanzanie, Malawi, Zambie et Zimbabwe).","Zones humides le long des cours d’eau ou au bord des lacs, marécages, tourbières ; dans le territoire de la Flore à 1250–2200 m d’altitude, mais dépasse 3000 m d’altitude en Afrique de l’Est.","Probablement Préoccupation mineure (LC), connu de plus de 25 récoltes. L’espèce en globalité a été évaluée comme Préoccupation mineure (LC) pour la liste rouge de l’IUCN par Beentje & Lansdown (2018).",,,"1. Se distingue des autres taxons proches, par son allure robuste, avec des limbes plus larges (7–12 mm vs. 2–7 mm) et des inflorescences plus longues (6–12 cm vs. 2–8 cm).
2. Les utricules des spécimens du Burundi et de la République démocratique du Congo sont plus petits que ceux du Kenya/Tanzanie (3,2–3,8 mm vs. 3,8–4,5 mm). Il pourrait s’agir d’un taxon différent ; à étudier. 
3. C. robinsonii (type de Zambie) est une espèce proche avec, d’après le protologue, des utricules longs de 3,5–4 mm, mais nous n’avons pas pu examiner de spécimens de cette espèce.",,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000917475,FAC002013007,Cyperaceae,,Carex,lycurus,scabrida,(Kük.) Verdc.,subspecies,subsp.,subsp.,Carex lycurus subsp. scabrida,Carex lycurus subsp. scabrida,FAC002013005,"Kenya, Mt Kenya occid., 3 janv. 1922, R.E. Fries & T.C.E. Fries 677 (lecto- : UPS ; isolecto- : K).","Herbe vivace, formant des touffes denses le long de rhizomes rampants ; tige de 20–60 cm, triquètre, scabre. Feuille : limbe large de 3–6 mm. Inflorescence en panicule spiciforme devenant souvent ± ovoïde et compacte à maturité, de 3–6 × 1–2 cm ; bractées ± nombreuses, de développement variable ; épis latéraux courts, serrés, à utricules divariqués à maturité. Épillet : glume longue de ± 4 mm ; utricule plan-convexe, de contour lancéolé, de 3,8–4,8 × 1,2–1,6 mm (bec compris), ailé, brunâtre, avec 6 à 9 nervures saillantes sur la face convexe et 3 à 5 nervures saillantes sur la face plane, à bec long de 1,5–2 mm, à marge irrégulièrement dentée. Akène ± anguleux, de ± 2,0 × 1,1 mm, brun doré à brun rouge foncé.",,"Dans le territoire de la Flore, présent dans le massif des Virunga en République démocratique du Congo et au Rwanda (connu de photos seulement) ; ailleurs, dans les hautes montagnes du Cameroun et de l’Afrique de l’Est, dans les massifs du Rwenzori et du Mt Elgon (Kenya et Ouganda).","Fréquent dans les stations humides de montagne, clairières marécageuses dans les forêts à Hagenia, prairies marécageuses ; à 3000–3800 m d’altitude dans le massif des Virunga, à partir de 2350 m en Afrique de l’Est.","Probablement Préoccupation mineure (LC), connue de plus de 25 récoltes. L’espèce en globalité a été évaluée comme Préoccupation mineure (LC) pour la liste rouge de l’IUCN par Beentje & Lansdown (2018).",,mushasha (en kinyaruanda).,"1. Se distingue de la sous-espèce type par son allure moins robuste, ses feuilles plus étroites (3–6 mm vs. (6–)7–11 mm), son inflorescence courte et compacte, et par son habitat à plus haute altitude.
2. Se distingue de C. conferta var. leptosaccus par ses utricules à nervures plus nombreuses et plus distinctes (6 à 9 vs. 0 à 3 sur la face convexe), ses épis compacts avec les utricules divariqués à maturité et ses tiges très serrées le long du rhizome.
3. Gehrke (2011) n’accepte pas la sous-espèce scabrida considérant que les critères proposés par Verdcourt (2010) ne permettent pas de la séparer clairement du type et propose d’inclure C. erythrorrhiza var. scabrida dans C. leptosaccus, option qui n’est pas acceptée ici (voir Observation 2 sous C. conferta). Reste qu’il existe des spécimens intermédiaires et que les frontières entre les taxons de ce groupe ont besoin d’être précisées.",,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000349790,FAC002013008,Cyperaceae,,Carex,papillosissima,,Nelmes,species,,,Carex papillosissima,Carex papillosissima,FAC002013000,"Tanzanie, Iringa Province, Sao Hill, ca. 1800 m, 27 oct. 1936, Staples 416 (holo- : K).",,,,,,,,,,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-1200024007,FAC002013009,Cyperaceae,,Carex,papillosissima,katangensis,Thery,subspecies,subsp.,subsp.,Carex papillosissima subsp. katangensis,Carex papillosissima subsp. katangensis,FAC002013008,"République démocratique du Congo, Katanga, Kipopo, grand étang de la station INEAC, 1230 m, 27 déc. 1971, Symoens 14218 (holo- : BR [BR0000024800143] ; iso- : BR (2×)).","Herbe vivace, cespiteuse, à rhizomes courts, avec de nombreuses feuilles basales ; tige feuillée, de 30–70 cm, trigone, scabre. Feuille : gaines basales brun orangé ; limbe large de 5–9 mm, plan ou à bords enroulés, assez rigide, scabre au moins vers l’apex. Inflorescence composée de 4 à 6 épis denses, pédonculés, groupés vers le haut de la tige sauf l’inférieur un peu écarté, le supérieur souvent mâle, les autres généralement femelles ; bractées foliacées, dépassant généralement l’inflorescence ; épi femelle cylindrique, de 25–60 × 4–6 mm, flexueux, à utricules densément imbriqués, souvent pendants à maturité ; pédoncules fins, dépassant peu des gaines sauf l’inférieur. Épillet : glume longue de 2–4 mm (arête comprise), à sommet échancré, avec une large nervure centrale brun-vert bordé de blanchâtre, se prolongeant par une large arête ciliée longue de 0,5–2 mm, à ailes membraneuses, ± teintées de brun rougeâtre, glumes vers la base de l’épi plus longues et dépassant les utricules ; utricule de contour ovale, aplati, de 2,5–3,3 × 1,2–1,7 mm (bec compris), brun orangé s’assombrissant vers le sommet, glabre, à surface finement papilleuse (papilles non surélevées), sans nervures distinctes, à bec long de ± 0,3 mm, tronqué. Fleur : style à 2 branches Akène plan-convexe, de contour elliptique, brun doré, de ± 2 × 1 mm, à surface faiblement granuleuse.",,Endémique du sud-est de la République démocratique du Congo.,"Bords marécageux des étangs et des rivières, pâturages bas saisonnièrement inondés ; à 1200–2000 m d’altitude.",Probablement Vulnérable (VU) ; connue de 6 localités dont certaines ne sont pas protégées.,,,"1. En Afrique centrale, cette espèce se reconnaît facilement à ses épis cylindriques à utricules imbriqués comme des tuiles, à ses glumes terminées par une large arête ciliée et à son utricule aplati, large et brun orangé.
2. Ce taxon est proche de C. rhodesiaca Nelmes (Afrique australe). Il s’en distingue par ses utricules à bec plus court et à surface brun orangé (vs. vert brunâtre moucheté de marron). Il est proche également de C. madagascariensis Boeck.
3. La sous-espèce type est endémique du sud de la Tanzanie.",,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
wfo-0000344873,FAC002013010,Cyperaceae,,Carex,bequaertii,,De Wild.,species,,,Carex bequaertii,Carex bequaertii,FAC002013000,"République démocratique du Congo, Mts Ruwenzori, vallée de Lanuri, 3000 m, 3 juin 1914, Bequaert 4677 (lecto- : BR [BR0000008638274]).",,,,,,,,,,,"Thery P. & Reynders M. (2022). Tribu IX. Cariceae. In: Sosef M.S.M. (éd.). Flore d’Afrique centrale (République démocratique du Congo - Rwanda - Burundi), nouvelle série, Spermatophyta,  Cyperaceae: 32-87. Meise, Jardin botanique de Meise.",,,,
