WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license
wfo-0000182089,<i>Stylosanthes hamata</i> primarily occurs in Human Altered environments (yards and roadsides) and around the edges of ephemeral Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000182089.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000184175,<i>Desmodium incanum</i> is a weedy species growing in Human Altered environments such as yards and abandoned fields. <i>D. incanum</i> also grows in Pine Woodlands and Dry Broadleaf Evergreen Formation – Woodlands (open scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000184175.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000255938,<i>Oncidium ensatum</i> grows in Dry Broadleaf Evergreen Formation – Forests as well as in Mangrove areas and occasionally Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000255938.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000268379,<i>Phialanthus myrtilloides</i> grows in Dry Broadleaf Evergreen Formation – Shrublands (scrublands) and occasionally in Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000268379.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000286416,<i>Psychotria ligustrifolia</i> grows as an understory shrub in Dry Broadleaf Evergreen Formation Forest/Woodland/Shrubland/Dwarf Shrublands (all coppice types) as well as in Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000286416.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000286803,<i>Psychotria nervosa</i> grows in Dry Broadleaf Evergreen Formation – Forests/Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000286803.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000295109,<i>Rauvolfia nitida</i> grows in Dry Broadleaf Evergreen Formations - Forest (coppice) on a limestone substrate.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000295109.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000297077,"<i>Ricinus communis</i> grows in Human Altered environments (fields, yards, roadsides, garbage dumps).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000297077.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000302286,"<i>Salvia serotina</i> grows as a naturalized species around homes, abandoned fields and the edges of Dry Broadleaf Evergreen Formations- Forests/Shrublands (coppice).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000302286.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000330954,<i>Vallesia antillana</i> grows in Dry Broadleaf Evergreen Formation – Forest/Shrubland (coppice or scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000330954.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000331420,<i>Vanilla barbellata</i> grows in Dry Broadleaf Evergreen Formation – Forest/Woodland/Shrubland (coppice and scrubland) and occasionally in Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000331420.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000356032,<i>Krugiodendron ferreum</i> grows in Dry Broadleaf Evergreen Formations – Forest/Shrublands (coppice).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000356032.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000356458,"<i>Cladium mariscus</i> grows along the edges of Fresh Water wetlands, in <i>Sabal palmetto</i> Woodlands and in mangrove areas that are only slightly brackish.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000356458.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000357656,<i>Kalanchoe pinnata</i> grows in Human Altered environments particularly around abandoned dwellings and the edges of Dry Broadleaf Evergreen Formation- Shrublands as well as in yards and gardens.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000357656.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000371248,"<i>Mangifera indica</i> occurs in Human Altered environments (yards, gardens, and farms).  It persists in abandoned fields and yards for decades.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000371248.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000386573,<i>Opuntia cochenillifera</i> grows along the edges of Dry Broadleaf Evergreen Formation –Shrublands (Scrublands) and Human Altered environments such as yards and fields.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000386573.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000408851,"<i>Terminalia molinetii</i> grows primarily in wet, coastal Dry Broadleaf Evergreen Formation- Woodlands and Shrublands (coppice and wet savannahs).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000408851.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000427365,"<i>Waltheria indica</i> grows in Human Altered environments (fields, yards, roadsides) in a sand substrate.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000427365.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000429502,<i>Zanthoxylum fagara</i> grows in Dry Broadleaf Evergreen Formation- Shrublands (coppice/scrublands) particularly those that have been disturbed by humans.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000429502.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000429509,<i>Zanthoxylum flavum</i> grows in coastal Dry Broadleaf Evergreen Formation – Woodland/Shrubland (coppice/scrubland) on a sand substrate.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000429509.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000429943,<i>Zamia pumila</i> grows in Pine Woodlands as well as coastal Dry Broadleaf Evergreen Formations-Shrublands (coppice).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000429943.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000457708,"<i>Turnera ulmifolia</i> grows in Human Altered environments (roadsides, houses, abandoned fields), Dunes as well as long the edges of Dry Broadleaf Evergreen Formation – Woodlands/Shrublands (coppice).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000457708.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000474744,<i>Picramnia pentandra</i> grows as an understory shrub in Dry Broadleaf Evergreen Formations – Forests (tall coppice) typically in and around sinkholes and depressions.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000474744.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000480120,<i>Passiflora suberosa</i> grows in all plant communities in the Lucayan Archipelago as well as Human Altered environments.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000480120.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000492142,<i>Simarouba glauca</i> grows in Dry Broadleaf Evergreen Formation- Forests/Shrublands (coppice).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000492142.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000529101,<i>Alvaradoa amorphoides</i> grows in Dry Broadleaf Evergreen Formation – Woodlands or Shrublands (scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000529101.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000606414,<i>Cissus intermedia</i> grows climbing on other vegetation in mangroves and Dry Broadleaf Evergreen Formation – Woodland and Shrublands (open coppice).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000606414.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000610519,<i>Clematis plukenetii</i> grows along the edges of Dry Broadleaf Evergreen Formation – Forest/Shrublands as well as Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000610519.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000613423,"<i>Coccoloba tenuifolia</i> grows in Dry Broadleaf Evergreen Formation- Forest/Woodlands/Shrublands/Dwarf Shrublands (coppice, scrublands) as well as Pine Woodlands.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000613423.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000613437,<i>Coccoloba uvifera</i> grows along shorelines in Dry Broadleaf Evergreen Formation –Shrublands (coastal coppice) as well as the back edges of Rocky Shores and Dune systems.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000613437.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000620951,<i>Cordia sebestena</i> grows in coastal Dry Broadleaf Evergreen Formation – Forest/Shrublands (coastal coppice) in sand or limestone substrates.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000620951.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000626424,<i>Crossopetalum aquifolium</i> grows along the ground in Dry Broadleaf Evergreen Formation – Forest/Shrubland (coppice) on limestone substrate and in Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000626424.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000626468,<i>Crossopetalum rhacoma</i> grows in Dry Broadleaf Evergreen Formations –Forest/Woodlands/Shrublands/ Dwarf Shrublands as well as Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000626468.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000648730,<i>Diospyros crassinervis</i> grows in Dry Broadleaf Evergreen Formation – Forests and Shrublands (coppice/scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000648730.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000679681,"<i>Erythroxylum areolatum</i> grows in Dry Broadleaf Evergreen Formation Forest/Shrublands (coppice), Pine Woodlands and the edges of Fresh Water Wetlands.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000679681.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000680090,"<i>Erythroxylum rotundifolium</i> grows primarily as an understory species in Dry Broadleaf Evergreen Formation-Forests/Shrublands (coppice), Pine Woodlands, and near Fresh Water Wetlands.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000680090.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000684512,<i>Exothea paniculata</i> grows in Dry Broadleaf Evergreen Formation- Forests/Shrublands (coppice).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000684512.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000687419,<i>Ficus aurea</i> grows in Dry Broadleaf Evergreen Formation – Forests/Woodlands/ and Shrublands in and around sinkholes.  It is occasionally found in <i>Sabal palmetto</i>- dominated Woodlands. </p><i>Ficus aurea</i> is often known to germinate while on other trees forming roots that may encompass the trunk of the “host” giving it the name of Strangler Fig.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000687419.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000687833,"<i>Ficus citrifolia</i> grows in Dry Broadleaf Evergreen Formation – Forests/Woodlands/ and Shrublands in open areas, rocky flats. It is occasionally found in Pine Woodlands.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000687833.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000718386,"<i>Heliotropium angiospermum</i> grows in Human Altered en vironments, open flats and the edges of Dry Broadleaf Evergreen Formations - Forests/Shrublands(coppice).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000718386.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000758977,"<i>Aloe vera</i> grows in Human Altered environments (yards, fields, and in and around abandoned houses). ",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000758977.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000778816,<i>Jacaranda caerulea</i> grows in Dry Broadleaf Evergreen Formation -Forests/Shrublands (coppice/scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000778816.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000779838,<i>Tecoma stans</i> occurs in Human Altered environments such as abandoned fields and yards as well as along the edges of Dry Broadleaf Evergreen Formation –Shrublands (scrubland coppice) in either sand or limestone substrates.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000779838.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000813266,<i>Leucothrinax morrisii</i> grows in Dry Broadleaf Evergreen Formation – Forests/Shrublands on either a sand or limestone substrate.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000813266.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000835709,"<i>Heterosavia bahamensis</i> grows in Dry Broadleaf Evergreen Formation – Forest/ Woodland/Shrubland/Dwarf Shrubland (coppice, scrubland, dwarf shrubland).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000835709.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000844784,<i>Chiococca alba</i> grows as an understory shrub in Dry Broadleaf Evergreen Formation- Forest/Woodland/Shrubland/Dwarf Shrublands (all coppice types).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000844784.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000856745,<i>Chrysophyllum oliviforme</i> grows in Dry Broadleaf Evergreen Formation – Forest/Woodland/Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000856745.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000860994,<i>Cymbopogon flexuosus</i> grows as a cultivated species in gardens but has occasionally escaped into other Human Altered environments.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000860994.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000877532,<i>Lasiacis divaricata</i> grows in the understory of Dry Broadleaf Evergreen Formation – Forest/Woodland/Shrubland (coppice and scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000877532.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000953791,"<i>Ernodea littoralis</i> grows in Pine Woodlands, Dune systems, Human Altered environments such as roadsides and abandoned fields. It can also be found in the understory of Dry Broadleaf Evergreen Formation – Woodland/Shrublands (coastal coppice) with a sand substrate.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000953791.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000956446,<i>Eugenia axillaris</i> grows in Dry Broadleaf Evergreen Formations – Forest/Woodlands/Shrublands/Dwarf Shrublands (coppice- all types).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000956446.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000957334,<i>Eugenia foetida</i> grows in Dry Broadleaf Evergreen Formation – Forest/Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000957334.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000976093,<i>Guettarda elliptica</i> grows in Dry Broadleaf Evergreen Formation- Forest/Woodland/Shrubland/Dwarf Shrublands (coppice of all types) as well as Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000976093.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000976242,<i>Guettarda scabra</i> grows in Dry Broadleaf Evergreen Formation- Forest/Woodland/Shrubland/Dwarf Shrublands (coppice of all types) as well as Pine Woodlands and Rocky Shores.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000976242.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000976758,"<i>Gymnanthes lucida</i> grows in Dry Broadleaf Evergreen Formations – Forest/Woodlands/Shrublands/Dwarf Shrublands (coppice, scrublands, dwarf shrublands) with either a limestone or sand substrate.",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000976758.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000982521,<i>Hippomane mancinella</i> grows near coastlines in Dry Broadleaf Evergreen Formation – Shrublands (scrubland coppice) or behind Dunes.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0000982521.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001040951,"<i>Senna chapmanii</i> grows in Pine Woodlands, Dunes, and Human Altered environments in and around abandoned fields/houses and roadsides",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001040951.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001044468,<i>Oplonia spinosa</i> grows in Dry Broadleaf Evergreen Formations-Forest/Woodland/Shrublands (coppice).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001044468.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001109597,<i>Psilotum nudum</i> grows in moist areas often associated with monocots.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001109597.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001132901,<i>Zanthoxylum coriaceum</i> grows primarily as an understory shrub (occasional tree) in Dry Broadleaf Evergreen Formation – Forest/Shrubland (coppice) in both a limestone and a sand substrate.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001132901.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001143151,"<i>Trema lamarckiana</i> grows inHuman Altered environments such as roadsides, construction areas, and abandoned fields.  It may also grow along the edges and occasionally the interior of Dry Broadleaf Evergreen Formations – Forests/Woodlands/Shrublands (coppice).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001143151.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001215702,<i>Myriopus volubilis</i> occurs along the edges and interiors of Dry Broadleaf Evergreen Formation –Woodland/Shrublands (scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001215702.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001289057,<i>Pilocereus millspaughii</i> grows in exposed locations such as hilltops in Dry Broadleaf Evergreen Formation-Woodland/Shrublands (scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001289057.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001296668,"<i>Ipomoea hederifolia</i> grows in Human Altered environments (abandoned fields, dumps, edges of yards/roadsides).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001296668.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001296683,"<i>Merremia dissecta</i> grows in Human Altered environments (roadsides, abandoned fields, dumps).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001296683.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001297277,<i>Jacquemontia havanensis</i> grows in Dry Broadleaf Evergreen Formation – Forest/Woodland/Shrubland/Dwarf Shrubland (coppice/scrubland) as well as in Pine Woodlands and Dune areas.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001297277.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001297295,"<i>Ipomoea indica</i> grows in Human Altered environments (abandoned fields, dumps, edges of yards/roadsides).",habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001297295.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001329116,<i>Encyclia correllii </i>occurs in Dry Broadleaf Evergreen Formations – Forest/Woodland/Shrublands (coppice) that have a mixture of species or are palm dominated.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001329116.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001330440,<i>Tara vesicaria</i> grows in Dry Broadleaf Evergreen Formation –Forest/Woodland/Shrubland (coppice and scrublands). ,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001330440.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001423854,<i>Morisonia cynophallophora</i> grows in Dry Broadleaf Evergreen Formation – Woodlands/Shrublands (scrublands).,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-0001423854.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-1000003016,<i>Rhodopis rudolphioides</i> grows in and along the edges of Dry Broadleaf Evergreen Formation – Shrublands (scrublands) and Pine Woodlands.  It can also be found along Rocky Shores.,habitat,EN,Ethan Freid,,,2012-09-13,Ethan Freid,ref-1000003016.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000302902,<i>Avicennia germinans</i> grows in both saline and brackish environments in coastal and inland aquatic systems. Occurring intermixed with <i>Rhizophora mangle</i> as shrubs or often as tall trees in areas of deeper water.,habitat,EN,Ethan Freid,,,2012-10-10,Ethan Freid,ref-0000302902.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000547034,"<i>Argemone mexicana</i> grows in Human Altered environments (abandoned fields, yards, and roadsides).",habitat,EN,Ethan Freid,,,2012-10-10,Ethan Freid,ref-0000547034.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000558282,<i>Bacopa monnieri</i> grows along the edges of continual and ephemeral Fresh Water Wetlands and in <i>Sabal palmetto</i> Woodlands.,habitat,EN,Ethan Freid,,,2012-10-10,Ethan Freid,ref-0000558282.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001109379,"<i>Acrostichum danaeifolium</i> grows along the edges of brackish and fresh water ponds, sinkholes and in marshes that have standing water for a majority of the year.",habitat,EN,Ethan Freid,,,2012-10-10,Ethan Freid,ref-0001109379.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001109503,<i>Blechnum serrulatum</i> grows in <i>Cladium jamaicense</i> (Saw Grass) wetlands (on <i>Cladium</i> stumps) and very wet Dry Broadleaf Evergreen Formations.,habitat,EN,Ethan Freid,,,2012-10-10,Ethan Freid,ref-0001109503.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001110607,<i>Anemia adiantifolia</i> grows along the edges of Dry Broadleaf Evergreen Formations-Forest/Shrublands (Coppice) as well as an understory herb in Pine Woodlands. In both habitats it is often found along the edges of solution holes.,habitat,EN,Ethan Freid,,,2012-10-10,Ethan Freid,ref-0001110607.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000055196,<i>Gochnatia pauciflosculosa</i> grows in Dry Broadleaf Evergreen Formation – Shrublands (coppice/scrublands).,habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000055196.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000084726,"<i>Emilia fosbergii</i> grows in Human Altered environments (yards, roadsides and abandoned fields).",habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000084726.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000170578,<i>Galactia spiciformis</i> grows trailing through other vegetation along the edges of Dry Broadleaf Evergreen Formation – Forest/Woodlands/Shrublands (coppice and palm woodlands on both sand and limestone substrates.,habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000170578.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000173965,<i>Caesalpinia bahamensis</i> grows in Dry Broadleaf Evergreen Formations –Forest/Shrublands (coppice) as well as an understory shrub in Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000173965.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000174078,"<i>Crotalaria pumila</i> grows in Human Altered environments (old fields, yards roadsides) as well as in Pine Woodlands.",habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000174078.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000222990,<i>Lantana x bahamensis</i> grows in disturbed areas along roads and old farm areas as well as sporadically through out the Dry Broadleaf Evergreen Formations (coppice) in both limestone and sand substrates.,habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000222990.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000355243,<i>Jacquinia keyensis</i> grows along shorelines in Dry Broadleaf Evergreen Formation-Shrublands (coastal scrublands) as well as in Dwarf <i>Rhachicallis americana</i> shrublands (Rocky Shores/Iron Shores).,habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000355243.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000358854,<i>Laguncularia racemosa</i> grows along the edges of saline environments both coastal and along interior ponds and lakes. It typically occurs inward from other mangrove species rather than directly in standing water.,habitat,EN,Ethan Freid,,,2012-10-15,Ethan Freid,ref-0000358854.02,Leon Levy Native Plant Preserve.,All rights Preserved
