WFOID,measurementValue,measurementID,measurementType,measurementRemarks
wfo-0000924829,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000924831,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000924834,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000925259,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000623618,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000983884,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000984749,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001008928,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000988941,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000984241,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001263196,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000989734,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001016197,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001016497,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001009174,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000988672,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000987353,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000984411,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000989083,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000214113,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001284062,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000637755,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000681728,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000681760,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000682137,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000691852,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000214111,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000723744,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000815984,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000359656,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000361644,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001022663,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001013852,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001007437,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001018576,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000460215,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000460239,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000404909,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000404928,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000405161,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000405142,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000405218,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000405193,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000985592,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001018026,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000984331,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001004168,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001011369,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001002585,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001004657,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001001814,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000984390,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000984907,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000988424,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000998010,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001001272,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001011294,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000985731,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000987895,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000985454,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001005999,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0000989662,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001018851,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
wfo-0001013515,Shrub,"Shrub	""Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1""	https://creativecommons.org/licenses/by/4.0/	Attribution 4.0 International (CC BY 4.0)",http://kew.org/wcs/terms/lifeform,
