level3_cod,level3_nam,level2_nam,level1_nam
CHX,Xinjiang,China,ASIA-TEMPERATE
CHT,Tibet,China,ASIA-TEMPERATE
CHS,"China Southeast",China,ASIA-TEMPERATE
CHQ,Qinghai,China,ASIA-TEMPERATE
CHN,"China North-Central",China,ASIA-TEMPERATE
CHM,Manchuria,China,ASIA-TEMPERATE
CHI,"Inner Mongolia",China,ASIA-TEMPERATE
CHH,Hainan,China,ASIA-TEMPERATE
CHC,"China South-Central",China,ASIA-TEMPERATE
MON,Mongolia,Mongolia,ASIA-TEMPERATE
TAI,Taiwan,"Eastern Asia",ASIA-TEMPERATE
OGA,Ogasawara-shoto,"Eastern Asia",ASIA-TEMPERATE
NNS,Nansei-shoto,"Eastern Asia",ASIA-TEMPERATE
KZN,Kazan-retto,"Eastern Asia",ASIA-TEMPERATE
KOR,Korea,"Eastern Asia",ASIA-TEMPERATE
JAP,Japan,"Eastern Asia",ASIA-TEMPERATE
WHM,"West Himalaya","Indian Subcontinent",ASIA-TROPICAL
SRL,"Sri Lanka","Indian Subcontinent",ASIA-TROPICAL
PAK,Pakistan,"Indian Subcontinent",ASIA-TROPICAL
NEP,Nepal,"Indian Subcontinent",ASIA-TROPICAL
MDV,Maldives,"Indian Subcontinent",ASIA-TROPICAL
LDV,"Laccadive Is.","Indian Subcontinent",ASIA-TROPICAL
IND,India,"Indian Subcontinent",ASIA-TROPICAL
EHM,"East Himalaya","Indian Subcontinent",ASIA-TROPICAL
BAN,Bangladesh,"Indian Subcontinent",ASIA-TROPICAL
ASS,Assam,"Indian Subcontinent",ASIA-TROPICAL
VIE,Vietnam,Indo-China,ASIA-TROPICAL
THA,Thailand,Indo-China,ASIA-TROPICAL
SCS,"South China Sea",Indo-China,ASIA-TROPICAL
NCB,"Nicobar Is.",Indo-China,ASIA-TROPICAL
MYA,Myanmar,Indo-China,ASIA-TROPICAL
LAO,Laos,Indo-China,ASIA-TROPICAL
CBD,Cambodia,Indo-China,ASIA-TROPICAL
AND,"Andaman Is.",Indo-China,ASIA-TROPICAL
XMS,"Christmas I.",Malesia,ASIA-TROPICAL
SUM,Sumatera,Malesia,ASIA-TROPICAL
SUL,Sulawesi,Malesia,ASIA-TROPICAL
PHI,Philippines,Malesia,ASIA-TROPICAL
MOL,Maluku,Malesia,ASIA-TROPICAL
MLY,Malaya,Malesia,ASIA-TROPICAL
LSI,"Lesser Sunda Is.",Malesia,ASIA-TROPICAL
JAW,Jawa,Malesia,ASIA-TROPICAL
CKI,"Cocos (Keeling) I.",Malesia,ASIA-TROPICAL
BOR,Borneo,Malesia,ASIA-TROPICAL
SOL,"Solomon Is.",Papuasia,ASIA-TROPICAL
NWG,"New Guinea",Papuasia,ASIA-TROPICAL
BIS,"Bismarck Archipelago",Papuasia,ASIA-TROPICAL
WAU,"Western Australia",Australia,AUSTRALASIA
VIC,Victoria,Australia,AUSTRALASIA
TAS,Tasmania,Australia,AUSTRALASIA
SOA,"South Australia",Australia,AUSTRALASIA
QLD,Queensland,Australia,AUSTRALASIA
NTA,"Northern Territory",Australia,AUSTRALASIA
NSW,"New South Wales",Australia,AUSTRALASIA
NFK,"Norfolk Is.",Australia,AUSTRALASIA
NZS,"New Zealand South","New Zealand",AUSTRALASIA
NZN,"New Zealand North","New Zealand",AUSTRALASIA
KER,"Kermadec Is.","New Zealand",AUSTRALASIA
CTM,"Chatham Is.","New Zealand",AUSTRALASIA
ATP,"Antipodean Is.","New Zealand",AUSTRALASIA
WAL,"Wallis-Futuna Is.","Southwestern Pacific",PACIFIC
VAN,Vanuatu,"Southwestern Pacific",PACIFIC
TUV,Tuvalu,"Southwestern Pacific",PACIFIC
TON,Tonga,"Southwestern Pacific",PACIFIC
TOK,Tokelau-Manihiki,"Southwestern Pacific",PACIFIC
SCZ,"Santa Cruz Is.","Southwestern Pacific",PACIFIC
SAM,Samoa,"Southwestern Pacific",PACIFIC
PHX,"Phoenix Is.","Southwestern Pacific",PACIFIC
NWC,"New Caledonia","Southwestern Pacific",PACIFIC
NUE,Niue,"Southwestern Pacific",PACIFIC
NRU,Nauru,"Southwestern Pacific",PACIFIC
HBI,"Howland-Baker Is.","Southwestern Pacific",PACIFIC
GIL,"Gilbert Is.","Southwestern Pacific",PACIFIC
FIJ,Fiji,"Southwestern Pacific",PACIFIC
TUB,"Tubuai Is.","South-Central Pacific",PACIFIC
TUA,Tuamotu,"South-Central Pacific",PACIFIC
SCI,"Society Is.","South-Central Pacific",PACIFIC
PIT,"Pitcairn Is.","South-Central Pacific",PACIFIC
MRQ,Marquesas,"South-Central Pacific",PACIFIC
LIN,"Line Is.","South-Central Pacific",PACIFIC
EAS,"Easter Is.","South-Central Pacific",PACIFIC
COO,"Cook Is.","South-Central Pacific",PACIFIC
WAK,"Wake I.","Northwestern Pacific",PACIFIC
MRS,"Marshall Is.","Northwestern Pacific",PACIFIC
MRN,Marianas,"Northwestern Pacific",PACIFIC
MCS,"Marcus I.","Northwestern Pacific",PACIFIC
CRL,"Caroline Is.","Northwestern Pacific",PACIFIC
HAW,Hawaii,"North-Central Pacific",PACIFIC
YUK,Yukon,"Subarctic America","NORTHERN AMERICA"
NWT,"Northwest Territories","Subarctic America","NORTHERN AMERICA"
NUN,Nunavut,"Subarctic America","NORTHERN AMERICA"
GNL,Greenland,"Subarctic America","NORTHERN AMERICA"
ASK,Alaska,"Subarctic America","NORTHERN AMERICA"
ALU,"Aleutian Is.","Subarctic America","NORTHERN AMERICA"
SAS,Saskatchewan,"Western Canada","NORTHERN AMERICA"
MAN,Manitoba,"Western Canada","NORTHERN AMERICA"
BRC,"British Columbia","Western Canada","NORTHERN AMERICA"
ABT,Alberta,"Western Canada","NORTHERN AMERICA"
QUE,Qu,"Eastern Canada","NORTHERN AMERICA"
PEI,"Prince Edward I.","Eastern Canada","NORTHERN AMERICA"
ONT,Ontario,"Eastern Canada","NORTHERN AMERICA"
NSC,"Nova Scotia","Eastern Canada","NORTHERN AMERICA"
NFL,Newfoundland,"Eastern Canada","NORTHERN AMERICA"
NBR,"New Brunswick","Eastern Canada","NORTHERN AMERICA"
LAB,Labrador,"Eastern Canada","NORTHERN AMERICA"
WYO,Wyoming,"Northwestern U.S.A.","NORTHERN AMERICA"
WAS,Washington,"Northwestern U.S.A.","NORTHERN AMERICA"
ORE,Oregon,"Northwestern U.S.A.","NORTHERN AMERICA"
MNT,Montana,"Northwestern U.S.A.","NORTHERN AMERICA"
IDA,Idaho,"Northwestern U.S.A.","NORTHERN AMERICA"
COL,Colorado,"Northwestern U.S.A.","NORTHERN AMERICA"
WIS,Wisconsin,"North-Central U.S.A.","NORTHERN AMERICA"
SDA,"South Dakota","North-Central U.S.A.","NORTHERN AMERICA"
OKL,Oklahoma,"North-Central U.S.A.","NORTHERN AMERICA"
NEB,Nebraska,"North-Central U.S.A.","NORTHERN AMERICA"
NDA,"North Dakota","North-Central U.S.A.","NORTHERN AMERICA"
MSO,Missouri,"North-Central U.S.A.","NORTHERN AMERICA"
MIN,Minnesota,"North-Central U.S.A.","NORTHERN AMERICA"
KAN,Kansas,"North-Central U.S.A.","NORTHERN AMERICA"
IOW,Iowa,"North-Central U.S.A.","NORTHERN AMERICA"
ILL,Illinois,"North-Central U.S.A.","NORTHERN AMERICA"
WVA,"West Virginia","Northeastern U.S.A.","NORTHERN AMERICA"
VER,Vermont,"Northeastern U.S.A.","NORTHERN AMERICA"
RHO,"Rhode I.","Northeastern U.S.A.","NORTHERN AMERICA"
PEN,Pennsylvania,"Northeastern U.S.A.","NORTHERN AMERICA"
OHI,Ohio,"Northeastern U.S.A.","NORTHERN AMERICA"
NWY,"New York","Northeastern U.S.A.","NORTHERN AMERICA"
NWJ,"New Jersey","Northeastern U.S.A.","NORTHERN AMERICA"
NWH,"New Hampshire","Northeastern U.S.A.","NORTHERN AMERICA"
MIC,Michigan,"Northeastern U.S.A.","NORTHERN AMERICA"
MAS,Massachusetts,"Northeastern U.S.A.","NORTHERN AMERICA"
MAI,Maine,"Northeastern U.S.A.","NORTHERN AMERICA"
INI,Indiana,"Northeastern U.S.A.","NORTHERN AMERICA"
CNT,Connecticut,"Northeastern U.S.A.","NORTHERN AMERICA"
UTA,Utah,"Southwestern U.S.A.","NORTHERN AMERICA"
NEV,Nevada,"Southwestern U.S.A.","NORTHERN AMERICA"
CAL,California,"Southwestern U.S.A.","NORTHERN AMERICA"
ARI,Arizona,"Southwestern U.S.A.","NORTHERN AMERICA"
TEX,Texas,"South-Central U.S.A.","NORTHERN AMERICA"
NWM,"New Mexico","South-Central U.S.A.","NORTHERN AMERICA"
WDC,"District of Columbia","Southeastern U.S.A.","NORTHERN AMERICA"
VRG,Virginia,"Southeastern U.S.A.","NORTHERN AMERICA"
TEN,Tennessee,"Southeastern U.S.A.","NORTHERN AMERICA"
SCA,"South Carolina","Southeastern U.S.A.","NORTHERN AMERICA"
NCA,"North Carolina","Southeastern U.S.A.","NORTHERN AMERICA"
MSI,Mississippi,"Southeastern U.S.A.","NORTHERN AMERICA"
MRY,Maryland,"Southeastern U.S.A.","NORTHERN AMERICA"
LOU,Louisiana,"Southeastern U.S.A.","NORTHERN AMERICA"
KTY,Kentucky,"Southeastern U.S.A.","NORTHERN AMERICA"
GEO,Georgia,"Southeastern U.S.A.","NORTHERN AMERICA"
FLA,Florida,"Southeastern U.S.A.","NORTHERN AMERICA"
DEL,Delaware,"Southeastern U.S.A.","NORTHERN AMERICA"
ARK,Arkansas,"Southeastern U.S.A.","NORTHERN AMERICA"
ALA,Alabama,"Southeastern U.S.A.","NORTHERN AMERICA"
MXT,"Mexico Southeast",Mexico,"NORTHERN AMERICA"
MXS,"Mexico Southwest",Mexico,"NORTHERN AMERICA"
MXN,"Mexico Northwest",Mexico,"NORTHERN AMERICA"
MXI,"Mexican Pacific Is.",Mexico,"NORTHERN AMERICA"
MXG,"Mexico Gulf",Mexico,"NORTHERN AMERICA"
MXE,"Mexico Northeast",Mexico,"NORTHERN AMERICA"
MXC,"Mexico Central",Mexico,"NORTHERN AMERICA"
PAN,Panama,"Central America","SOUTHERN AMERICA"
NIC,Nicaragua,"Central America","SOUTHERN AMERICA"
HON,Honduras,"Central America","SOUTHERN AMERICA"
GUA,Guatemala,"Central America","SOUTHERN AMERICA"
ELS,"El Salvador","Central America","SOUTHERN AMERICA"
CPI,"C. American Pacific Is.","Central America","SOUTHERN AMERICA"
COS,"Costa Rica","Central America","SOUTHERN AMERICA"
BLZ,Belize,"Central America","SOUTHERN AMERICA"
WIN,"Windward Is.",Caribbean,"SOUTHERN AMERICA"
VNA,"Venezuelan Antilles",Caribbean,"SOUTHERN AMERICA"
TRT,Trinidad-Tobago,Caribbean,"SOUTHERN AMERICA"
TCI,"Turks-Caicos Is.",Caribbean,"SOUTHERN AMERICA"
SWC,"Southwest Caribbean",Caribbean,"SOUTHERN AMERICA"
PUE,"Puerto Rico",Caribbean,"SOUTHERN AMERICA"
NLA,"Netherlands Antilles",Caribbean,"SOUTHERN AMERICA"
LEE,"Leeward Is. AB Ant",Caribbean,"SOUTHERN AMERICA"
JAM,Jamaica,Caribbean,"SOUTHERN AMERICA"
HAI,Haiti,Caribbean,"SOUTHERN AMERICA"
DOM,"Dominican Republic",Caribbean,"SOUTHERN AMERICA"
CUB,Cuba,Caribbean,"SOUTHERN AMERICA"
CAY,"Cayman Is.",Caribbean,"SOUTHERN AMERICA"
BER,Bermuda,Caribbean,"SOUTHERN AMERICA"
BAH,Bahamas,Caribbean,"SOUTHERN AMERICA"
ARU,Aruba,Caribbean,"SOUTHERN AMERICA"
VEN,Venezuela,"Northern South America","SOUTHERN AMERICA"
SUR,Surinam,"Northern South America","SOUTHERN AMERICA"
GUY,Guyana,"Northern South America","SOUTHERN AMERICA"
FRG,"French Guiana","Northern South America","SOUTHERN AMERICA"
PER,Peru,"Western South America","SOUTHERN AMERICA"
GAL,Gal,"Western South America","SOUTHERN AMERICA"
ECU,Ecuador,"Western South America","SOUTHERN AMERICA"
CLM,Colombia,"Western South America","SOUTHERN AMERICA"
BOL,Bolivia,"Western South America","SOUTHERN AMERICA"
BZS,"Brazil South",Brazil,"SOUTHERN AMERICA"
BZN,"Brazil North",Brazil,"SOUTHERN AMERICA"
BZL,"Brazil Southeast",Brazil,"SOUTHERN AMERICA"
BZE,"Brazil Northeast",Brazil,"SOUTHERN AMERICA"
BZC,"Brazil West-Central",Brazil,"SOUTHERN AMERICA"
URU,Uruguay,"Southern South America","SOUTHERN AMERICA"
PAR,Paraguay,"Southern South America","SOUTHERN AMERICA"
JNF,"Juan Fern","Southern South America","SOUTHERN AMERICA"
DSV,"Desventurados Is.","Southern South America","SOUTHERN AMERICA"
CLS,"Chile South","Southern South America","SOUTHERN AMERICA"
CLN,"Chile North","Southern South America","SOUTHERN AMERICA"
CLC,"Chile Central","Southern South America","SOUTHERN AMERICA"
AGW,"Argentina Northwest","Southern South America","SOUTHERN AMERICA"
AGS,"Argentina South","Southern South America","SOUTHERN AMERICA"
AGE,"Argentina Northeast","Southern South America","SOUTHERN AMERICA"
TDC,"Tristan da Cunha","Subantarctic Islands",ANTARCTIC
SSA,"South Sandwich Is.","Subantarctic Islands",ANTARCTIC
SGE,"South Georgia","Subantarctic Islands",ANTARCTIC
MPE,"Marion-Prince Edward Is.","Subantarctic Islands",ANTARCTIC
MAQ,"Macquarie Is.","Subantarctic Islands",ANTARCTIC
KEG,Kerguelen,"Subantarctic Islands",ANTARCTIC
HMD,"Heard-McDonald Is.","Subantarctic Islands",ANTARCTIC
FAL,"Falkland Is.","Subantarctic Islands",ANTARCTIC
CRZ,"Crozet Is.","Subantarctic Islands",ANTARCTIC
BOU,"Bouvet I.","Subantarctic Islands",ANTARCTIC
ASP,"Amsterdam-St.Paul Is.","Subantarctic Islands",ANTARCTIC
ANT,Antarctica,"Antarctic Continent",ANTARCTIC
