Identifier,bibliographicCitation,Monograph,volume,stable_url
101427,"Delprete, Piero G. 1999. Rondeletieae (Rubiaceae). Part I. Fl. Neotrop. Monogr. 77: 1-226.",77,77,http://www.jstor.org/stable/4393887
238563,"Prance, Ghillean T. 1989. Chrysobalanaceae. Fl. Neotrop. Monogr. 9S: 1-267.",9S,,
238562,"Prance, Ghillean T. 1972. Chrysobalanaceae. Fl. Neotrop. Monogr. 9: 1-410.",9,9,http://www.jstor.org/stable/4393681
238562,"Prance, Ghillean T. 1972. Chrysobalanaceae. Fl. Neotrop. Monogr. 9: 1-410.",9,9,http://www.jstor.org/stable/4393678
168846,"Prance, Ghillean T. & Mori, S. A. 1979. Lecythidaceae - Part I. The actinomorphic-flowered New World Lecythidaceae (Asteranthos, Gustavia, Grias, Allantoma & Cariniana). Fl. Neotrop. Monogr. 21: 1-270.",21,21,http://www.jstor.org/stable/4393721
168784,"Mori, S. A. & Prance, Ghillean T. 1990. Lecythidaceae - Part II: The zygomorphic-flowered New World genera (Couroupita, Corythophora, Bertholletia, Couratari, Eschweilera, & Lecythis). With a study of secondary xylem of Neotropical Lecythidaceae by Carl de Zeeuw. Fl. Neotrop. Monogr. 21: 1-376.",21,21,http://www.jstor.org/stable/4393721
248577,"Ståhl, Bertil. 2010. Theophrastaceae. Fl. Neotrop. Monogr. 105: 1-160.",105,105,http://www.jstor.org/stable/29534143
76282,"Berg, Cornelius C. 2001. Moreae, Artocarpeae, and Dorstenia (Moraceae): With introductions to the family and Ficus and with additions and corrections to Flora Neotropica Monograph 7. Fl. Neotrop. Monogr. 83: 1-346.",83,83,http://www.jstor.org/stable/4393905
334288,"Pennington, Terence D. 1990. Sapotaceae. Fl. Neotrop. Monogr. 52: 1-750.",52,52,http://www.jstor.org/stable/4393816
465928,"Maas, Paulus J. M., et al. 1986. Burmanniaceae. Fl. Neotrop. Monogr. 42: 1-189.",42,,
130766,"Bischler, Hélène, et al. 2005. Marchantiidae. Fl. Neotrop. Monogr. 97: 1--262.",97,97,http://www.jstor.org/stable/4393947
23756,"Henderson, A. 1990. Arecaceae. Part I. Introduction and the Iriarteinae. Fl. Neotrop. Monogr. 53: 1-100.",53,53,http://www.jstor.org/stable/4393819
175832,"Bohs, Lynn A. 1994. Cyphomandra (Solanaceae). Fl. Neotrop. Monogr. 63: 154.",63,63,http://www.jstor.org/stable/4393848
388647,"Kaastra, Roelof C. 1982. A monograph of the Pilocarpinae (Rutaceae). Fl. Neotrop. Monogr. 33: 1-198.",33,33,http://www.jstor.org/stable/4393763
112855,"Arbo, María M. 1995. Turneraceae --- Parte I. Piriqueta. Fl. Neotrop. Monogr. 67: 1-156.",67,67,http://www.jstor.org/stable/4393860
301071,"Maas, Paulus J. M. & Ruyters, P. 1986. Voyria and Voyriella (saprophytic Gentianaceae). Fl. Neotrop. Monogr. 41: 1-93.",41,,
103541,"Knapp, Sandra D. 2002. Solanum section Geminata (Solanaceae). Fl. Neotrop. Monogr. 84: 1-404.",84,84,http://www.jstor.org/stable/4393908
447004,"Smith, Lyman B. & Downs, Robert J. 1977. Tillandsioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (2): 663-1492.",14,14,http://www.jstor.org/stable/4393700
447004,"Smith, Lyman B. & Downs, Robert J. 1977. Tillandsioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (2): 663-1492.",14,14,http://www.jstor.org/stable/4393697
447004,"Smith, Lyman B. & Downs, Robert J. 1977. Tillandsioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (2): 663-1492.",14,14,http://www.jstor.org/stable/4393694
472148,"Gentry, Alwyn H. 1992. Bignoniaceae--part II (Tribe Tecomeae). Fl. Neotrop. Monogr. 25: 1-370.",25,25,http://www.jstor.org/stable/4393739
472148,"Gentry, Alwyn H. 1992. Bignoniaceae--part II (Tribe Tecomeae). Fl. Neotrop. Monogr. 25: 1-370.",25,25,http://www.jstor.org/stable/4393736
471646,"Cowan, Richard S. 1967. Swartzia (Leguminosae, Caesalpinioideae Swartzieae). Fl. Neotrop. Monogr. 1: 3-228.",1,1,http://www.jstor.org/stable/4393651
134790,"Hedenäs, Lars. 2003. Amblystegiaceae. Fl. Neotrop. Monogr. 89: 1--107.",89,89,http://www.jstor.org/stable/4393923
470284,"Lombardi, Julio A. 2014. Celastraceae (Hippocrateoideae e Salacioideae). Fl. Neotrop. Monogr. 114: 1--227.",114,114,http://www.jstor.org/stable/45132536
397413,"Smith, Lyman B. & Downs, Robert J. 1979. Bromelioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (3): 1493-2142.",14,14,http://www.jstor.org/stable/4393700
397413,"Smith, Lyman B. & Downs, Robert J. 1979. Bromelioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (3): 1493-2142.",14,14,http://www.jstor.org/stable/4393697
397413,"Smith, Lyman B. & Downs, Robert J. 1979. Bromelioideae (Bromeliaceae). Fl. Neotrop. Monogr. 14 (3): 1493-2142.",14,14,http://www.jstor.org/stable/4393694
182381,"Smith, Gerald L. & Coile, Nancy C. 2007. Piptocarpha (Compositae: Vernonieae). Fl. Neotrop. Monogr. 99: 1--94.",99,99,http://www.jstor.org/stable/4393953
332787,"Landrum, Leslie R. 1986. Campomanesia, Pimenta, Blepharocalyx, Legrandia, Acca, Myrrhinium, and Luma (Myrtaceae). Fl. Neotrop. Monogr. 45: 1-178.",45,45,http://www.jstor.org/stable/4393795
238596,"Rohwer, Jens G. 1993. Lauraceae: Nectandra. Fl. Neotrop. Monogr. 60: 1-332.",60,60,http://www.jstor.org/stable/4393839
257930,"Hansen, Bertel. 1980. Balanophoraceae. Fl. Neotrop. Monogr. 23: 1-80.",23,23,http://www.jstor.org/stable/4393730
290596,"Dehgan, Bijan. 2012. Jatropha. Fl. Neotrop. Monogr. 110: 1--274.",110,110,http://www.jstor.org/stable/23351313
274849,"Mora-Osejo, Luis E., et al. 2011. Gunneraceae. Fl. Neotrop. Monogr. 109: i--v, 1--166.",109,109,http://www.jstor.org/stable/23350499
472759,"Gradstein, S. Robbert. 1994. Lejeuneaceae: Ptychantheae, Brachiolejeuneae. Fl. Neotrop. Monogr. 62: 216.",62,62,http://www.jstor.org/stable/4393845
332695,"Freitas da Silva, Marlene. 1986. Dimorphandra (Caesalpiniaceae). Fl. Neotrop. Monogr. 44: 1-128.",44,44,http://www.jstor.org/stable/4393792
357517,"Maas, Paulus J. M. 1972. Costoideae (Zingiberaceae). Fl. Neotrop. Monogr. 8: 1-140.",8,8,http://www.jstor.org/stable/4393675
31955,"Norman, E. M. 2000. Buddlejaceae. Fl. Neotrop. Monogr. 81: 1-225.",81,81,http://www.jstor.org/stable/4393899
330962,"Forero, Enrique. 1983. Connaraceae. Fl. Neotrop. Monogr. 36: 1-208.",36,36,http://www.jstor.org/stable/4393772
472606,"Todzia, Carol A. 1988. Chloranthaceae: Hedyosmum. Fl. Neotrop. Monogr. 48: 1-138.",48,48,http://www.jstor.org/stable/4393804
267362,"Stace, C. A. & Alwan, A.-R A. 2010. Combretaceae. Fl. Neotrop. Monogr. 107: 1-369.",107,107,http://www.jstor.org/stable/25800079
474943,"Pursell, Ronald A. 2007. Fissidentaceae. Fl. Neotrop. Monogr. 101",101,101,http://www.jstor.org/stable/4393959
130357,"Chanderbali, Andre S. 2004. Endlicheria (Lauraceae). Fl. Neotrop. Monogr. 91: 1-141.",91,91,http://www.jstor.org/stable/4393929
353567,"Sleumer, Hermann O. 1980. Flacourtiaceae. Fl. Neotrop. Monogr. 22: 1-499.",22,22,http://www.jstor.org/stable/4393727
473042,"Balslev, Henrik. 1996. Juncaceae. Fl. Neotrop. Monogr. 68: 1-167.",68,68,http://www.jstor.org/stable/4393863
330686,"Luteyn, James L. 1983. Ericaceae--part I. Cavendishia. Fl. Neotrop. Monogr. 35: 1-290.",35,35,http://www.jstor.org/stable/4393769
129185,"Michelangeli, Fabián A. 2005. Tococa (Melastomataceae). Fl. Neotrop. Monogr. 98: 1-114.",98,98,http://www.jstor.org/stable/4393950
466240,"Lehnert, Marcus. 2013. Grammitid ferns (Polypodiaceae). II. Melpomene. Fl. Neotrop. Monogr. 112: 1--121.",112,112,http://www.jstor.org/stable/26312121
129821,"Renner, Susanne S. & Hausner, Gerlinde. 2005. Siparunaceae. Fl. Neotrop. Monogr. 95: 1--247 pp.",95,95,http://www.jstor.org/stable/4393941
179955,"Prance, Ghillean T., et al. 2007. Proteaceae. Fl. Neotrop. Monogr. 100: 1-218.",100,100,http://www.jstor.org/stable/4393956
71908,"Acevedo-Rodríguez, Pedro. 2003. Meliococceae (Sapindaceae): Melicoccus: and Talisia. Fl. Neotrop. Monogr. 87: 1-178.",87,87,http://www.jstor.org/stable/4393917
471919,"Lleras, Eduardo. 1978. Trigoniaceae. Fl. Neotrop. Monogr. 19: 1-73.",19,19,http://www.jstor.org/stable/4393715
473780,"Farjon, Aljos K. & Styles, Brian T. 1997. Pinus (Pinaceae). Fl. Neotrop. Monogr. 75: 1-291.",75,75,http://www.jstor.org/stable/4393881
308872,"Prance, Ghillean T. 1972. Dichapetalaceae. Fl. Neotrop. Monogr. 10: 1-84.",10,10,http://www.jstor.org/stable/4393684
329977,"Pennington, Terence D. 1981. Meliaceae. Fl. Neotrop. Monogr. 28: 1-359, 418-449, 459-470.",28,28,http://www.jstor.org/stable/4393748
83658,"Berg, Cornelius C. 1972. Olmedieae, Brosimeae (Moraceae). Fl. Neotrop. Monogr. 7: 1-229.",7,7,http://www.jstor.org/stable/4393672
115552,"Lombardi, Julio A. 2000. Vitaceae: Géneros Ampelocissus, Ampelopsis e Cissus.. Fl. Neotrop. Monogr. 80: 1-250.",80,80,http://www.jstor.org/stable/4393896
101505,"Zona, Scott A. 1996. Roystonea (Arecaceae: Arecoideae). Fl. Neotrop. Monogr. 71: 1-35.",71,71,http://www.jstor.org/stable/4393871
472908,"Haynes, Robert R. & Holm-Nielsen, Laurtiz B. 1994. The Alismataceae. Fl. Neotrop. Monogr. 64: 1-228.",64,64,http://www.jstor.org/stable/4393851
191358,"Costa, Denise P. da. 2008. Metzgeriaceae (Hepaticae). Fl. Neotrop. Monogr. 102: 1-169.",102,102,http://www.jstor.org/stable/25660964
39183,"Dauphin L, G. 2003. Ceratolejeunea. Fl. Neotrop. Monogr. 90: 1-86.",90,90,http://www.jstor.org/stable/4393926
17818,"Moraes R., Mónica. 1996. Allagoptera (Palmae). Fl. Neotrop. Monogr. 73: 1-35.",73,73,http://www.jstor.org/stable/4393875
84011,"Hiepko, Paul H. 2000. Opiliaceae. Fl. Neotrop. Monogr. 82: i-iv + 1-53.",82,82,http://www.jstor.org/stable/4393902
38090,"Reese, William D. 1993. Calymperaceae. Fl. Neotrop. Monogr. 58: 1-102.",58,58,http://www.jstor.org/stable/4393834
330126,"Gates, Bronwen. 1982. Banisteriopsis, Diplopterys (Malpighiaceae). Fl. Neotrop. Monogr. 30: 1-238.",30,30,http://www.jstor.org/stable/4393754
47040,"Maas, Paulus J. M., et al. 2003. Duguetia (Annonaceae). Fl. Neotrop. Monogr. 88: 1-274 pp.",88,88,http://www.jstor.org/stable/4393920
330649,"Daniel, Thomas F. 1983. Carloivrightia (Acanthaceae). Fl. Neotrop. Monogr. 34: 1-116.",34,34,http://www.jstor.org/stable/4393766
101423,"Maas, Paulus J. M., et al. 1992. Rollinia. Fl. Neotrop. Monogr. 57: 1-188.",57,57,http://www.jstor.org/stable/4393831
329954,"Mesa, Aldo. 1981. Nolanaceae. Fl. Neotrop. Monogr. 26: 1-197.",26,26,http://www.jstor.org/stable/4393742
332837,"Rogers, George K. 1984. Gleasonia, Henriquezia, and Platycarpum (Rubiaceae). Fl. Neotrop. Monogr. 39: 1-135.",39,39,http://www.jstor.org/stable/4393781
49915,"Henderson, A. & Galeano, Gloria A. 1996. Euterpe, Prestoea, and Neonicholsonia (Palmae). Fl. Neotrop. Monogr. 72: 1-90.",72,72,http://www.jstor.org/stable/4393873
380874,"Poppendieck, Hans-Helmut. 1981. Cochlospermaceae. Fl. Neotrop. Monogr. 27: 1-34.",27,27,http://www.jstor.org/stable/4393745
134760,"Correa A., Mireya D. & Santos Silva, T. R. 2005. Drosera (Droseraceae). Fl. Neotrop. Monogr. 96: 1-65.",96,96,http://www.jstor.org/stable/4393944
238237,"Borchsenius, Finn & Bernal-González, Rodrigo. 1996. Aiphanes (Palmae). Fl. Neotrop. Monogr. 70: 1-94.",70,70,http://www.jstor.org/stable/4393869
130366,"Secco, Ricardo de S. 2004. Alchorneae (Euphorbiaceae) (Alchornea, Aparisthmium e Conceveiba). Fl. Neotrop. Monogr. 93: 1-194.",93,93,http://www.jstor.org/stable/4393935
446602,"Prance, Ghillean T. & Frietas Da Silva, Marlene. 1973. Caryocaraceae. Fl. Neotrop. Monogr. 12: 1-75.",12,12,http://www.jstor.org/stable/4393688
91400,"Haynes, Robert R. & Holm-Nielsen, Lauritz B. 2003. Potamogetonaceae. Fl. Neotrop. Monogr. 85: 1-52.",85,85,http://www.jstor.org/stable/4393911
449967,"Maas, Paulus J. M. & Rübsamen, T. 1986. Triuridaceae. Fl. Neotrop. Monogr. 40: 1-55.",40,,
472927,"Maas, P. J. M. & Maas-van de Kamer, H. 1993. Haemodoraceae. Fl. Neotrop. Monogr. 61: 1-44.",61,61,http://www.jstor.org/stable/4393842
472618,"Molau, Ulf. 1988. Scrophulariaceae Part I. Calceolarieae. Fl. Neotrop. Monogr. 47: 1-325.",47,47,http://www.jstor.org/stable/4393801
328420,"Maas, Paulus J. M. 1977. Renealmia (Zingiberaceae--Zingiberoideae), Costoideae (Additions) (Zingiberaceae). Fl. Neotrop. Monogr. 18: 1-218.",18,18,http://www.jstor.org/stable/4393712
299147,"Johnston, Marshall C. & Johnston, Laverne A. 1978. Rhamnus. Fl. Neotrop. Monogr. 20: 1-96.",20,20,http://www.jstor.org/stable/4393718
265492,"Cuatrecasas, José. 1970. Brunelliaceae. Fl. Neotrop. Monogr. 2: 1-189.",2,2,http://www.jstor.org/stable/4393661
265492,"Cuatrecasas, José. 1970. Brunelliaceae. Fl. Neotrop. Monogr. 2: 1-189.",2,2,http://www.jstor.org/stable/4393656
265492,"Cuatrecasas, José. 1970. Brunelliaceae. Fl. Neotrop. Monogr. 2: 1-189.",2,2,http://www.jstor.org/stable/4393653
265438,"Cuatrecasas, José. 1985. Brunelliaceae (supplement). Fl. Neotrop. Monogr. 2: 28-103.",2,2,http://www.jstor.org/stable/4393661
265438,"Cuatrecasas, José. 1985. Brunelliaceae (supplement). Fl. Neotrop. Monogr. 2: 28-103.",2,2,http://www.jstor.org/stable/4393656
265438,"Cuatrecasas, José. 1985. Brunelliaceae (supplement). Fl. Neotrop. Monogr. 2: 28-103.",2,2,http://www.jstor.org/stable/4393653
329923,"Landrum, Leslie R. 1981. A monograph of the genus Myrceugenia (Myrtaceae). Fl. Neotrop. Monogr. 29: 1-137.",29,29,http://www.jstor.org/stable/4393751
431670,"Rogers, David J. & Appan, S. G. 1973. Manibot, Manihotoides (Euphorbiaceae). Fl. Neotrop. Monogr. 13: 1-272. 1 chart.",13,13,http://www.jstor.org/stable/4393691
466239,"Labiak Evangelista, Paulo H. 2013. Grammitid ferns (Polypodiaceae). I. Lellingeria. Fl. Neotrop. Monogr. 111: 1--130.",111,111,http://www.jstor.org/stable/26312114
84912,"Hopkins, Helen C. F. 1986. Parkia (Leguminosae: Mimosoideae). Fl. Neotrop. Monogr. 43: 1-124.",43,43,http://www.jstor.org/stable/4393790
472940,"Ireland, Robert R. & Buck, William R. 1994. Stereophyllaceae. Fl. Neotrop. Monogr. 65: 1-49.",65,65,http://www.jstor.org/stable/4393854
333211,"Hekking, W. H. A. 1988. violaceae Part l—Rinorea and Rinoreocarpus. Fl. Neotrop. Monogr. 46: i-ii, 1-208.",46,46,http://www.jstor.org/stable/4393798
308874,"Prance, Ghillean T. 1972. Rhabdodendraceae. Fl. Neotrop. Monogr. 11: 1-22.",11,11,http://www.jstor.org/stable/4393685
466241,"Moguel Velázquez, Ana L. & Kessler, Michael. 2013. Grammitid ferns (Polypodiaceae). III. Alansmia. Fl. Neotrop. Monogr. 113: 1--68.",113,113,http://www.jstor.org/stable/26312118
472656,"Haynes, Robert R. & Holm-Nielsen, Lauritz B. 1992. The Limnocharitaceae. Fl. Neotrop. Monogr. 56: 32.",56,56,http://www.jstor.org/stable/4393828
472610,"Simpson, Beryl B. 1989. Krameriaceae. Fl. Neotrop. Monogr. 49: 1-108.",49,49,http://www.jstor.org/stable/4393807
472444,"Buck, William R. & Ireland, Robert R. 1989. Plagiotheciaceae. Fl. Neotrop. Monogr. 50: 1-23.",50,50,http://www.jstor.org/stable/4393810
68684,"Salazar Allen, Noris. 1993. Leucophanaceae. Fl. Neotrop. Monogr. 59: 1-11.",59,59,http://www.jstor.org/stable/4393836
238553,"Pennington, Terence D. 1990. Sapotaceae. Fl. Neotrop. Monogr. 52: 1-770.",52,52,http://www.jstor.org/stable/4393816
134651,"Berg, Cornelius C. & Franco Rosselli, Pilar. 2005. Cecropia. Fl. Neotrop. Monogr. 94: 1--230.",94,94,http://www.jstor.org/stable/4393938
39116,"Berg, Cornelius C., et al. 1990. Cecropiaceae: Coussapoa and Pourouma, with an introduction to the family. Fl. Neotrop. Monogr. 51: 1-208.",51,51,http://www.jstor.org/stable/4393813
