Identifier,bibliographicCitation
477952,"Maguire, Bassett, et al. 1953. The Botany of the Guayana Highland. Mem. New York Bot. Gard. 8 (2): 87-160."
357524,"Maguire, Bassett. 1967. The botany of the Guayana Highland--Part VII. Mem. New York Bot. Gard. 17: 1-439."
380818,"Maguire, Bassett. 1978. The botany of the Guayana Highland--part XI. Mem. New York Bot. Gard. 32: 1-391."
388856,"Mena V., Patricio. 1990. A revision of the genus Arcytophyllum (Rubiaceae: Hedyotideae). Mem. New York Bot. Gard. 60: 1-26."
306640,"Barneby, Rupert C. 1972. New and notable Menispermaceae tribe Tinosporeae. Mem. New York Bot. Gard. 22: 137-151."
187640,"Mitchell, D. J. & Mori, S. A. 1987. The cashew and its relatives (Anacardium: Anacardiaceae). Mem. New York Bot. Gard. 42: 1-76."
424008,"Smith, Lyman B. & Idrobo, J. M. 1952. Plants collected in Ecuador by W. H. Camp. Xyridaceae. Mem. New York Bot. Gard. 8 (1): 35."
306600,"Arroyo, M. A. 1976. The systematics of the legume genus Harpalyce (Leguminosae: Lotoideae). Mem. New York Bot. Gard. 26 (4): 1-80."
332662,"Leuenberger, Beat E. 1986. Pereskia (Cactaceae). Mem. New York Bot. Gard. 41: 1-140."
203818,"Renner, Susanne S. 1989. Systematic studies in the Melastomataceae Bellucia, Loreya and Macairea. Mem. New York Bot. Gard. 50: 1-112."
310164,"Wurdack, John J. 1967. Plants collected in Ecuador by W. H. Camp. Melastomataceae. Mem. New York Bot. Gard. 16: 1-45."
477379,"Acevedo-Rodríguez, Pedro. 1993. Systematics of Serjania (Sapindaceae) Part I: A Revision of Serjania Sect. Platycoccus. Mem. New York Bot. Gard. 67: 1-91."
327958,"Luteyn, James L. 1976. A revision of the Mexican Central American species of Cavendishia (Vacciniaceae). Mem. New York Bot. Gard. 28 (3): 1-138."
127838,"Dorr, Laurence J. 1990. A revision of the North American genus Callirhoe (Malvaceae). Mem. New York Bot. Gard. 56: 1-74."
388685,"Thomas, William W. 1984. The systematics of Rhynchospora section Dichromena. Mem. New York Bot. Gard. 37: 1-116."
398762,"Thiers, Barbara M. & Gradstein, S. Robbert. 1989. Lejeuneaceae (Hepaticae) of Australia. I. Subfamily Ptychanthoideae. Mem. New York Bot. Gard. 52: 79 p."
264497,"Becker, Kenneth M. 1979. A monograph of the genus Lasianthaea (Asteraceae). Mem. New York Bot. Gard. 31 (2): 1-64."
330381,"Funk, Victoria A. 1982. The systematics of Montanoa (Asteraceae, Heliantheae). Mem. New York Bot. Gard. 36: 1-133."
107736,"Lamont, E. E. 1995. Taxonomy of Eupatorium section Verticillata (Asteraceae). Mem. New York Bot. Gard. 72: 1-68."
263385,"Anderson, Christiane. 1972. A monograph of the Mexican and Central American species of Trixis (Compositae). Mem. New York Bot. Gard. 22: 1-68."
296353,"Gentry, Johnnie L. & Carr, Robert L. 1976. A revision of the genus Hackelia (Boraginaceae) in North America north of Mexico. Mem. New York Bot. Gard. 26: 121-227."
266005,"Ertter, Barbara J. 1986. The Juncus triformis complex. Mem. New York Bot. Gard. 39: 1-90."
263520,"Anderson, William R. 1972. A monograph of the genus Crusea (Rubiaceae). Mem. New York Bot. Gard. 22: 1-128."
317671,"Kopp, Lucille E. 1966. A tasonomic revision of the genus Persea in the Western Hemisphere (Perseae-Lauraceae). Mem. New York Bot. Gard. 14: 1-117."
477398,"Park, Chong-Wook. 1988. Taxonomy of Polygonum Section Echinocaulon (Polygonaceae). Mem. New York Bot. Gard. 47: 1-88."
307158,"Elias, Thomas S. 1976. A monograph of the genus Hamelia (Rubiaceae). Mem. New York Bot. Gard. 26: 81-144."
168781,"Mori, S. A. 1987. The Lecythidaceae of a lowland Neotropical Forest: La Fumée mountain, French Guiana. Mem. New York Bot. Gard. 44: 1-190."
109759,"Mori, S. A. & Lepsch da Cunha, Nadia M. 1995. The Lecythidaceae of a central Amazonian moist forest. Mem. New York Bot. Gard. 75: 1-55."
317747,"Krukoff, Boris A. 1965. Supplementary notes on the American species of Strychnos VII. Mem. New York Bot. Gard. 12: 1-94."
50201,"Henderson, A. & Borchsenius, F. 1999. Evolution, variation, and classification of palms. Mem. New York Bot. Gard. 83: i-xi, 1-324, color pls. I-XIII."
388747,"Pipoly III, John J. 1987. A systematic revision of the genus Cybianthus subgenus Grammadenia (Myrsinaceae). Mem. New York Bot. Gard. 43: 1-75."
307193,"Forero, Enrique. 1976. A revision of the American species of Rourea subgenus Rourea (Conaraceae). Mem. New York Bot. Gard. 26 (1): 1-119."
400187,"Maguire, Bassett & Wurdack, John J. 1958. The botany of the Guayana Highland--Part III. Mem. New York Bot. Gard. 10: 1-156."
266619,"Grear, John W. 1978. A revision of the New World species of Rhynchosia (Leguminosae-Faboideae). Mem. New York Bot. Gard. 31 (1): 1-168."
478229,"Maguire, Bassett, et al. 1957. Botany of the Chimanta Massif - I Gran Sabana, Venezuela. Mem. New York Bot. Gard. 9 (3): 393-484."
290706,"Irwin, Howard S. 1964. Monographic Studies in Cassia (Leguminosae-Caesalpinioideae). I. Section Xerocalyx. Mem. New York Bot. Gard. 12 (1): 1-114."
478228,"Maguire, Bassett & Wurdack, John J. 1957. The Botany of the Guiana Highland -- Part II. Mem. New York Bot. Gard. 9 (3): 235-392."
400190,"Maguire, Bassett & Wurdack, John J. 1964. The botany of the Guayana Highland--Part V. Mem. New York Bot. Gard. 10: 1-278."
400188,"Maguire, Bassett & Wurdack, John J. 1960. The botany of the Guayana highland--Part IV. Mem. New York Bot. Gard. 10: 1-37."
311963,"Bunting, George S. 1960. A revision of Spathiphyllum (Araceae). Mem. New York Bot. Gard. 10: 1-54."
266620,"Grear, John W. 1970. A revision of the American species of Eriosema (Leguminosae-Lotoldeae). Mem. New York Bot. Gard. 20: 1-98."
312942,"Cowan, Richard S. 1953. A taxonomic revision of the genus Macrolobium (Leguminosae-Caesalpinioideae). Mem. New York Bot. Gard. 8 (1): 257-342."
360130,"Britton, Nathaniel L. 1916. The vegetation of Anegada. Mem. New York Bot. Gard. 6: 565-580."
308647,"Niles, Wesley E. 1970. Taxonomic investigations in the genera Perityle and Laphamia (Compositae). Mem. New York Bot. Gard. 21: 1-82."
357433,"Liogier, Alain H. 1971. Novitates Antillanae. IV. Mem. New York Bot. Gard. 21: 107-157."
478483,"Lleras, Eduardo. 1972. Review of the Genus Haploclathra (Bonnetiaceae). Mem. New York Bot. Gard. 22 (4): 129-136."
393723,"Barneby, Rupert C. & Krukoff, Boris A. 1971. Supplementary notes on American Menispermaceae. VIII. A generic survey of the American Tricilisisae and Anomospermeae. Mem. New York Bot. Gard. 22: 1-89."
396153,"Morton, Conrad V. & Lellinger, David B. 1966. The Polypodiaceae subfamily Asplenioideae in Venezuela. Mem. New York Bot. Gard. 15: 1-49."
175511,"Mori, S. A. & Mitchell, John D. 1990. Tapirira bethanniana (Anacardiaceae) and Eschweilera piresii subsp. viridipetala (Lecythidaceae), two new taxa from central French Guiana. Mem. New York Bot. Gard. 64: 229-234."
307639,"Holmgren, Noel H. 1971. A taxonomic revision of the Castilleja viscidula group. Mem. New York Bot. Gard. 21: 1-63."
478268,"Maguire, Bassett. 1984. The Botany of the Guyana Highland - Part XII. Mem. New York Bot. Gard. 38: 1-84."
334416,"Welsh, Stanley L. 1990. Utah novelties in Carex (Cyperaceae) and Lomatium (Umbelliferae). Mem. New York Bot. Gard. 64: 123-128."
334393,"Pruski, John F. 1990. Compositae of the Guayana Highland -III. New taxa of Imeria and Mikania (Eupatorieae). Mem. New York Bot. Gard. 64: 239-247."
357522,"Maguire, Bassett. 1969. The botany of the Guayana Highland-part VIII. Mem. New York Bot. Gard. 18: 1-290."
307643,"Holmgren, Patricia K. 1971. A biosystematic study of North America Thlaspi montanum and its allies. Mem. New York Bot. Gard. 21: 1-106."
276007,"Barneby, Rupert C. 1977. Daleae Imagines, an illustrated revision of Errazurizia Philippi, Psorothamnus Rydberg, Marine Liebmann, and Dalea Lucanus emen. Barneby, including all species of Leguminosae tribe Amorpheae Borissova ever referred to Dalea. Mem. New York Bot. Gard. 27: 1-892."
102923,"Barneby, Rupert C. & Grimes, James W. 1997. Silk tree, guanacaste, monkey's earring: A generic system for the synandrous Mimosaceae of the Americas. Part II. Pithecellobium, Cojoba, and Zygia. Mem. New York Bot. Gard. 74: 1-149."
263073,"Allen, Caroline K. 1966. Contributions to the botany of Guiana. II. Lauraceae. Mem. New York Bot. Gard. 15: 53-95."
203638,"Wurdack, John J. 1953. A revision of the genus Brachyotum (Tibouchineae-Melastomataceae). Mem. New York Bot. Gard. 8 (4): 343-407."
185390,"Cowan, Richard S. & Brizicky, George K. 1960. Taxonomic relationships of Diomma Engler ex Harms. Mem. New York Bot. Gard. 10 (2): 58-64."
206520,"Gradstein, S. Robbert & Ilkiu-Borges, Anna L. 2009. Guide to the plants of Central French Guiana. Part 4. Liverworts and hornworts. Mem. New York Bot. Gard. 76 (4): i-iv + 1-140."
334414,"Wasshausen, Dieter C. 1990. Justicia maguirei, a new species of Acanthaceae from Guyana. Mem. New York Bot. Gard. 64: 235-238."
295353,"Barneby, Rupert C. 1991. Sensitivae Censitae.  A description of the genus Mimosa Linnaeus (Mimosaceae) in the New World. Mem. New York Bot. Gard. 65: 1-835."
102925,"Barneby, Rupert C. 1998. Silk tree, guanacaste, monkey's earring: A generic system for the synandrous Mimosaceae of the Americas. Part III. Calliandra. Mem. New York Bot. Gard. 74: 1-223."
102924,"Barneby, Rupert C. & Grimes, James W. 1996. Silk tree, guanacaste, monkey's earring: a generic system for the synandrous Mimosaceae of the Americas. Part I. Abarema, Albizia, and allies. Mem. New York Bot. Gard. 74: 1-292."
289404,"Irwin, Howard S. & Barneby, Rupert C. 1978. Monographic studies in Cassia (Leguminosae, Caesalpinioideae).  III.  Sections Absus and Grimaldia. Mem. New York Bot. Gard. 30: 1-300."
108091,"Irwin, Howard S. & Barneby, Rupert C. 1982. The American Cassiinae. A synoptical revision of Leguminosae tribe Cassieae subtrib Cassiinae in the New  World. Mem. New York Bot. Gard. 35, part 1: 1-454."
289569,"Irwin, Howard S. & Barneby, Rupert C. 1982. The American Cassiinae. A synoptical revision of Leguminosae tribe Cassieae subtrib Cassiinae in the New  World. Mem. New York Bot. Gard. 35, part 2: 455-918."
383517,"Barneby, Rupert C. 1990. Three new caesalpiniaceous trees from Guayana and its periphery. Mem. New York Bot. Gard. 64: 202-209."
304830,"Steyermark, Julian A. & Maguire, Bassett. 1972. The flora of the Meseta del Cerro Jáua. Mem. New York Bot. Gard. 23: 833-892."
306919,"Cowan, Richard S. 1967. Rutaceae of the Guayana Highland. Mem. New York Bot. Gard. 14: 1-14."
396618,"Sohns, Ernest R. & Swallen, Jason R. 1955. Plants collected in Ecuador by W. H. Camp. Gramineae. Mem. New York Bot. Gard. 9 (2): 133-146."
478219,"Ebinger, John E. 1964. Taxonomy of the Subgenus Pterodes, Genus Luzula. Mem. New York Bot. Gard. 10 (5): 279-304."
477208,"Hollick, Charles A. 1927. The Flora of the Saint Eugene Silts, Kootenay Valley, British Columbia. Mem. New York Bot. Gard. 7: 389-428."
266317,"Farwell, Oliver A. 1916. The genus Hippochaete in North America, north of Mexico. Mem. New York Bot. Gard. 6: 461-472."
327813,"Yuncker, Truman G. 1955. Plants collected in Ecuador by W. H. Camp. Piperaceae. Mem. New York Bot. Gard. 9 (2): 147-170."
261822,"Buck, William R. 1990. Contributions to the moss flora of Guyana. Mem. New York Bot. Gard. 64: 184-196."
307897,"Koyama, Tetsuo M. 1967. The systematic significance of leaf structure in the tribe Sclerieae (Cyperaceae). Mem. New York Bot. Gard. 16: 46-70."
317680,"Koyama, Tetsuo M. 1966. The systematic significance of leaf structure in the Cyperaceae-Mapanieae. Mem. New York Bot. Gard. 15: 136-159."
340376,"Carlquist, Sherwin. 1960. Anatomy of Guayana Xyridaceae: Abutboda, Orectanthe and Achtyplola. Mem. New York Bot. Gard. 10: 63-117."
304829,"Steyermark, Julian A. & Maguire, Bassett. 1967. Botany of the Chimanta Massif--II. Mem. New York Bot. Gard. 17: 440-464."
305244,"Stern, William L. & Brizicky, George K. 1960. The morphology and relationships of Diomma, gen. inc. sed. Mem. New York Bot. Gard. 10: 38-57."
316936,"Irwin, Howard S. 1966. Contributions to the botany of Guiana. III. Leguminosae Mimosoideae. Mem. New York Bot. Gard. 15: 96-111."
76609,"Stevenson, Dennis W. 1990. Morphology and systematics of the Cycadales. Mem. New York Bot. Gard. 57: 8-55."
478274,"Maguire, Bassett. 1989. The Botany of the Guayana Highland- Part XIII. Mem. New York Bot. Gard. 51: 1-127."
289455,"Barneby, Rupert C. 1964. Atlas of North American Astragalus. Mem. New York Bot. Gard. 13(1): 1-596."
289456,"Barneby, Rupert C. 1964. Atlas of North American Astragalus. Mem. New York Bot. Gard. 13(2): 597-1188."
263505,"Anderson, W. R. 1990. Two new species of Heteropterys (Malpighiaceae) from the Guayana Highland. Mem. New York Bot. Gard. 64: 225-228."
313013,"Cronquist, Arthur J. 1965. Studies in Mexican Compositae. I. Miscellaneous new species. Mem. New York Bot. Gard. 12: 286-292."
321498,"Prance, Ghillean T. 1966. New and interesting Connaraceae from South America. Mem. New York Bot. Gard. 15: 129-132."
134955,"Irwin, Howard S. & Rogers, David J. 1967. Monographic studies in Cassia (Leguminosae -- Caesalpinoideae) II. A taximetric study of section Apoucouita. Mem. New York Bot. Gard. 6: 71--120."
