"taxonID","Identifier","bibliographicCitation"
"wfo-0001046950","324647","Smith, Albert C. 1952. Plants collected in Ecuador by W. H. camp. Vaceiniaceae. Mem. New York Bot. Gard. 8 (1): 41-85."
"wfo-0000468895","380330","Maguire, Bassett. 1978. The botany of the Guayana Highland--part X. Mem. New York Bot. Gard. 29: 1-288."
"wfo-0001055059","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0001057115","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0001046916","324647","Smith, Albert C. 1952. Plants collected in Ecuador by W. H. camp. Vaceiniaceae. Mem. New York Bot. Gard. 8 (1): 41-85."
"wfo-0001057092","401663","Isley, Duane. 1975. Leguminosae of the United States: II. Subfamily Caesalpinioideae. Mem. New York Bot. Gard. 25 (2): 1-228."
"wfo-0000938136","327948","Kirkbride, Joseph H., Jr. 1976. A revision of the genus Declieuxia (Rubiaceae). Mem. New York Bot. Gard. 28 (4): 1-87."
"wfo-0001194715","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001194730","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194732","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194732","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194761","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194764","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194778","477883","Buck, William R. 1987. Bryostephane Steereana: A Collection of Bryological Papers Presented to William Campbell Steere On The Occasion of His 80th Birthday. Mem. New York Bot. Gard. 45: 1-749."
"wfo-0001194825","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194860","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001197045","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001197089","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194860","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194897","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001194905","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001194910","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001194922","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001194923","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001194948","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194959","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001189075","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001189841","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001190447","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001190554","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001190559","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001190560","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001190561","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001190568","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001190568","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001191124","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001191185","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001191452","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001191821","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001191955","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001192089","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186471","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186575","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001186609","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186706","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186708","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186741","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001186874","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001187042","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001187232","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001187254","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001187592","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001187819","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001187891","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001188583","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001188621","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001188621","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001188704","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001189077","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194096","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194107","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194138","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194407","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194428","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194490","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001194490","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001165259","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001184371","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001184546","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001184651","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001184778","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001184779","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001185933","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001185942","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001185964","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001185978","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001185993","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001185994","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001185996","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001185997","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001186001","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001186002","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001186040","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186065","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001186104","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186271","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001186535","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001194557","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194558","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001191180","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001179020","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001163167","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001159385","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001154348","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001153938","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001153537","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001155618","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001150801","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001160148","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001159930","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001159820","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001159773","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001158060","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001158057","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001157914","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001157612","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001157605","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001052972","72609","Rusby, Henry H. 1927. Descriptions of New Genera and Species of Plants Collected on the Mulford Biological Exploration of the Amazon Valley 1921-1922. Mem. New York Bot. Gard. 7: 205-387."
"wfo-0001052333","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0001051926","72609","Rusby, Henry H. 1927. Descriptions of New Genera and Species of Plants Collected on the Mulford Biological Exploration of the Amazon Valley 1921-1922. Mem. New York Bot. Gard. 7: 205-387."
"wfo-0001051522","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0001051123","72609","Rusby, Henry H. 1927. Descriptions of New Genera and Species of Plants Collected on the Mulford Biological Exploration of the Amazon Valley 1921-1922. Mem. New York Bot. Gard. 7: 205-387."
"wfo-0001050597","72609","Rusby, Henry H. 1927. Descriptions of New Genera and Species of Plants Collected on the Mulford Biological Exploration of the Amazon Valley 1921-1922. Mem. New York Bot. Gard. 7: 205-387."
"wfo-0001050595","72609","Rusby, Henry H. 1927. Descriptions of New Genera and Species of Plants Collected on the Mulford Biological Exploration of the Amazon Valley 1921-1922. Mem. New York Bot. Gard. 7: 205-387."
"wfo-0001050500","72609","Rusby, Henry H. 1927. Descriptions of New Genera and Species of Plants Collected on the Mulford Biological Exploration of the Amazon Valley 1921-1922. Mem. New York Bot. Gard. 7: 205-387."
"wfo-0001049790","401662","Isley, Duane. 1973. Leguminosae of the United States: I. Subfamily. Mimosoideae. Mem. New York Bot. Gard. 25 (1): 1-152."
"wfo-0000212858","401663","Isley, Duane. 1975. Leguminosae of the United States: II. Subfamily Caesalpinioideae. Mem. New York Bot. Gard. 25 (2): 1-228."
"wfo-0000212257","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0000212232","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0000212184","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0000212182","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0000212180","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0000212156","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0000212115","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0000212111","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0001166586","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001167489","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001167508","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001168165","90699","Buck, William R. 1998. Pleurocarpous mosses of the West Indies. Mem. New York Bot. Gard. 82: 1-400."
"wfo-0001168409","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001169322","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001169346","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001169704","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0000954109","479815","Ackerman, James D. 1995. An orchid flora of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 73: 1-203."
"wfo-0000954168","479815","Ackerman, James D. 1995. An orchid flora of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 73: 1-203."
"wfo-0000975102","479815","Ackerman, James D. 1995. An orchid flora of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 73: 1-203."
"wfo-0000978187","479815","Ackerman, James D. 1995. An orchid flora of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 73: 1-203."
"wfo-0000979384","479815","Ackerman, James D. 1995. An orchid flora of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 73: 1-203."
"wfo-0000981179","479815","Ackerman, James D. 1995. An orchid flora of Puerto Rico and the Virgin Islands. Mem. New York Bot. Gard. 73: 1-203."
"wfo-0001049823","401663","Isley, Duane. 1975. Leguminosae of the United States: II. Subfamily Caesalpinioideae. Mem. New York Bot. Gard. 25 (2): 1-228."
"wfo-0001051530","329902","Isely, Duane. 1981. Leguminosae of the United States. III. Subfamily Papilionoideae: tribes Sophoreae, Podalyrieae, Loteae. Mem. New York Bot. Gard. 25 (3): 1-264."
"wfo-0001154753","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001154784","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001154859","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001154887","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001154904","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001154920","477501","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part One: Sphagnales to Bryales. Mem. New York Bot. Gard. 69 (1): 1-452."
"wfo-0001154980","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001155060","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194622","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
"wfo-0001194623","477754","Sharp, Aaron J., et al. 1994. The Moss Flora of Mexico. Part Two: Orthotrichales to Polytrichales. Mem. New York Bot. Gard. 69 (2)"
