Wfo,General
wfo-0001030389,"Solanum physalifolium is one of several glandular-pubescent morelloids from the southern Andes. Morphologically it is similar to both S. physalidicalyx and S. profusum; the three species all have anthers 2–3 mm long and long, sticky glandular trichomes. Solanum physalifolium differs from S. physalidicalyx in mature fruits; the calyx is inflated and completely covering the whitish green to cream berry in S. physalidicalyx and only partially covering the dark green marbled berry in S. physalifolium. Solanum physalifolium is an annual, while S. profusum is a rhizomatous perennial. Leaf shape also differs; S. profusum has more lanceolate to lance-elliptic leaves, while those of S. physalifolium and S. physalidicalyx are ovate to elliptic ovate. The distributions of the three species do not overlap."
wfo-0001026988,"Solanum chenopodioides is a weedy, ruderal species occurring in open disturbed areas throughout its range. In South America, it is morphologically most similar to S. pilcomayense, with which it is sympatric in Argentina, but differs in its elliptic leaves with acute to attenuate bases (versus triangular leaves with truncate to hastate bases), smaller anthers (2–2.8 mm long versus 3–4 mm long), and deltate or triangular versus spathulate calyx lobes. The fruiting peduncle of S. chenopodioides bends downwards at the base so it is held at an angle of ca. 45-degree with respect to the stem (see Figs 35G, 36D), but this character is not always obvious in herbarium specimens. Anthers in S. chenopodioides are always much longer (2–2.8 mm) than in S. americanum (0.8–1.5 mm), and the berries are matte (versus shiny) in texture and always lack stone cells (versus often with 2–4 stone cells per berry in S. americanum). In the Eastern Hemisphere, it can be distinguished from all other Morelloids based on its narrowly lanceolate leaves with grey indumentum, inflorescences with ca. 3-7 flowers tightly congested near the tip of the peduncle, the stellate corollas that are deeply lobed to the base and usually with a dark purple or black central star and anthers that are usually more than 2 mm and up to 2.8 mm long. In fruit, the pedicels and proximal portion of the peduncle are strongly reflexed and the berries are not at all shiny. Solanum retroflexum has similar matte black berries, but has rhomboid leaves, less deeply divided corollas, shorter anthers and the calyx lobes are strongly reflexed in fruit. Solanum chenopodioides could also potentially be confused with the more common S. nigrum, especially in Europe, but differs from that species in its terete stems, matte black fruits on short strongly reflexed pedicels, and its smaller seeds (1.2 mm long versus 2 mm long). Solanum chenopodioides has a scattered distribution in the Eastern Hemisphere, but it seems to be spreading, perhaps related to climate change and/or increased habitat alteration. In southern United States, S. chenopodioides can be confused with S. pseudogracile and some populations of S. americanum around the coast of the Gulf of Mexico. Solanum chenopodioides can be distinguished from thes two species based on its short-triangular calyx lobes with acute apices that remain appressed to the berry at fruit maturity, as opposed to the longer, rectangular calyx lobes with rounded to acute apices that are reflexed in fruit of S. pseudogracile, are characters that distinguish the taxa. In flower, the extension of style beyond the anther cone is a good character to separate S. chenopodioides from S. pseudogracile; the style remains almost completely inside the anther cone in S. chenopodioides (exserted to 1–1.5 mm) and is clearly exserted in S. pseudogracile (exserted to (1)2.0–2.5 mm). Many specimens annotated as S. chenopodioides from around the Gulf of Mexico (e.g., Florida) are actually plants of S. pseudogracile. In Central America, Solanum chenopodioides can be distinguished from S. nigrescens by the lack of stone cells in fruit, while S. nigrescens has always 4–13 stone cells per fruit. Anthers in S. chenopodioides are always much longer (2.0–2.8 mm) than in S. americanum (0.8–1.5 mm). The strongly deflexed peduncle and pedicels in fruit are distinctive in S. chenopodioides but are not always obvious in herbarium specimens."
wfo-0001027811,"Solanum emulans can be distinguished from other morelloids in North America by the small anthers 1.0–1.5 mm long, relatively long filaments 0.6–1.0 mm compared to S. americanum, calyx lobes longer than S. americanum and these appressed in fruit rather than strongly reflexed like in S. americanum, pedicel thickened at the apex in fruit (unlike in S. americanum), and pedicels that drop off with mature fruits (pedicels remain on the inflorescence in S. americanum). Solanum emulans has always 4–9(10) stone cells in fruits, while S. americanum either lacks or has maximum of 4 stone cells. Solanum emulans can be distinguished from S. interius and S. nigrescens by its shorter anthers, usually shorter calyx lobes, and usually unbranched inflorescences. When sympatric with the occasionally introduced S. nigrum, S. emulans can be easily distinguished based on anther length and the numerous stone cells in the berries, but S. emulans also generally has thinner leaves that are often purplish tinged beneath. In the Great Plains, the morphologically similar S. interius becomes more common than S. emulans, while along the southern East and Gulf coasts in the United States of America S. americanum becomes more common. Solanum emulans is not known from the Caribbean."
wfo-0001028687,"Solanum interius can be distinguished from other North American morelloids by its inflorescence with apparently uneven branches, one with several flowers and the other apparently with a single flower that is actually the basal flower with the articulation ca. 1/4 to 1/3 of the way up the pedicel, very like the pedicel articulation in wild potatoes. Other distinguishing features to be used in combination with this are the medium-sized anthers 1.8–2.5 mm long and relatively long rectangular calyx lobes with rounded apices. Solanum nigrescens has more regularly spaced flowers, occasionally branched inflorescences with more than one flower per branch and is more common along the Gulf Coast but distinguishing the two species without locality information can be difficult. The seeds of S. interius are much larger than those of S. nigrescens (1.8–2 mm versus 1.2–1.5 mm long) or any other of the diploid morelloids occurring in the area. Stone cell number can also be used as a distinguishing character; S. interius has 2–4 stone cells in each berry while S. nigrescens has more than 6 and often as many as 12. Solanum interius is sympatric with S. emulans and can be distinguished from that species in its longer anthers (1.8–2.5 mm long versus 1.5–1.8 mm long), its rounded calyx lobe apices, and its larger berries (10–14 mm in diameter versus 6–8 mm in diameter) with larger seeds (1.8–2.0 mm long versus 1.6–1.8 mm long). The flowers of S. emulans are usually smaller than those of S. interius. Nee (on label of Nee 61337) says that living plants of the two species are quite distinct, and that S. interius is a perennial growing in the shade of single trees."
wfo-0001021586,"Exodeconus integrifolius is recognised by its small, ovate to subrotate leaves with entire margin, its small (greenish/white?, not yellow) corolla and, in fruit, the strangely ribbed calyx. Since I have only studied one collection, the measures given are tentative. Further collections will hopefully confirm the diagnostic characters and hence, this taxon as separate from E. flavus. "
wfo-0001021585,"Exodeconus flavus is easily recognised by its yellow corollas and cordate to subrotate leaves. The dried, coiled up corollas are often long persistent on top of the developing fruits. "
wfo-0001021589,"Exodeconus prostratus is recognised by its ovate leaves with a blunt apex and also by its thin, reticulate calyx. Already in flower the long-haired calyx is a bit inflated and does not invest the corolla base tightly. In fruit the thin, big, reticulate calyx is often crowned by the dried, coiled up corolla. Note that in the original description the stamens are said to be unequal but even if the stamens of the type specimen are unusually unequal they are still more or less equal compared to E. integrifolius, E. pusillus, and E. maritimus. "
wfo-0001021588,"Exodeconus miersii is recognised by the form of its leaves in combination with large corollas with equal stamens. The filaments bear only few, minute stiff hairs. The testa cells are larger than in E. maritimus even if the seeds are smaller. "
wfo-0001021587,"Exodeconus maritimus is recognised by its leaves in combination with its large flowers with unequal stamens. The filaments have comparably long stiff hairs at the upper part. Rarely the leaves could have the broad sinuses at the base sides which is typical for E. miersii, but the leaves are longer than broad. The dried and coiled up corollas are sometimes persistent on the developing fruits. "
wfo-0001028351,"Only known from 6 collections (including the type), S. herbabona is restricted to the region around Vallenar in Atacama, extending south to the border with Coquimbo. The species is easily recognised by the leaves which are usually petiolate with truncate bases. No details are known of its habitat, and further collections are required."
wfo-0001028657,"Solanum indivisum is known from only three sheets, all collected in Chile in the nineteenth century. It is similar to Solanum trinominum and S. coquimbense in the strongly unequal length of the stamens. However, the long, narrow, sessile leaves of Solanum indivisum have a weakly dentate or subentire margin, in contrast to the strongly lobed leaves of S. trinominum and S. coquimbense. The pentagonal corolla, cuneate leaf bases, sessile leaves, and longer internodes are points of difference from Solanum coquimbense. No fruiting material is known and further collections are required."
wfo-0001026642,"Solanum brachyantherum is easily identified by the size of the flowers, which are much smaller than any of the other species of section Regmandra. The pinnae of the pinnate or bipinnate leaves are only about 1 mm wide, and are much narrower than those of S. remyanum or S. multifidum."
wfo-0001031072,"Solanum scabrum is the most commonly cultivated and widespread of the African black nightshades. It is the most important indigenous leafy vegetable in the black nightshade group, and is commonly known as the African nightshade. Solanum scabrum shows great variation in growth form, leaf shape and size, and berry number, in part due to the significant local variation introduced by human selection in cultivated populations. The species has also been introduced to Europe, North America, Australia, and New Zealand. In the United States of America, S. scabrum is known as Garden Huckleberry, and its identity, origin and suitability to human consumption were the subject of great interest in the 1960's (as S. guineense). Different cultivars are recognised, the late flowering plants cultivated for their larger abundance of leaves with smaller number of fruits, and earlier flowering plants that have larger inflorescences which are cultivated for their fruits. Cultivated forms of S. scabrum stand out as quite distinctive; all forms have larger flowers and anthers that are often brownish in colour, while the forms cultivated for their leaves have larger, longer petiolate leaves and form cultivated for their fruits have larger, more numerous and shinier berries (the size of cherries) on erect or spreading pedicels. The pericarp in S. scabrum berries in all varieites is quite thick compared to other black nightshades, but mature berries of cultivars show variation in anthocyanin content where some individuals have dark purple mesocarp and others pale green. One of the major limitations to cultivation of S. scabrum as a leaf vegetable is the relatively low leaf yield due to early flowering and excessive fruiting. Wild forms of S. scabrum have often been called S. nigrum, but they differ from true S. nigrum which in Africa only occurs in the north along the Mediterranean in their congested inflorescences, spreading pedicels, calyx lobes that tear unevenly and long-petiolate leaves. Solanum scabrum can be distinguished from the somewhat similar S. americanum by its larger anthers (2-3 mm long versus 0.8-1.5 mm long). In these both species, as well as S. retroflexum, the berries usually lack stone cells (some populations of S. americanum can have up to 4 stone cells) and drop without the pedicels at maturity, leaving the pedicels behind on old inflorescences. In both S. scabrum and S. americanum, berries are purple-black and shiny, while S. retroflexum has matte purple-black berries with a distinct grey bloom. The pedicels of S. scabrum are usually erect or spreading."
wfo-0001025855,"Solanum alpinum is a plant of high elevations with both glandular and eglandular morphs. Glandular forms were named as S. viscidissimum, while in the same publication eglandular forms were named S. alpinum. Because the two names have not been synonymised before (neither name was included in Backer and Bakhuisen van der Brink 1965 or in van Steenis 2006), we have chosen to use S. alpinum over S. viscidissimum because the name is more generic and appropriate for the distribution of the species. It can be distinguished from S. americanum and S. nigrum, both of which also occur in Indonesia by its larger usually violet flowers on long pedunculate inflorescences. Anthers of S. alpinum are 2.8-3.8(-4) mm long, while those of S. americanum are minute (ca. 1.5 mm) and those of S. nigrum ca. 2 mm long. The leaves are usually narrower and longer (more lanceolate) than either of those two species, but two Horsfield collections with smaller, rounder leaves are included here based on anther length and flower size, so variability could be greater than we have seen. The plant illustrated as Solanum nigrum in van Steenis (2006: plate 51) is likely to be S. alpinum; the excellent illustration has the narrow leaves, long pedicels and large flowers characteristic of that species. The dismissal of it as a probable introduction has been the fate of all of the more narrowly distributed members of this group. The distribution of S. alpinum along the volcanic chain of Java above 2,000 m elevation is typical of other members of this rich flora that are found in areas created and influenced by fire resulting from volcanism, and subsequent open habitat and grassland creation (as described in van Steenis 2006). Solanum alpinum is likely to also occur in the tjemara forests (sensu van Steenis 2006) dominated by Casuarina junghuhniana Miq. (Casuarinaceae). Further fieldwork and more accurately geolocated collections are needed to ascertain the distribution and habitat preferences of S. alpinum."
wfo-0001029815,"Solanum nigrum, the type species of the genus Solanum, is a widespread weed with much morphological variation recognized at various infrageneric levels by many different authors and there are almost 100 names associated with the species. Solanum nigrum is morphologically similar to S. scabrum, but can be distinguished on the following suite of morphological characteristics; Solanum nigrum has leaves with rather indistinct petioles, inflorescences with the flowers spaced along the rhachis, acute calyx lobes that are more or less appressed to the berry in fruit, berries that are not markedly shiny, and berries that not markedly shiny and often have stone cells (particularly in Asia). Solanum scabrum has distinctly petiolate leaves, the flowers are usually tightly congested at the tips of inflorescences or inflorescence branches, the calyx lobes are rounded, irregular and strongly reflexed in fruit, and the berries are shiny with thick pericarp and lack stone cells. In addition, the fruiting pedicels of S. nigrum are spreading to somewhat recurved, while those of S. scabrum are erect and strongly spreading. Throughout its range in Europe and into Eurasia as far as western China, S. nigrum is sympatric with S. villosum. The simplest distinguishing character is mature berry colour; S. villosum has red, orange or yellow berries, while those of S. nigrum are black or green. Many old collections, however, do not state berry colour on the label, so identification can be difficult. Calyx lobes are useful for distinguishing these taxa; S. nigrum calyx lobes are usually deltate and acute, with sharp triangular sinuses, while those of S. villosum are longer, usually rounded at the tip and the sinuses are broad and quite transparent (see description of S. villosum), leaving a paler window just below the sinus in flower buds and early flowers. The shiny, translucent berries of S. villosum (mostly slightly ellipsoid) usually dry blackish brown, but are distinct from the matte, more opaque berries of S. nigrum. Neither species has stone cells in Europe, but in Asia, S. nigrum usually has 2 (or occasionally more) stone cells in the berries. Both species retain pedicels after fruits drop, but S. nigrum is not as extreme in this regard and often plants are found with old inflorescences with no remaining pedicels. Solanum nigrum has been considered native only to Europe, but our study of populations of this widespread weed across its range has shown that largest morphological variation can be observed in Asia. Populations of S. nigrum from Asia have more stone cells in the fruit, and the plants have a more delicate look overall with longer peduncles and often fewer flowers per inflorescence. Material from Asia has been described as different taxa (e.g., S. guanchounense, S. chenopodiifolium) but the variation is continuous across the range, with European populations being more invariant (except in leaf shape and indumentum). Populations in Europe represent a relatively monomorphic set of populations compared to material from China and eastern Asia. We therefore consider that the species is native to the entire Eurasian area, with limited introductions to North America. North American material we have seen appears most similar to European plants based on morphology, suggesting the introduction to North America came from European populations, but this has not been tested genetically. Australian populations of S. nigrum could have originated either from Europe or from Asia. In general, S. nigrum in Australia does not seem to have stone cells in general, and plants fall into two continuously variable groups: one is similar to classic European S. nigrum, and the other is more similar to plants from eastern and south-eastern Asia. In North America, S. nigrum can be distinguished from other Morelloids (e.g., S. americanum, S. douglasii, S. emulans, S. interius, S. nigrescens) in the character combination of thicker peduncles and pedicels, larger seeds and fruits lacking stone cells. It has longer anthers (2.5–3 mm) than S. emulans and S. americanum, both of which have tiny anthers ca. 1.5 mm long. Like S. nigrescens, it has inflorescences with the flowers spaced along the rhachis, but S. nigrescens has prominent stone cells in the berries and smaller seeds. Solanum interius has similarly large seeds but has fewer flowers per inflorescence and distinctive basal flower pedicel position (articulation above the join with the rhachis)."
wfo-0001030626,"Solanum pseudospinosum is a high elevation species that in our circumscription only occurs along the so-called Cameroon line that is along the junction of the Congo and West African cratons (Fitton 1987). We recognise the East African plants identified as S. pseudospinosum by Edmonds (2012) as high elevation, particularly pubescent populations of the more widespread S. tarderemotum. The key characters distinguishing the two species are the pedicel that remains on the plant after fruit drop in S. pseudospinosum, while those of S. tarderemotum drop with the berries, and the prominent articulations at the bases of the pedicels in S. tarderemotum. Other differences of S. pseudospinosum, but less easy to see, are the elongate, spathulate calyx lobes in fruit (those of S. tarderemotum are less hyaline and usually pointed) and the few-flowered congested inflorescences (as opposed to elongate, rather evenly spaced flowers along the rhachis in S. tarderemotum). Solanum pseudospinosum is also sympatric with wild populations of S. scabrum from which it can be distinguished by the dense spreading pubescence, the presence of stone cells in the fruit and the somewhat accrescent calyx lobes appressed to the berry. The Cameroon line along which Solanum pseudospinosum occurs runs from the island of Bioko to the Tchabal Mbabo plateau and is of volcanic origin with activity beginning the Cretaceous, but peaking in the Pliocene and continuing to the present (Wright et al. 1985). The island of Bioko is Pliocene in age (Wright et al. 1985) and been connected and separated from the mainland several times throughout the Pleistocene. Smith et al. (2000) found only weak relationships between populations of two bird species along the Cameroon line, suggesting they evolved by allopatry. Plant diversity in this area is among the highest in tropical Africa (Sosef et al. 2017), but despite having within it some well-sampled units (e.g., Mount Cameroon) the northern extent of the escarpment is very poorly sampled (Sosef et al. 2017: 12, fig. 7). Better field knowledge of the distribution of S. pseudospinosum, coupled with better knowledge of its habitat preferences and genetic structure, will help unravel the evolutionary history of this narrowly endemic species. Solanum pseudospinosum is a tetraploid species with unknown parentage (Olet et al. 2015). The species has not been included in any previous crossing and molecular studies that have focused on understanding the parental origin of the hexaploid species S. nigrum and S. scabrum (e.g., Edmonds 1977, 1979; Ganapathi and Rao 1985, 1986b, 1986c, 1987a, 1987b; Jacoby et al. 2003; Jacoby and Labuschagne 2006; van der Walt et al. 2008; Poczai and Hyvönen 2011). It could represent one of the tetraploid parents of the hexaploids, and should be included in further studies focused on understanding the origin of the polyploids."
wfo-0001029498,"Solanum memphiticum was long confused with S. villosum; both are similarly villous plants with toothed leaves that are sometimes pubescent with glandular trichomes. Edmonds (2007) clarified not only the differences between the two species, but also the identity and correct name for S. memphiticum. The species can be easily distinguished in fruit; S. villosum has characteristic red-orange (or yellow) berries with strongly reflexed calyx lobes, while S. memphiticum has green or black berries with the calyx lobes somewhat accrescent and covering at least a third of the berry. Fruiting pedicels of S. memphiticum are typically spreading and in live plants form a small bicycle spoke-shaped structure, while those of S. villosum are deflexed. Live plants of the two species are easy to distinguish: the leaves (glandular trichomes) of S. memphiticum have a strong foetid odour of rotting meat that is markedly different from the slightly pleasant odour of S. villosum. In flower S. memphiticum can be distinguished by its rotate-stellate corolla with small lobes that are strongly reflexed in flower, and calyx lobes that extend beyond the corolla sinuses in open flowers. The flowers of S. memphiticum are delicate and only last a short time as compared to other species (the corolla bruises easily), Leaves of S. memphiticum are generally longer and thinner than those of S. villosum, and the base is more decurrent onto the petiole so the free part of the petiole in S.memphiticum is much shorter than in S. villosum. The parental origin of the tetraploid species has not been investigated in detail. Jaeger (1985) suggested that S. memphiticum might be part of a more broadly circumscribed S. villosum, that included a wide range of fruit colours. Manoko (2007) showed that S. memphiticum (as S. grossedentatum) does not group closely with S. villosum based on AFLP data but forms a distinct group related to accessions identified as S. tarderemotum, S. chenopodioides, S. nitidibaccatum (as S. physalifolium), and S. tweedianum. Further molecular work based on sequence data will be needed to understand the relationships and parental origins of S. memphiticum, but possible diploid parents could be the morphologically closely related S. sarrachoides or S. nitidibaccatum that both occur in the Eastern Hemisphere. Both of these species are glandular and have an enlarged calyx in the fruit, characters shared with S. memphiticum."
wfo-0001030090,"Solanum opacum is extremely similar to S. americanum; both species have minute flowers with anthers usually less than 1.5 mm long. They co-occur across the Pacific, but can be distinguished easily, particularly in fruit. Solanum opacum has matte berries that are green or greyish purple at maturity, with appressed or slightly spreading calyx lobes, while S. americanum has very shiny berries that are black or dark purple at maturity and calyx lobes that are very strongly reflexed. The pedicels of S. americanum remain on the plant as fruits fall, while those of S. opacum drop with the mature berries. In flower, the relative lengths of filament to anther is a useful distinguishing character; S. opacum has filaments that are as long as or slightly longer than the anthers, while the filaments of S. americanum are always shorter than the anthers. Our circumscription of S. opacum encompasses a much wider distribution than that of Henderson (1974), who treated only the Australian populations. The treatments of Solanum nigrum or Solanum americanum in the Pacific could apply to either S. opacum or S. americanum. Degener(1945) records the use of morelloid species in Hawaii for both food and medicine; both species occur there. Solanum opacum is hexaploid and based on network analysis of arbitrary amplified DNA markers, Poczai and Hyvönen (2011) suggested that Australian populations of S. retroflexum were a possible tetraploid parent of S. opacum. The putative diploid parent is S. chenopodioides, S. nitidibaccatum, or some other closely related species (Poczai and Hyvönen 2011). Morphologically, S. retroflexum somewhat resembles S. opacum, but the shared molecular markers could also come from a common progenitor of the two polyploid species."
wfo-0001028050,"Solanum furcatum is similar to S. arequipense, an endemic species found to the north in western Peru. The two taxa have long been confused (e.g., Nees von Esenbeck 1843) and in our treatment of S. furcatum in its introduced range outside of South America (Särkinen et al. 2018), we considered them to be conspecific (e.g., Knapp et al. 2019: 67 illustrated S. furcatum with a drawing of S. arequipense). We recognise these two species here based on the subtle morphological differences that correspond to geographically distinct distributions. They are supported as evolutionarily distinct based on a molecular phylogeny that shows samples of the two species in distinct well supported clades (Gagnon et al. 2022). Both taxa exhibit the combination of a long-exserted style with the exserted portion equal to or longer than the length of the anthers, shallowly lobed corolla, calyx lobes separated by a paler sinus, forked to unbranched inflorescences (rarely several times branching), and usually large, lush leaves. The inflorescence branches of S. furcatum are less strongly divergent than those of S. arequipense, and the berries of S. furcatum always have more than six stone cells, while those of S. arequipense have only two or stone cells are absent. Solanum pentlandii also has similar globose buds and exserted styles but has much shorter anthers (less than 2 mm versus 2.5–3 mm in S. furcatum) and shiny green berries that lack stone cells. Solanum pentlandii occurs at high elevations in disturbed, nitrogen-rich areas in Peru and Bolivia and is not sympatric with S. furcatum. In the introduced range in the Eastern Hemisphere, S. furcatum can be distinguished from all other species based on its branched inflorescences, anthers 2.3-3.3 mm long, and flowers where styles are exserted up to 3.0 mm beyond anthers. IIt is potentially confusable with S. nigrum, but is distinguished from it in the characters mentioned above, and in its 6-14 stone cells per berry. Its subglobose buds are also distinct from the more ellipsoid buds of S. nigrum and S. villosum, but this character can be hard to see in herbarium specimens. In United States, Solanum furcatum can be distinguished from the similar and sympatric S. douglasii in its usually forked inflorescences, globose buds from which the style is often exserted, ellipsoid anthers on distinct filaments, and berries with usually more than 10 stone cells. Solanum furcatum is not sympatric with S. nigrescens but differs from it in the same set of characters and in its style that is exserted for as long as the anther cone (e.g., exserted portion of the style equal to the length of the anther cone).
"
