Wfo,Vercular
wfo-0001030090,"Australia: currant, green-berry nightshade (Symon 1981; Harden 1993), dark nightshade (Walsh and Entwisle 1999), tamatha, tamada; Fiji: mau, mboro laukana, murimuri; Indonesia: kenkene; Malaysia: tutan; Papua New Guinea: bek, kepa, kepilam, ongkara, tagur/tagura, tuskombuk, wietat; Pitcairn Islands: o brew."
wfo-0001028050,"Chile. Región V (Valparaiso): yerba mora (Philippi s.n.); Región VI (O’Higgins): yerba mora (Bertero 633); Región VIII (Bío-Bío): llaqui (Junge 2611). Australia: broad nightshade (Walsh and Entwisle 1999).
"
wfo-0001029932,"Australia: cherry nightshade (Walsh and Entwisle 1999); Austria: Glanzbeeren-Nachtschatten (Fischer et al. 2005); Denmark: storbægret natskygge (Hartvig 2015); Finland: kehtokoiso (Hämet-Ahti et al. 1998); France: morelle &agrave; feuilles de coqueret (Jauzein and Nawrot 2011); New Zealand: hairy nightshade (Webb et al. 1988); Sweden: bägarnattskatta (Mossberg et al. 2003); United Kingdom: Argentinian nightshade, green nightshade (Stace 2010). Canada. Hairy nightshade, morelle poilu (Alex et al. 1980, as S. sarrachoides). United States of America. Ground-cherry nightshade (NatureServe 2017, as S. physalifolium), Hairy nightshade (Mohlenbrock 2014), Hoe nightshade (USDA Plants 2017, as S. physalifolium), “ah-dye-ee na-tizuah” (Paiute, Train et al. 1941, as S. villosum).
"
wfo-0001030827,"South Africa: mofhswe, nastegaal/nastergal, umsobo, gsoba, msoba (Heiser 1969); Zimbabwe: m'Sungula, muSungu sungu. United States of America. Sunberry (Schilling 1981), Wonderberry (see Heiser 1969)."
wfo-0001032383,"Austria: Rotbeeren-Nachtschatten, Gelbbeeren-Nachtschatten, Gelbrotbeeren-Nachtschatten (Fischer et al. 2005), Flügel-Nachtschatten; Chad: abriki, waatenni, waha tinni; China: hong guo long kui (Zhang et al. 1994); Denmark: højrød natskygge (Hartvig 2015); Egypt: 'enneyb, aneb el dib/aneb el dik; ilshsmdhut, ribai hauwei; Ethiopia: auwt; Greece: styphnos; India: gammie, kambe, tutguna (Kalahandia language); Iraq: anab dheeb; Italy: morella rossa (Pignatti 1982); Kenya: isoiyot/isoyot, itulu, ksoya, kusuyo, manangwe, managu, munavu, ndolu, ol' momoit/ol' momoye, ormomoi; New Zealand: red-berried nightshade (Webb et al. 1988); Nigeria: gautan kaji; Oman: mjaj; Pakistan: tol angur; Palestine: inab ed dib; Poland: psianka niska, psianka kosmata, psianka skrzydlata (Paw?owskiego 1963); Portugal: erva de Santa Maria; Saudi Arabia: aah'al, khur ma; Slovenia: lulok žltý, lulok krídlatý (Bertová; and Golia&scaronová; 1993); Somalia: biyeche El, karire; Spain: modalicou, yerba mora; Sweden: Gul nattskatta, röd nattskatta (Mossberg et al. 2003); Tanzania: emunauui, en'songwe, manakk, mnafu/mnavu, osuga, soku; Uganda: eswiga, ocuga; United Arab Emirates: black nightshade; United Kingdom: red nightshade (Stace 2010). United States of America. Hairy nightshade (USDA Plants 2017; Correll and Johnston 1970, but unclear if this really refers to S. villosum or to a pubescent form of S. nigrum or to S. nitidibaccatum)."
wfo-0001031661,"Burundi: isogo [Kirundi language], urusongo; Cameroon: kifon, kre' fom; Democratic Republic of the Congo: mulunda; Ethiopia: chau, murenchiwa/marenchiwa, nech tunaye; Kenya: abune, isoiik, isoyiot, isusa, litusta/liususa, lokitoemenyan, managu, mnavu, ol' momoye, osuga, sujet, usuga; Rwanda: isogo, ururandayri [Kinyarwanda language]; Tanzania: enyafui [Kimaasai language], mhaki, mnavu, msogo, muhaka, ormomoi aves, soko, suga; Uganda: ensugga, enswiga/eshwiga/eswiga [Kigezi language], nouiga, nsuggaenzirugavu; Zimbabwe: m'sungu sungu - m'adzizambito."
wfo-0001025878,"American Samoa: magalo; Australia: glossy nightshade (Symon 1981); Benin: odu, ogomo, feibii (Essou and Hermann 2006); China: shao hua long kui, guang zhi mu long kui (as S. merrillianum) (Zhang et al. 1994); Finland: amerikanmustakoiso (Hämet-Ahti et al. 1998); Ghana: ebibirba; Indonesia. booso, doehet ratti, lohoet/lohoetoe [lohoetoe-lohoetoe] ranti; Kenya: mnairi; Madagascar: anamama; Malaysia: beliwan, lutan, ranti, tutan, tutan-toposi; Mauritius: brede martin; New Zealand: small-flowered nightshade (Webb et al. 1988); Nigeria: odú; Niue: plo fua, polo kai; Norfolk Island: ang'adsindra, bwamunovi; Papua New Guinea: tuskombuk; Philippines: amti niitang [Ifugao people], onti; South Africa: black nightshade; Sri Lanka: kalu kamberiya; Sweden: Amerikansk nattskatta (Mossberg et al. 2003); Tanzania: imbenek, mavu, mnafu, mnaru, mwihakhi; Tonga:polo kai, polo tonga; Uganda: ocuga; United States of America[Hawaii]: popolo , popolohua; Vanuatu: ne poro, poro, American nightshade (many sources), American black nightshade (Brown and Brown 1984; NatureServe 2017), Hierba mora negra (Correll and Johnston 1970). Mexico and Central America. Hierba (yerba) mora (many sources). Mexico [Guerrero] Saltonchis (Ignacio 4), [Oaxaca] Moo-jo-chi (Hernández Ortega 62), [Puebla] Pchfux-yáas (Zapotec, Hunn OAX-205), [Quintana Roo] Ik kootz (Maya, Ucán Ek 4390), [Sonora] Chichiquelite (Gentry 1269), [Veracruz] Tomatequelite (Balvanera L. 259), Wal ts’ok (Huastec, Alcorn 2347). Guatemala. [Alta Verapaz] macúy, [Santa Rosa] quilete (Gentry and Standley 1974). Belize. Bocano (Gentry and Standley 1974). Bahamas. Gooma bush, Ink berry (Correll and Correll 1982); gumma bush (Richey 99–712). French Antilles. Agouman, Herbe amère (Sastré and Breuil 2007). British West Indies [St. Lucia] Agouma (Proctor 17826). Trinidad and Tobago [Trinidad]. Agouma (Broadway s.n.). Argentina. Misiones: ka’a ete’I (Mbyá Guaraní, Keller 2007). Paraguay. Arachichu (Ibarrola and Degen 2011). Brazil. araxixu, caraxixá, erva-de-bicho, erva-mocó, erva-moura, guaraquinha, maria-preta, maria-pretinha, pimenta de cachorro, pimento de rato, pimenta de rato (Lorenzi and Abreu Matos 2002, could also refer to S. paucidens); caraxixá, erva moura, guaraquinha, maria-pretinha, pimento de galinha (Ferreira Kinupp and Lorenzi 2021); Pernambuco: erva moura (Rodrigues and Andrade 2014)."
wfo-0001032187,"Tanzania. Insungwe, so called by the Malila (Schippers 2004)."
wfo-0001028423,"None recorded.
"
wfo-0001031853,"Australia: cut-leaf nightshade (Walsh and Entwisle 1999), three-flowered nightshade (Harden 1993); United Kingdom: small nightshade (Stace 2010). Canada. Wild tomato (Moss 1983). United States of America. Cut-leaf nightshade (many sources; USDA Plants 2017), Husk tomato (Coombs & Bundy 2456), Three-flowered nightshade (Peck 1941). Argentina. Córdoba: meloncillo (Kurtz 4612). "
wfo-0001030176,"Argentina. Jujuy, Tucumán: ñusco (Hilgert and Gil 2006; Ceballos and Perea 2014; Acosta et al. 2018); Salta: ñusco blanco (Califano 2020). "
wfo-0001030315,"Peru. Cusco: chaja chaja (Iltis & Iltis 867), moyoccaya (Cook & Gilbert 297), qosmayllu (Davis et al. 1348). "
wfo-1200007610,"Not known.
"
wfo-0001022223,"Not known.
"
wfo-0001032576,"Tanzania: Mlura (Musk 115); Kitulam Vago (Kizigua language, Frontier-Tanzania Coastal Forest Research Programme 558).
"
wfo-0001030768,"Peru. Arequipa: uva de sapo (Gonzáles J. 26); Cusco: cusmayllo (Valenzuela et al. 6189); Huánuco: bapichinga (Woytkowski 738); Lima: hierba mora (Espinoza 39); Moquegua: nucchu (Blanchard et al. s.n.), uva de sapo (Núñez 5)."
wfo-0001029125,Mortiño (Spanish; Särkinen et al. 4577); Wampishkúr (Shuar Jívaro; Lewis 14172).
wfo-0001022511,Not known.
wfo-0001031897,"Madagascar. hendramena, farafandoha (D'Arcy and Rakotozafy 1994, as S. humblotii).
"
wfo-0001022467,"Brunei Darussalam: usak oncom payo (Dusun language, Bernstein 322). Indonesia. Java: terong-an (Blume 1823); Sumatra: sarindon (si Boeea 6246, 9081). Malaysia. Sabah: akar (Bakar 25023), akar tumpeng (Sungei Kinabatangan language, Enggoh 7345). Philippines. Mindanao: lawmoos (Bagóbo language, Elmer 1910), sisumbidan (Manobo language, Elmer 13572)."
wfo-0001020201,"Common names. Bolivia: Locato (La Paz, Heiser C272), Locoto (La Paz, Lewis 88629; Santa Cruz, Saldías P. 563), Locote (La Paz, Duke & Winters 17330), Locotito (Santa Cruz, Vargas C. 932); Colombia: Ají (Nariño, López Jurado & Riascos 613; Putumayo, Bristol 1115), Ají rocoto (Huila, Romero Castañeda 6674); Ecuador: Ají (Chimborazo, Moina Z 23; Loja, Ellemann 66689; Tungurahua, Cascante 6), Ají rocoto (Azuay, Steyermark 52690; Pichincha, Mejía 002); Guatemala: Siete caldos, Caballo (Meckelmann et al. 2015), Chile cuadrocaldo (San Marcos, Steyermark 36930), Chile caballo (San Marcos, Steyermark 36930); Honduras: Chile garrapata (Alta Verapaz, Standley 91227), Chile petenero (Morazán, Valerio R. 3237); Mexico: Chile (Morelos, Aguilar P. s.n.), Jalapeño, Perón, Manzano, Ciruelo (Laborde et al. 1982), Chile cera (Veracruz, Ventura A. 9739), Chile manzano (México, Monsalvo J. 12; Michoacán, Soto Núñez et al. 6369), Chile pimiento (México, Bonilla Beas 346), Chile canario (Oaxaca, García R. & Montaño M. 348; Veracruz, Castillo C. et al. 1757), Chile de cepa (Veracruz, Chazaro B. 2558), Chile de cera (Veracruz, Calzada 10856), Chile gordo (Veracruz, Castillo C. et al. 214), Morrón (Veracruz, Castillo C. et al. 1757), Moro Ich (Chiapas, Sánchez León 1139); Peru: Alú, ahi (Loreto, Killip & Smith 28864), Ají (Loreto, Williams 3405), Locoto (Junín, Ochoa 602), Rocobo (Pasco, Ruiz 1940), Rocoto (Ancash, Gamarra 439; Cajamarca, Campos & Nuñez 4266; Cuzco, Cook & Gilbert 1017; Lima, Cerrate de Ferreyra 7644; San Martín, Quipuscoa & Bardales 979; Pasco, Chuck 137), Roccoto (Ruiz and Pavón 1799), Ají rocoto (Andahuaylas, West 3739); Venezuela: Ají (Mérida, Pittier 12707), Ají vocato (Humboldt & Bonpland & 3027). Indigenous names. Bolivia: Uchu rocoto (= ají globoso) (Rentzell s.n.); Colombia: Totsha (Kamsá, Putumayo, Bristol 1115); Ecuador: Huchu (Quechua, Loja, Ellemann 66689)."
wfo-0001029464,"Eggplant (aubergine) (English). [Africa] Sierra Leone: ponibuji, okpotokpobo (Thomas 4357); kobo kobo, kupe (Thomas 456); kojoi (Mende language, Fisher 91). Ghana: Atropo (Ga language, Hall & Bukenya 47135). Madagascar: Yundahl (Lunt 164). [Asia] China: qie
Uses. The fruit is cooked. The aubergine (eggplant) is the economically most important member of Solanum subgenus Leptostemonum with numerous commercial cultivars adapted to a range of tropical and temperate climates. In global terms 90% of production is concentrated in China, India, Egypt, Turkey, and Japan (Lucier & Jerardo 2006). Cultivars grown in Africa are seldom used by the local population and are mainly consumed by foreign visitors or exported to Europe (Lester et al. 1990).
"
wfo-0001025760,"Scarlet eggplant, African eggplant, bitter tomato (English), Aubergine écarlate, aubergine africaine, tomate amère (French), Jió (Portuguese), Ngogwe, Nyanya chugu (Swahili). Other names cited on herbarium labels include Nguejio (Cameroon), Suma, Ngago, Teno, Daa-teno (Central African Republic), Nakatti Nakasugga, Omutonga (Uganda), Chipilinganya, Impwa (Zambia)."
wfo-0001028672,"Cambodia. trâp rôm nhong (Hul and Dy Phon 2014), trôp (Collard 56), trôp som nhon (Collard 32), China. ye qie (Zhang et al. 1994); Hainan: ngou ke tzi (Lei 392). India. Andhra Pradesh: challa mulaga (Foulkes 83); Chattisgarh: anpa, jangli bhata (Kumar CNH-15565); Rajasthan: bhutkataiya [Hindi] (Singh 1991, as S. incanum); Tamil Nadu: thalamoolagah, nullamoolaga (Wight 1573 Ab); Uttar Pradesh: bari bhatkatanja (Bell 863), jangli bengan (Sarin NC-5079). Indonesia. Borneo: terong nasi (Ambriansyah 687); Java: terong-glate (Hoffmansegg 119). Laos. mok kua kim (Spire 914), mok khma lê (Pottier 263). Malaysia/Singapore. t?rong (with various qualifiers, Burkill 1935). Malaysia. Sabah: soguntung [Rungus] (Jones 152). Singapore. terong nyonya (Corner SFN-37775). Sri Lanka. Uva: ela batu [Sinhala] (Hepper & Silva 4719). Vietnam. heng khôm (Spire 1081), cà co [Annamite] (Pierre 706), la plonh [Moi] (Poilane 85), blon blok (Schmid 1608)."
wfo-0001030509,"Kenya: Endulelei, Oliasuria, Entenelua-Narok (Masai langugae).
Uses. Medicinal.
"
wfo-0001028963,"Kenya: Endulele-Engare (Masai), Labotwet-Apteta (Kipsigis).
Uses. Medicinal.
"
wfo-0001028558,"Somalia: Moh (Darod language, Gillett 4127), Makarube (Maunder 69), Ducuur (Kuchar 17155). Ethiopia: Embaye (Amharic language, Archer 9623).
Uses. Medicinal, and used to tan leather.
"
wfo-0001027396,"Ethiopia: Turkenturk. Nigeria: Afifa mwo, igb'a egugu, Gbere Aja. Rwanda: Igitoborwa. Uganda: Entobotoba (plant), Entobo (fruits) (Bukenya & Carasco 1999).
Uses. Fruit used medicinally and sometimes eaten. For further information on uses and names in Uganda see Bukenya & Carasco (1999).
"
wfo-0001026406,"Zambia: Impwa (Chilunda language, Trapnell 1452).
"
wfo-0001029370,"Ethiopia: Hidi (Gallinia language, Gutetta 1055), Gobarre umbai (Amharic language).
Uses. Used medicinally and as a varnish; source of the alkaloid solasodine (Cruz & Proano 1970; Coppen 1979).
"
wfo-0001029263,"Local Names (Africa). Ghana: Etruopue, Ntoropo. Nigeria: Ipere Ibo. Sierra Leone: Busiburaxe, Kabate, Kabeli, Kpola, Kpoloi, Paili. Uganda: Ntengo, Nume ya Kyalo (Bukenya & Carasco 1999)."
wfo-0001030529,Peru. Cusco: ccaya-ccaya (Herrera 3022).
wfo-0001026216,"Argentina. jazmín, jazmín de Córdoba, jazmín de cielo (Morton 1976); Córdoba: yerba vaca (Stuckert 2416); Jujuy: jazmín (Cabrera 1983)."
wfo-0001027265,"Peru. Ancash: cchapchinya (Gómez 51); Cusco: ñuñuma, qusmayllu (Roersch 1994, as S. radicans); Huánuco: puslita mullaca (Cárdenas 12275); La Libertad: hierba mora (Leiva et al. 707); Lima: hierba mora (Ferreyra 716, Ridoutt 11183a); Puno: chetenguya (Roersch 1994, as. S. radicans). "
wfo-0001029246,"Ethiopia: Umboy (SW Ethiopia Forest Inventory 430).
"
wfo-0001028317,"Kenya: Ethsakilele (Turkana language, Adamson 47), Gala-out (Samburu language, Adamson 47). Uganda: Edonamuroi (Dyson-Hudson 216).
Uses. Medicinal.
"
wfo-0001029727,"Madagascar: Angivo-isity (D'Arcy and Rakotozafy 1994).
"
