Wfo,Use
wfo-0001025878,"In all parts of its range, the leaves of S. americanum are used as spinach, and the ripe berries are eaten, either raw or cooked. In Argentina, fruits are used as compresses and poultices to treat boils (Kujawska and Hilgert 2014), and in both Paraguay and Argentina the fruits and leaves have been reported as used medicinally (Keller 2007; Ibarrola and Degen 2011). In rural communities of Pernambuco, Brazil, macerated leaves are used to treat fungal infections, gastritis, varicose veins and bruises (Rodrigues and Andrade 2014). Cultivated in some areas."
wfo-0001032187,Cultivated for edible leaves. Used as a leafy vegetable. Leaves can be picked from the plant until the plant starts flowering. Using leaves when the plant is in flower is not attractive because of their bitter taste (Latham 2006). Berries eaten raw.
wfo-0001028423,"None recorded.
"
wfo-0001029216,Globally cultivated for edible fruits.
wfo-0001031853,"A weed of agriculture. Berries eaten in times of food shortages and famine (Acoma, Keres, Laguna peoples); fruit boiled and ground for use in a condiment (Zuni people); decoction of the berries taken for diarrhoea (Blackfoot people), stomach aches (Lakota people), used as lotion for sores on horses (Navajo people); planted with watermelons to make them more prolific and ripen earlier (Keres and Navajo peoples)(Moerman 1998 and references therein). In North America berries eaten in times of famine and used medicinally (see Knapp et al. 2019); no uses have been recorded from South American specimens."
wfo-0001030176,"Leaves are used medicinally to soothe pain from blows and as a febrifuge (Ceballos and Perea 2014), and as animal fodder (Califano 2020)."
wfo-0001030315,"In the Quechua community of Chinchero (Cusco, Peru), the fruits are macerated and added to water to wash hair in the morning (Franquemont et al. 1990, as S. arequipense)."
wfo-1200007610,"Not known.
"
wfo-0001022223,"Not known.
"
wfo-0001345395,"Doonday et al. (2013) describe the use of Solanum dioicum (sensu lato), or “salty bush tomato,” by the Walmajarri people in the area of the Paruku Indigenous Protected Area, which encompasses part of the western range of S. ossicruentum. Although the authors suggest that the fruits (called “kara” in Walmajarri) are consumed by kangaroos, some Walmajarri people also “eat the outside part… but not the inside part” due to the “saltiness or unpleasantness of the fruit.” While the unripened fruits of S. ossicruentum are fleshy and “salty” tasting (C. Martine, pers. obs.), the bony nature of mature fruits suggests that the usage described here does not relate to this taxon. Instead, it likely represents one of the other Kimberley forms of S. dioicum sensu lato."
wfo-0001029125,"Stems and leaves crushed and applied with achiote (Bixa orellana L., Bixaceae) warm to treat skin irritations (papera) (Lewis 14172)."
wfo-0001030814,Cultivated for edible fruits.
wfo-0001022511,Not known.
wfo-0001020201,"The fruits of Capsicum pubescens are one of the most appreciated in the Andean cuisine for their unique aroma, flavour, meatiness, juiciness and pungency (Meckelmann et al. 2015). Fruits are used fresh, cooked or in powder (as condiment) in different ways in traditional and popular meals (“rocoto relleno”, “ceviche”, “picante de gallina”, “pique macho”, cfr. Meckelmann et al. 2015; Tapia and Campos 2016; Barboza, pers. obs.). In Mexico, fruits are also consumed as a spice and in a great variety of industrial products (Montes Hernández 2010). In South America, indigenous communities (Saraguro people, Ecuador) have attributed medicinal properties to leaves and fruits; in Peru, fruits are used in veterinary practice (see Table 3 for details). In Indonesia, immature and mature fruits are consumed as vegetables and spices (Yamamoto et al. 2013)."
wfo-0001029464,Cultivated globally for edible fruits. Solanum melongena is a worldwide food crop; after tomato (S. lycopersicum L.) it is the most widely cultivated fruit crop in the Solanaceae (Daunay and Janick 2007; Knapp et al. 2019b).
wfo-0001025760,"Widely cultivated as an important traditional garden vegetable used for its edible fruits and leaves, depending upon the cultivar used. Medicinal applications include the use of roots and fruits as a carminative, sedative, and to treat colic; leaf juice to treat uterine complains; an alcoholic extract of leaves as a sedative, antiemetic and to treat tetanus after abortion; and crushed and macerated fruits as an enema. Used as a rootstock for eggplant (S. melongena) in Japan, and in eggplant breeding due to its disease resistance."
wfo-0001027117,Medicinal; fruits used to coagulate milk (origin of specific epithet).
wfo-0001029263,Widely cultivated for edible fruits and leaves. Leaves and fruit used as a vegetable; also used medicinally in Uganda (Bukenya & Carasco 1999).
wfo-0001030529,Locally cultivated as an ornamental within its native range.
wfo-0001030751,Cultivated in the Andes for edible fruits.
wfo-0001026216,"Cultivated as an ornamental.
"
wfo-0001027265,"Roersch (1994) records use of leaves in a tea as treatment for sore throats and tonsillitis, macerated leaves as a plaster for swellings, and as a wash for colicky babies and for rheumatism (in combination with other medicinal plants). Although Roersch reports this plant as S. radicans, the illustration (Roersch 1994: 633) and description are clearly S. corymbosum."
wfo-0001031497,Occasionally cultivated in Colombia and Peru for the edible fruits. 
wfo-0001031203,Cultivated for edible fruits.
wfo-0001028971,"Solanum lasiocarpum is widely cultivated across its range for its juicy fruits that are used as a base for juices and for cooking, especially in curries (Heiser 1986). The seeds are burned as used for relief of toothache and in Bangladesh S. lasiocarpum is used as a remedy for coughs, asthma, fever, vomiting, and gonorrhoea (Lim 2012)."
wfo-0001027050,Used as a shade tree.
wfo-0001026905,Medicinal.
wfo-0001025704,"Medicinal; commonly used as a hedge; some plants have edible fruit, it is not known whether or not these are the result of human selection."
wfo-0001028109,"Solanum giganteum is planted as a shade tree and widely used medicinally in Africa for treatment of sores and ulcers (Hutchings et al. 1996) and in folk medicine in India (Ved et al. 2016). Used medicinally, but uses not commonly recorded on herbarium labels."
wfo-0001026343,Used as a hedge plant.
wfo-0001028164,Leaves used as vegetable (Tanner 3617); medicinal.
wfo-0001028404,"Solanum hindsianum has entered the garden plant trade in the southwestern United States (e.g., http://www.desert-tropicals.com/Plants/Solanaceae/Solanum_hindsianum.html) where it is used in xeric landscaping. As a wild species in the United States it is only known from extreme southern Arizona in Organ Pipe National Monument (see Specimens examined)."
wfo-0001030709,Cultivated as an ornamental.
wfo-0001026208,Fruits eaten; used medicinally in eastern Africa.
wfo-0001032413,"Fruits small and bitter, not used by people (F.N.Hepper 4518); bitter all purpose medicine (F.N.Hepper 4599); used to treat blood diseases (N.G.Patel s.n., 1983). The root is very bitter and the juice is applied to the nipples by bad women to prevent the infant from taking the breast; the root in the form of a decoction made with boiling water used as a remedy for gonorrhoea by the Gomor (Anon. s.n., Malaysia, 1914). Fruit used in the treatment of diabetes by Dr. Yai Sanitwongse (A.F.G. Kerr 9048). The roots of S. violaceum (as S. indicum) are one of the ingredients of Dashamoola of Ayurvedic medicine used to treat inflammatory conditions of all kinds (Naithani et al. 1997; Jain et al. 2000). It is regarded as a diuretic, is used for treatment of dropsy, and as an asthma and catarrhal expectorant (Jain et al. 2000). Unripe fruits are used in the preparation of curries (Naithani et al. 1997)."
wfo-0001031723,Of limited medicinal use in Kenya and Botswana.
wfo-0001029461,Fruits used medicinally or as a poison.
wfo-0001020020,"Cultivated for edible fruits and also as an ornamental. The mildly hot fruits of this cultivated variety are valued for their use in dishes with tropical fruits, sauces, Caribbean fish stews, curries and chutneys (Miller and Harrison 1991) or fresh as a condiment (Andrews 1984). The fruiting plant is very showy and so it is also grown as an ornamental."
wfo-0001020018,"This domesticated variety, mostly known as ‘Ají’, ‘Ají amarillo’ or ‘Ají escabeche’, is an important component of the diet of the Bolivian and Peruvian native population, less so in Argentina, Brazil, Ecuador and Colombia. In Bolivia and Peru, many different pod types occur that differ both in morphological (shape, colour, size) and biochemical attributes (e.g. capsaicinoids, vitamin E, flavonoids and quercetin content and antioxidant capacity). These forms are consumed in regional cuisines as spices and vegetables, fresh or dehydrated and ground."
wfo-0001020017,"As fruits are generally extremely pungent, they are collected and stored for use as a food condiment by native populations. Some accessions of this wild pepper (“arivivi”) in Bolivia have been considered promising for their interesting agro-morphological and biochemical characteristics with potential for the development of high value products for different markets. However, commercialisation is still marginal and fruits are cultivated in home gardens or gathered from nature for self-consumption or to be distributed locally."
wfo-0001020212,"In Brazil, fresh fruits are very appreciated in markets (Ferreira Pinto et al. 2016), used as a condiment and consumed as pickles and in hot sauces."
wfo-0001020081,"The fruits are very pungent and are used as spices or in pickles in the Bolivia (National Research Council 1989; Jäger et al. 2013) and Argentina (Eshbaugh and Smith 1971; Barboza, pers. obs.). Fresh or dry fruits are powdered to prepare a sauce known as “llaswa” (see details in C. cardenasii) that people add to “empanadas” (little meat pies) in Argentina; ‘ulupica’ is not only an ingredient in “llaswa”, but also in many recipes in Bolivia."
wfo-0001020034,"The fruits are harvested directly from wild plants and marketed locally on a small scale (Jäger et al. 2013), mainly in La Paz, Bolivia. People consume dehydrated or fresh fruits in the preparation of a hot sauce called ‘Jallpa huayka’ (in aymara), ‘uchu llajfua’ (in quechua) (Heiser and Smith 1958; Cárdenas 1969), ‘llajwa’ (in quechua) or ‘llaswa’ (most popular), a mix of ‘tomato’, ‘onion’, ‘ulupica’ or other ‘chiles’ and aromatic herbs. Fruits are also preserved in vinegar or in oil and used as pickle (‘escabeche’) or they are cooked in boiling water before being sold (National Research Council 1989; Barboza, pers. obs.)."
wfo-0001020080,Fruits are used as condiments (Nee 43483).
wfo-0001030658,It is recorded as being used for bowel and joint pains (see https://www.flowersofindia.net).
wfo-0001020173,"None recorded, but it is likely that the fruits are used as spices due to their similarities in colour and pungency with C. baccatum var. baccatum."
wfo-0001020086,Herbarium labels record that fruits are used as condiments in Argentina and Paraguay due to their high pungency. There are no records of uses from Brazil.
wfo-0001020250,"The fruits are very pungent and eaten by local people (Tovar 1867, Barboza 5044), used as a spice (Eshbaugh et al. 1983)."
wfo-0001028396,Barboza (2013) reports that the tuber-like root swellings are edible.
wfo-0001027359,Potentially cultivated. Roots boiled and a decoction drunk for stomach problems; seeds gathered in the mountains and plants grown for medicinal use.
wfo-0001025714,Browsed by wildlife and livestock; fruits and roots used medicinally in Kenya and Tanzania.
wfo-0001026924,Fruits are edible. Potentially cultivated in some parts of its range.
wfo-0001027009,Fruits are edible.
wfo-0001020215,Ecuador. Long stems are used to make drum hoops (Cerón 13171). Used in medicine.
wfo-0001027116,Fruits are edible.
wfo-0001022276,"Not known.
"
wfo-0001022333,"Not known.
"
wfo-0001022221,"Not known.
"
wfo-0001022330,"Not known.
"
wfo-0001022346,"Fruits and leaves eaten after cooking in water, the leaves are eaten boiled, used medicinally for bones, eaten boiled as an edible green."
wfo-0001022289,"Not known.
"
wfo-0001028737,Cultivated for its edible tubers around its native range.
wfo-0001027770,Introduction of S. elaeagnifolium outside of its native range has resulted in its becoming significant weed of cultivation and pasture (see summaries in Feuerhdert 2010; Uludag et al. 2016). 
wfo-0001025792,Cultivated in the Andes as bitter potato for the edible tubers.
wfo-0001028815,Cultivated in the Andes for edible tubers.
wfo-0001031908,Globally cultivated for edible tubers.
wfo-0001027340,Cultivated in the Andes for edible tubers.
wfo-0001022216,"None recorded.
"
wfo-0001026486,Fruits (ripe berries) said to be eaten in India (Jain and Borthakur 1986).
wfo-0001031270,"Cultivated as a trap crop to protect potatoes from pests. In Argentina the berry is considered edible and has an agreeable taste, except for the seeds which are poisonous. The leaves are also used in herbal medicine (Chiarini 2013)."
wfo-0001027360,Solanum cyanocarphium is said to have edible berries (Cuadra A1010) and the juice is drunk for fever (Burkill 1935). Burkill (1935) also records its use to improve the appetite of elephants.
wfo-0001031874,In Argentina (Prov. Jujuy) the entire plant (excluding the root) is used medicinally (Hurrel 1991; Lupo and Echenique 1997); the flowers are also reported to be ornamental (Lupo and Echenique 1997).
wfo-0001026736,No uses recorded.
wfo-0001027128,"In the southern Peruvian Quechua community of Chinchero (Cusco, Peru) leaves are used as cattle forage (Franquemont et al. 1990, as S. aloysiifolium) and as a wash for the head, especially for hangovers (Franquemont et al. 1990, as. S. glandulosipilosum). In southern Peru more generally leaves of S. cochabambense are used medicinally in a tea in the treatment of flu and colds (resfrío) and to counter difficulty in urination, and as a macerated plaster to alleviate rheumatic pains (Roersch 1994, as S. aloysiifolium)."
wfo-0001028481,"None recorded.
"
wfo-0001029286,"None recorded.
"
wfo-0001029731,"None recorded.
"
wfo-0001029289,No uses recorded.
wfo-0001031005,"None recorded.
"
wfo-0001020042,"The pungent fruits are locally used as spicy food additives for both local and indigenous people (National Research Council 1989; Arenas and Scarpa 2007; Biurrun et al. 2007; Scarpa 2007; Martínez Crovetto 2014; Montani and Scarpa 2016; Saur Palmieri et al. 2018). In regional markets, fruits are sold fresh or as pickles in oil or vinegar (Barboza, pers. obs.). Fruits are also used in traditional medicine (see Table 3)."
wfo-0001020090,"Capsicum frutescens has medicinal, ornamental, ritual and food applications. The fresh or cooked fruits are an important component of daily meals in India (soups, sauces, jams, pepper powder). The famous hot Tabasco sauce is made from tabasco peppers, a varietal of C. frutescens. In the Brazilian Amazon, herbarium labels report plants with sweet fruits (Walter et al. 575) that are used for decorating dishes and salads and in smoking rituals (Barbosa et al. 2002, 2006). The leaves and fruits have many reported medicinal uses."
wfo-0001020046,"Capsicum chinense has medicinal, ornamental and food uses. Indigeneous communities and rural people widely cultivated this species around their homes to consume the fruits raw, cooked or used as a spice (Barbosa et al. 2002). The consumption of the fruits of this species has spread globally and are highly appreciated (sweet and pungent) due to its fleshiness and distinct aroma (Kurian and Starks 2002; Basu and De 2003; Gahungu et al. 2011) in sauces and powders. In addition to medicinal properties indicated in Table 3, C. chinense has spiritual uses which have sometimes been recorded by researchers on herbarium specimen labels. For example, in Ecuador (Comunidad Oncaye, Davis & Yost 993), fruits were used by a shaman’s wife in the termination of an ayahuasa session, (Comunidad Bataburo, Freire & Naranjo 612), the entire plant is used to cure “espanto” (fearfulness) and (Comunidad Indillama, Reyes 502) and the plant is used to cure illness caused by the “mal viento”, an evil spirit of the air. In Peru (Comunidad Palcazú, Huamán et al. 317), the smoke of a single dried fruit is used to help children when they are tearful. In Brazil (Roraima; Comunidad Macuxi, Barbosa et al. 2002), the common name of the species is an allusion to ‘curupira’, a supernatural being, guardian of the Amazon forests in Tupi mythology (Gomez Platero and Palma Ehrichs 2011). In addition, outside the Americas, C. chinense has a broad spectrum of ethnopharmacological applications and medicinal properties (e.g. see Meghvansi et al. 2010)."
wfo-0001029047,"Solanum leptopodum is one of the few species of section Geminata for which indigenous uses have been reported. In the Río Shushufindi region of eastern Ecuador, the Secoya people use the leaves of S. leptopodum as a treatment for ""crybaby"". The leaves are crushed into lukewarm water, and the infant is bathed with the infusion (Vickers & Plowman, 1984). In this same general area of eastern Ecuador, but among Quichua speaking people, the plant is used for the treatment of ""mal viento"", a broad general illness category, and for sleeplessness in children (Balslev 2386). In both of these treatments, bunches of leafy branches are waved over the afflicted person. Balslev (pers. comm.) has often seen S. leptopodum cultivated in dooryard gardens among these people. In lowland Colombia, a decoction of leaves is used to treat skin irritations (Plowman 2179)."
wfo-0001330986,"None recorded.
"
wfo-0001030573,No recorded uses.
wfo-0001022207,Fruit edible.
wfo-0001022446,"None known.
"
wfo-0001022448,"Besides uses as food, the leaves of S. viride are used medicinally in Tonga (Whistler, 1991), and the decorative fruits are made into crowns in the Society Islands (Papy, 1955) and garlands on Niue (<em>Yuncker 10039</em>)."
wfo-0001022352,"Not known.
"
wfo-0001029287,"In Ecuador (Chimborazo, Ceròn 15905 [a]) an infusion of leaves is used as a bath for medicinal purposes."
wfo-0001029804,Leaves widely used a potherb (“quelite”) in Mexico and Central America.
wfo-0001019999,"This taxon is used as an ornamental, for food and for medicine. The fruits are harvested by local people and are widely used and much prized throughout its distribution as a hot seasoning; they are also eaten fresh, dry or in vinegar, raw or toasted. Some medicinal properties have been attributed to the leaves and fruits in different countries. In some communities, fruits are used against evil spirits in ritual practices of the Day of the Dead (Mexico)."
wfo-0001027641,"United States of America. [California] Leaves used as a potherb (Luiseño people of Orange County, Sparkman 1908); juice of berries used as wash for inflamed eyes and in tattooing or for dye (Luiseño people, Sparkman 1908; Cahuilla people of the Sonoran Desert, Bean and Saubel 1972). Mexico. Leaves used as a potherb (quelite)."
wfo-0001027111,Fruits are edible.
wfo-0001027792,Fruits are edible.
wfo-1000050015,"Not known.
"
wfo-0001031867,Potentially cultivated and much used for medicinal purposes across its range.
wfo-0001026821,"In Ecuador, Prov. Pichincha, in the Colorado community Congoma Grande, the fruits are eaten and the juice is used for stomach pains (Kvist & Holm-Nielsen 40016, MO)."
wfo-1200041500,"Not known.
"
wfo-0001022462,"Not known.
"
wfo-0001022295,"Not known.
"
wfo-1000033129,"Not known.
"
wfo-0001022406,"None known.
"
wfo-0001022236,"Not known.
"
wfo-0001028525,"None recorded.
"
wfo-0001026535,"None recorded.
"
wfo-0001027260,Fruits that matured in the University of Vermont greenhouses had a pleasant taste but were difficult to eat because of their pubescent skin and abundant seeds. This species has potential as an ornamental.
wfo-0001027262,Fruits edible (Reitz 2364a). This species and subspecies may have value as an ornamental due to its short stature and showy flowers.
wfo-0001027261,Fruits that matured in the University of Vermont greenhouses had a pleasant taste but were difficult to eat because of their pubescent skin and abundant seeds. This species has potential as an ornamental.
wfo-0001030000,"Although Plowman & Ramírez (11211) and Mexia (8235) report that the fruits are edible, others say that they are poisonous (Fosberg 28993). The juice of the leaves and stems is used as an analgesic and sedative for intestinal fever, headaches, rheumatism, kidney ailments, hangovers, muscle aches, and pains of the lower back and stomach (Bohs & Schunke 2159; Mathias & Taylor 3979; Plowman & Schunke 7513; Plowman & Ramírez 11211; Schunke 5866, 6286, 8339; Woytkowski 5017). The label of Plowman & Schunke 7513 gives a more detailed account of the medicinal preparation of this species. The leaf is rasped in cold water, lemon juice is added, and the infusion is taken in the morning before breakfast for three days. Schunke 5866 reports that an infusion is given in an enema to combat the grippe. Data from Lewis et al. 11660 indicate that the Quichuas of Loreto, Peru, drink an infusion of the crushed leaves to cure malaria. The Achuar Jívaro of Amazonian Peru scrape the bark into a cold infusion that is used to massage swollen body parts (Lewis et al. 12176). A poultice of the leaves is also used to massage the skin around a snake bite (Lewis et al. 13236). In Amazonian Brazil, the leaves are heated in water and used to bathe babies, both to keep them healthy and to cure fever (Prance et al. 16402)."
wfo-0001032595,"Mexia 8235 describes the fruits as having a tomato-like taste, and Bohs et al. 3366 describe them as sweet-sour. In Amazonian Brazil, the leaves are heated in water and used to bathe babies, both to keep them healthy and to cure fever (Prance et al. 16402). Schunke 5866 reports that an infusion is given in an enema to combat the grippe."
wfo-0001026503,Inflorescences used in bouquets. 
wfo-0001029073,"The berries were formerly steeped in red wine and used as a tranquiliser and antispasmodic (Bramwell, 2006). "
wfo-0001032453,"Cultivated for its edible fruits and leaves; Use of S. viride during cannibal feasts in Fiji has lead to a general macabre fascination with the species, and provided it with the English common name Cannibal's Tomato. Several authors wrote about the use of S. viride. The most extensive reports were provided by Seemann (1862, 1865-73) and Brewster (1922). According to Seemann (1862, 1865-73), the Fijians believed human flesh or boloka as they called it was difficult to digest and could cause constipation lasting two to three days or result in death. Apparently to aid in digestion, the leaves of three species, Trophis anthropophagorum Seem. (Moraceae), Omalanthus [sic Homalanthus] pedicellatus Benth. (Euphorbiaceae), and S. viride, were always eaten as a condiment being wrapped around the flesh before cooking (Seemann, 1862, 1865-73). The Fijians name for S. viride was boro dina (Seemann, 1862, 1865-73), sometimes spelled mboro ndina (Brewster, 1922); it is translated as true spinach (Brewster, 1922). To insure a regular and fresh supply, Solanum viride was grown next to the Bure-ni-sa or stranger's house where the bodies were brought prior to consumption (Seemann, 1862, 1865-73). The fruits of S. viride are described as having a faint aromatic smell (Brewster, 1922; Seemann, 1862, 1865-73) and were occasionally made into a tomato sauce. The last documented act of cannibalism in which S. viride was used occurred in July 1867 when the Reverend Thomas Baker, a British missionary, was eaten (Brewster, 1922). However, there is no reason to believe that S. viride was not used in subsequent cannibal activities extending through 1874. In Fiji, Solanum viride was also utilized by white settlers (Brewster, 1922; Seemann, 1862, 1865-73) presumably with a different main course."
wfo-0001025847,"Used medicinally in local communities around Parque Nacional Baritú in montane Salta, Argentina (Hilgert and Gil 2006)."
wfo-0001022550,"Not known.
"
wfo-0001022271,"None known.
"
wfo-0001022489,"None known.
"
wfo-0001022279,"Not known.
"
wfo-1000023514,"Not known.
"
wfo-0001022334,"Not known.
"
wfo-0001022547,"Not known.
"
wfo-0001028467,The leaves of S. houstonii are used for cleansing after birth and as a dieting aid (Nee & Taylor 29629) and for skin diseases and problems (Rivera 90).
wfo-0001022369,"None known.
"
wfo-0001339613,"Not known.
"
wfo-1000005226,"Not known.
"
wfo-0001022224,"Not known.
"
wfo-0001022556,"Not known.
"
wfo-0001022485,"None known.
"
wfo-0001022356,"Not known.
"
wfo-0001339614,Not known.
wfo-0001022234,"Not known.
"
wfo-0001022292,"None known.
"
wfo-0001022465,"Not known.
"
wfo-0001022486,"Not known.
"
wfo-0001022209,"None known.
"
wfo-0001022457,"Not known.
"
wfo-0001026424,Cultivated as an ornamental and for alkaloids.
wfo-0001026851,Cultivated as an ornamental.
wfo-0001029340,"Cultivated as an ornamental; poisonous fruits used for killing rats and cockroaches. Hul and Dy Phon (2014) record it as naturalised in Vietnam, where the fruits are apparently eaten by villagers once cooked, which is a bit surprising, given that they are used as insecticides in other parts of the world (Nee 1979)."
wfo-0001026614,Cultivated as an ornamental.
wfo-0001030198,Used medicinally and in rituals in Brazil.
wfo-0001031359,"Solanum spirale is widely used and cultivated in dooryard gardens in India, Thailand, and Laos. No uses appear to have been reported from Indonesia or Australia. In Assam (Knajilal et al. 1939) the roots are employed as a narcotic and diuretic, and the leaves and berries are eaten. Berries are eaten either raw or cooked, while leaves are eaten cooked. In Laos (Poilane 26074) the bark of S. spirale is broken and soaked in cold water, then used as a febrifuge for adults and infants. Other members of the S. nudum species group are also used as febrifuges in tropical America (S. pseudoquina in Brazil, S. nudum in Colombia)."
wfo-0001029938,"Herrera (1941) records the use of the bitter berries as an emetic and sudorific in the treatment of various diseases, and the use of the juice of the berries being smeared on the breasts of women wanting to wean their children (probably the origin of the common name in Quechua). In Puno (label data from Mullins 7), the bright red berries are used as a dye. Ruiz & Pavón record the use of poultices of the leaves to open wounds and draw out splinters (‘espinas’) and infections (a suppurating agent). In Bolivia, the boiled berries are used as an insecticidal wash against ticks and fleas for both humans and domestic animals (label data from Alvárez 84) and are also used in the treatment of a variety of contagious skin diseases. Crushed leaves are also used as a compress for skin conditions. Most of these uses and treatments depend upon the extreme bitterness of the berries, the bitter taste is probably due to their high alkaloid content. "
wfo-0001027302,Cultivated as an ornamental.
wfo-0001032194,Cultivated as an ornamental in some areas.
wfo-0001025657,"Cultivated as an ornamental, occasionally for the edible berries."
wfo-0001031795,"Cultivated for the edible berries used in cooking. The fruits are used in cooking in Africa and Asia; they are exported to Europe under the name pea eggplant. Hul and Dy Phon (2014) record the use of seeds in traditional medicine in Indochina, and in India extracts of the plant are used for relief from bites of venomous insects or snakes. In Bhutan the roots and leaves are used medicinally and the fruits are eaten (Mill 2001)."
wfo-0001025840,None recorded.
wfo-0001022437,"Not known.
"
wfo-0001028208,No uses recorded.
wfo-0001030583,Widely cultivated throughout the world as an ornamental.
wfo-0001027594,Cultivated as an ornamental.
wfo-0001026740,"The fruits are edible, large, and have a sweet taste. This species is now being cultivated in New Zealand as a possible fruit crop (Bohs, 1989c; Child, 1986; G. Pringle, pers.comm.)."
wfo-0001429748,"Sporadically cultivated in Central and South America for its edible fruits. In Chiriqui, Panama, the leaves are mashed in water to treat cuts and sores (Cooper & Slater 181). The Choco Indians of eastern Panama use the crushed leaves to treat sores and swellings around the mouth (Duke 8283). Bruised leaves of this species are applied to inflamed wounds by the Colorado Indians of Ecuador (Kvist 40191). The cooked leaves are drunk for heart attacks and headaches by the Quichuas of eastern Ecuador (Ceron & Hurtado 6667). An infusion of the leaves is used in Costa Rica to cure erysipelas (Pittier, 1908). In Putumayo, Colombia, the bark of the lower stems is used as a vermifugal tea (Schultes 3652). The leaves are used to dye pots black by the Kofdns of southern Colombia (Schultes 3652; Schultes & Raffauf, 1990). The juice of the fruits and leaves is used to paint designs on pottery by the Sionas, Secoyas, and Quichas in northeastern Ecuador (Vickers 98, 196; Ceron & Hurtado 6667)."
wfo-0001027821,"In Amazonian Peru near Iquitos, the fruit and leaves are mixed with warm or cold water and used to wash skin for siso, a skin disease (Martin 1187). Natives of Amazonian Peru also crush the leaves in cold water to make an infusion used in a bath to treat bad luck (saladera; Lewis et al. 12281). The fruits are said to be eaten by natives in Dept. Amazonas, Peru (Berlin 1974, 2009). The lowland Quichua of Ecuador use this species to treat heart attacks and strokes (Neill et al. 7758). The Achuar Jívaro of lowland Ecuador scrape the bark into cold water and massage the limbs with the infusion to relieve swellings and prevent infection (Lewis et al. 12148)."
wfo-0001027819,"In Amazonian Peru near Iquitos, the fruit and leaves are mixed with warm or cold water and used to wash skin for siso, a skin disease (Martin 1187). Natives of Amazonian Peru also crush the leaves in cold water to make an infusion used in a bath to treat bad luck (saladera; Lewis et al. 12281). The fruits are said to be eaten by natives in Dept. Amazonas, Peru (Berlin 1974, 2009). The lowland Quichua of Ecuador use this species to treat heart attacks and strokes (Neill et al. 7758). The Achuar Jívaro of lowland Ecuador scrape the bark into cold water and massage the limbs with the infusion to relieve swellings and prevent infection (Lewis et al. 12148)."
