Wfo,Cytology
wfo-0001026707,"Chromosome number not known.
"
wfo-0001030625,Chromosome number: not known.
wfo-0001027506,"Chromosome number not known.
"
wfo-0001028777,"Chromosome number not known.
"
wfo-0001031738,"Chromosome number not known.
"
wfo-0001031116,"Chromosome number not known.
"
wfo-0001030353,"Chromosome number not known.
"
wfo-0001025704,"Chromosome number not known.
"
wfo-0001028109,"Chromosome number not known.
"
wfo-0001026343,"Chromosome number not known.
"
wfo-0001429810,Chromosome number: not known.
wfo-0001027310,"Chromosome number not known.
"
wfo-0001026790,"2n = 2x-3x = 24, 48 (Knapp et al. 2013 and references therein)
"
wfo-0001026711,"Chromosome number not known.
"
wfo-0001031316,"Chromosome number not known.
"
wfo-0001029101,"n = 12; voucher: Symon 4710 (ADW) (Randell & Symon 1976)
"
wfo-0001026242,"Chromosome number not known.
"
wfo-0001028164,"Chromosome number not known.
"
wfo-0001029407,"Chromosome number not known.
"
wfo-0001026925,"Chromosome number not known.
"
wfo-0001030272,"Chromosome number not known.
"
wfo-0001028929,"Chromosome number not known.
"
wfo-0001028404,Chromosome number: n=12 (Averett and Powell 1972).
wfo-0001030709,"2n = 2x = 24; voucher: missing (Federov 1969)
"
wfo-0001026208,"Chromosome number not known.
"
wfo-0001025835,"Chromosome number not known.
"
wfo-0001031128,"Chromosome number not known.
"
wfo-0001032259,"Chromosome number not known.
"
wfo-0001032413,"2n = 2x = 24; voucher: missing - Accessory chromosomes are known to occur in some populations (Krishnappa & Chennaveeraiah 1974; Chennaveeraiah & Krishnappa 1965)
"
wfo-0001031723,"Chromosome number not known.
"
wfo-0001029685,"2n = 2x = 24; voucher: missing (Krishnappav & Chennaveeraiah 1974)
"
wfo-0001028337,"Chromosome number not known.
"
wfo-0001029461,"Chromosome number not known.
"
wfo-0001029802,Chromosome number: not known.
wfo-0001030881,Chromosome number: not known.
wfo-0001020196,"n = 13 (Pozzobon and Schifino-Wittmann 2006); 2n = 2x = 26 (Pozzobon et al. 2006, as Capsicum sp 7; Moscone et al. 2007)."
wfo-0001020214,"n = 13 (Pozzobon and Schifino-Wittmann 2006, as Capsicum sp. 2); 2n = 2x = 26 (Pozzobon et al. 2006, as Capsicum sp. 2; Moscone et al. 2007)."
wfo-0001029728,n = 12; voucher: missing (reference missing)
wfo-0001026388,n = 12; voucher: missing (reference missing)
wfo-0001032271,Chromosome number; n = 12 (Madhavadian 1968).
wfo-0001020089,"n = 13 (Pozzobon and Schifino-Wittmann 2006; Pozzobon et al. 2006, as Capsicum sp. 8)."
wfo-0001020020,2n = 2x = 24 (Moscone 1999; Moscone et al. 2003).
wfo-0001020219,n = 13 (Pozzobon and Schifino-Wittmann 2006); 2n = 2x = 26 (Pozzobon et al. 2006; Moscone et al. 2007).
wfo-0001020188,2n = 2x = 24 (Barboza et al. 2011).
wfo-1000020807,2n = 2x = 26 (Barboza et al. 2019).
wfo-0001020028,"2n = 2x = 24 (Barboza et al. 3655, see Table 2)."
wfo-0001020018,"2n = 2x = 24 (Pickersgill 1977; Moscone et al. 2003, 2007)."
wfo-0001020017,"2n = 2x = 24 (Pickersgill 1977; Moscone et al. 2003, 2007)."
wfo-0001020212,"n = 12 (Heiser and Smith 1958, as C. praetermissum; Pozzobon and Schifino-Wittmann 2006 as C. baccatum var. praetermissum); 2n = 2x = 24 (Pickersgill 1977, as C. praetermissum; Pozzobon et al. 2006; Moscone et al. 2007; Scaldaferro et al. 2016, counts as C. baccatum var. praetermissum)."
wfo-0001020174,"n = 13 (Tong and Bosland 2003; Pozzobon and Schifino-Wittmann 2006, as Capsicum sp 6 and C. buforum); 2n = 2x = 26 (Moscone et al. 2007)."
wfo-0001020257,"n = 13 (Pozzobon and Schifino-Wittmann 2006, as C. villosum var. villosum); 2n = 2x = 26 (Pozzobon et al. 2006, as C. villosum var. villosum Scaldaferro et al. 2016)."
wfo-0001020062,n = 13 (Pozzobon and Schifino-Wittmann 2006); 2n = 2x = 26 (Pozzobon et al. 2016).
wfo-0001020034,"n = 12 (Heiser and Smith 1958); 2n = 2x = 24 (Pickersgill 1977; Moscone et al. 2007; Scaldaferro et al. 2013, 2016)."
wfo-0001020140,2n = 2x = 26 (Tong and Bosland 2003).
wfo-0001020080,2n = 2x = 24 (Carrizo García et al. 2020).
wfo-0001030658,Chromosome number: 2n = 24 (Chennaveeraiah and Krishnappa 1971; Rao and Rao 1987).
wfo-0001341734,"Chromosome number not known.
"
wfo-0001020153,2n = 2x = 26 (Scaldaferro and Moscone 2019).
wfo-1000021598,2n = 2x = 26 (Barboza et al. 2020b).
wfo-0001020086,n = 12 (Moscone 1992; Pozzobon and Schifino-Wittmann 2006); 2n = 2x = 24 (Pozzobon et al. 2006; Moscone et al. 2007).
wfo-0001020250,n = 12 (Eshbaugh et al. 1983); 2n = 2x = 24 (Moscone et al. 2007; Scaldaferro et al. 2016).
wfo-0001020030,"n = 13 (Pozzobon and Schifino-Wittmann 2006), 2n = 2x = 26 (Moscone et al. 2003, 2007; Pozzobon et al. 2006)."
wfo-0001028396,"Variety of ploidy levels: n = 12 (G. Bernardello 505; T. E. Di Fulvio 824), n = 18 (A. T. Hunziker et al. 24847), n = 24 (R. Subils et al. 3859; A. T. Hunziker 24846), and 2n = 24 (G. E. Barboza et al. 1261) (Moscone 1992; Chiarini 2007)
"
wfo-0001028814,"2n = 3x = 48; voucher: E. A. Moscone 75, F. Chiarini 503, F. Chiarini 504 (Moscone 1992; Chiarini 2007)
"
wfo-0001027187,"2n = 3x = 48; voucher: G. E. Barboza et al. 999, G. E. Barboza et al. 1001, Chiarini 2007 (reference missing)
"
wfo-0001031651,"Chromosome number not known.
"
wfo-0001031786,"Chromosome number not known.
"
wfo-0001026831,"Chromosome number not known.
"
wfo-0001031761,"Chromosome number not known.
"
wfo-0001030918,"Chromosome number not known.
"
wfo-0001029332,"Chromosome number not known.
"
wfo-0001027359,"Chromosome number not known.
"
wfo-0001025694,"Chromosome number not known.
"
wfo-0001026912,Chromosome number not known.
wfo-0001028774,"n = 12 (Löve 1979)
"
wfo-0001031587,Chromosome number not known.
wfo-0001030278,"2n = 2x = 24; voucher: missing (no reference)
"
wfo-0001028234,n = ploidy missing = 12; voucher: missing (Löve 1979)
wfo-0001028235,n = ploidy missing = 12; voucher: missing (Löve 1979)
wfo-0001028236,n = ploidy missing = 12; voucher: missing (Löve 1979)
wfo-0001025714,"Chromosome number not known.
"
wfo-0001030067,n = ploidy missing = 12; voucher: Symon 4720 (ADW) (Randell & Symon 1976)
wfo-0001032234,"Chromosome number not known.
"
wfo-0001032351,"Chromosome number not known.
"
wfo-0001030438,"Chromosome number not known.
"
wfo-0001026924,"n = ploidy missing = 12, 24; voucher: Symon 10001, Symon 31456 (ADW) (Randell & Symon 1976)"
wfo-0001031721,n = ploidy missing = 24; voucher: Randell 039 (ADW) (Randell & Symon 1976)
wfo-0001029160,"n = 12 (Löve 1979)
"
wfo-0001031671,"2n = 2x = 24; voucher: missing (Löve 1979)
"
wfo-0001032368,"Chromosome number not known.
"
wfo-0001031178,Chromosome number not known.
wfo-0001029771,n = ploidy missing = 12; voucher: Pedley 789 (ADW) (Randell & Symon 1976)
wfo-0001032183,"Chromosome number not known.
"
wfo-0001031512,n = ploidy missing = 12; voucher: Symon 2139 (ADW) (Randell & Symon 1976)
wfo-0001027510,n = ploidy missing = 12; voucher: Tracey s.n. (ADW) (Randell & Symon 1976)
wfo-0001031573,"Chromosome number not known.
"
wfo-0001027009,n = ploidy missing = 12; voucher: Symon 7638 (ADW) (Randell & Symon 1976)
wfo-0001027930,n = ploidy missing = 12; voucher: Symon 5467 (ADW) (Randell & Symon 1976)
wfo-0001030244,Chromosome number not known.
wfo-0001030246,Chromosome number not known.
wfo-0001027601,n = ploidy missing = 12; voucher: Webb & Tracey 10975 (ADW) and Hinz 7633 (NT) (Symon 1981)
wfo-0001029592,Chromosome number not known.
wfo-0001030247,"Chromosome number not known.
"
wfo-0001031217,Chromosome number not known.
wfo-0001029777,"Chromosome number not known.
"
wfo-0001027232,2n = 2x = 24; voucher: Henderson 2381 (BRI) (Symon 1995)
wfo-0001031389,n = ploidy missing = 12; voucher: Symon 4712 (ADW) (Randell & Symon 1976)
wfo-0001031162,n = ploidy missing = 12; voucher: Randell 47 (ADW) (Randell & Symon 1976)
wfo-0001029945,"Chromosome number not known.
"
wfo-0001031363,Chromosome number not known.
wfo-0001029308,n = ploidy missing = 24; voucher: Hyland 7367 (ADW) (Symon 1981)
wfo-0001031229,"Chromosome number not known.
"
wfo-0001031511,2n = 2x = 24; voucher: Henderson 2286 (BRI) (Symon 1995)
wfo-0001030877,Chromosome number not known.
wfo-0001026922,"Chromosome number not known.
"
wfo-0001028059,n = ploidy missing = 12; voucher: Webb & Tracey s.n. (ADW) (Randell & Symon 1976)
wfo-0001028546,n = ploidy missing = 12; voucher: Henderson 1304 (ADW) (Randell & Symon 1976)
wfo-0001027810,"Chromosome number not known.
"
wfo-0001026336,"Chromosome number not known.
"
wfo-1000020805,2n = 2x = 26 (Barboza et al. 2019).
wfo-0001020215,"2n = 2x = 26 (Pickersgill 1977, as C. ciliatum; Moscone et al. 2007; Scaldaferro et al. 2013)."
wfo-0001020147,2n = 2x = 24 (Barboza et al. 2011).
wfo-0001027416,"n = 12 (Löve 1979)
"
wfo-0001027155,Chromosome number: not known.
wfo-1000029963,Chromosome number unknown.
wfo-1000029961,Chromosome number not known.
wfo-1000029962,Chromosome number not known.
wfo-1000029964,Chromosome number not known.
wfo-0001029645,Chromosome number not known.
wfo-0001025845,"n = 12; voucher: Bohs 2339 (UT)
"
wfo-0001030145,"Chromosome number not known.
"
wfo-0001029364,Chromosome number not known.
wfo-0001028021,"Chromosome number: reported as 2n = 48 (Edmonds 1972, 1977, vouchers Iltis et al. 481b, Hawkes et al. 4110, Gade s.n.; none found for verification)."
wfo-0001029074,"Chromosome number not known.
"
wfo-0001429592,Chromosome number not known (but see comments on DNA content below).
wfo-0001031065,"Chromosome number not known.
"
wfo-0001026307,"Chromosome number not known.
"
wfo-0001027235,"Chromosome number not known.
"
wfo-0001031880,"Chromosome number not known.
"
wfo-0001022276,"Chromosome number not known.
"
wfo-0001022333,"Chromosome number not known.
"
wfo-0001030265,Chromosome number: not known.
wfo-0001030581,"Chromosome number not known.
"
wfo-0001022221,"Chromosome number not known.
"
wfo-0001022330,"Chromosome number not known.
"
wfo-0001027452,"Chromosome number not known.
"
wfo-0001030081,"Chromosome number not known.
"
wfo-0001032167,"Chromosome number not known.
"
wfo-0001025754,"Chromosome number not known.
"
wfo-0001022289,"Chromosome number not known.
"
wfo-0001030714,"Chromosome number not known.
"
wfo-0001027661,"n = 12
"
wfo-0001030185,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001027929,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001027872,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001030867,"Chromosome number not known.
"
wfo-0001031697,Chromosome number not known.
wfo-0001029646,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001031852,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001027104,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001028429,2n = 4x = 48; voucher: missing (Spooner & Hijmans 2001)
wfo-0001028737,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001032344,"2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
"
wfo-0001031486,2n = 4x = 48; voucher: missing (Spooner & Hijmans 2001)
wfo-0001029121,"2n = 3x = 48; voucher: missing (Spooner & Hijmans 2001)
"
wfo-0001028263,2n = 6x = 72; voucher: missing (Spooner & Hijmans 2001)
wfo-0001025646,2n = 3x = 36; voucher: missing (Spooner & Hijmans 2001)
wfo-0001031400,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001025642,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001028698,2n = 6x = 72; voucher: missing (Spooner & Hijmans 2001)
wfo-0001025645,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001032532,"Chromosome number not known.
"
wfo-0001028405,2n = 2x = 24; voucher: missing (Spooner & Sytsma 1992)
wfo-0001030426,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001029055,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001030516,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001025788,2n = 4x = 48; voucher: missing (Spooner & Hijmans 2001)
wfo-0001030147,"2n = 3x = 48; voucher: missing (Spooner & Hijmans 2001)
"
wfo-0001031667,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001027765,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001025639,2n = 5x = 60; voucher: missing (Spooner & Hijmans 2001)
wfo-0001031097,2n = 6x = 72; voucher: missing (Spooner & Hijmans 2001)
wfo-0001027483,2n = 6x = 72; voucher: missing (Spooner & Hijmans 2001)
wfo-0001028465,2n = 6x = 72; voucher: missing (Spooner & Hijmans 2001)
wfo-0001026858,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001026696,2n = 2x = 24; voucher: missing (Spooner & Hijmans 2001)
wfo-0001030167,"Chromosome number not known.
"
wfo-0001029088,"Chromosome number not known.
"
wfo-0001030311,"Chromosome number not known.
"
wfo-0001030342,"Chromosome number not known.
"
wfo-0001031864,"Chromosome number not known.
"
wfo-0001027770,"2n = 2x, 3x, 6x = 24, 48, 72 (Scaldaferro et al. 2012)
"
wfo-0001025638,"2n = 3x = 24; voucher: Okada 6683 (BAL) (Hijmans, et al. 2007)"
wfo-0001026203,"2n = 2x = 24; voucher: Spooner, Castillo-T & López-J 5152 (PTIS) (Hijmans, et al. 2007)<br/>2n = 4x = 48; voucher: Spooner, Castillo-T & López-J 5007 (PTIS) (Hijmans, et al. 2007)"
wfo-0001025669,"2n = 4x = 48; voucher: Ochoa & Salas 14945 (CIP) (Hijmans, et al. 2007)"
wfo-0001026607,"2n = 2x = 24; voucher: Spooner et al. 6635 (PTIS) (Hijmans, et al. 2007)"
wfo-0001025636,"2n = 3x = 48; voucher: Okada 6769 (BAL) (Hijmans, et al. 2007)<br/>2n = 4x = 48; voucher: Okada 6055 (BAL) (Hijmans, et al. 2007)"
wfo-0001025869,"2n = 2x = 24; voucher: Ochoa 4299 (CUZ) (reference missing)
"
wfo-0001029785,"2n = 2x = 24; voucher: Hawkes et al. 3878 (PTIS) (Hijmans, et al. 2007)"
wfo-0001027035,"2n = 2x = 24; voucher: Ochoa 13199 (CIP) (Hijmans, et al. 2007)"
wfo-0001029334,"2n = 2x = 24; voucher: Okada 5074 (BAL) (Hijmans, et al. 2007)"
wfo-0001027157,"2n = 3x = 36; voucher: missing (Hijmans, et al. 2007); 2n = 2x = 24; voucher: Okada 4583 (BAL) (Hijmans, et al. 2007)"
wfo-0001028888,"2n = 2x = 24; voucher: Clausen & Spooner 4544 (BAL) (Hijmans, et al. 2007)"
wfo-0001030271,"2n = 2x = 24; voucher: Ochoa 11628 (CIP) (Hijmans, et al. 2007)"
wfo-0001025697,"2n = 2x = 24; voucher: Ochoa & Salas 66 (CIP) (Hijmans, et al. 2007)"
wfo-0001031484,"2n = 2x = 24; voucher: Spooner et al. 6714 (BOLV, PTIS, WAG, WIS) (Hijmans, et al. 2007)
"
wfo-0001030444,"2n = 2x = 24; voucher: Ochoa 13959 (CIP) (Hijmans, et al. 2007)"
wfo-0001027223,"2n = 2x = 24; voucher: Ochoa 14751 (CIP) (Hijmans, et al. 2007)
"
wfo-0001032308,"2n = 2x = 24; voucher: Spooner & Clausen 4618 (PTIS) (Hijmans, et al. 2007)"
wfo-0001029789,"2n = 3x = 36; voucher: Ochoa & Salas 11252 (CIP) (Hijmans, et al. 2007)"
wfo-0001029417,"2n = 2x = 24; voucher: Ochoa & Salas 7361 (CIP) (Hijmans, et al. 2007); 2n = 3x = 36; voucher: Ochoa & Salas 7304 (CIP) (Hijmans, et al. 2007)"
wfo-0001031071,"2n = 2x = 24; voucher: Ochoa & Salas 60 (CIP) (Hijmans, et al. 2007)"
wfo-0001029601,"2n = 2x = 24; voucher: Ochoa & Salas 14870 (CIP) (Hijmans, et al. 2007)"
wfo-0001026400,"2n = 2x = 24; voucher: Ochoa 15185 (MOL) (Hijmans, et al. 2007)"
wfo-0001025637,"2n = 2x = 24; voucher: Ochoa 13009 (CIP) (Hijmans, et al. 2007)"
wfo-0001025906,"2n = 2x = 24; voucher: Ochoa 13231 (CIP) (Hijmans, et al. 2007)"
wfo-0001028532,"2n = 2x = 24; voucher: Ochoa 11689 (CIP) (Hijmans, et al. 2007)"
wfo-0001032295,"2n = 24 (Spooner & Salas 7240 CIP, MOL, PTIS). "
wfo-0001028470,"2n = 2x = 24; voucher: Ochoa 11626 (CIP) (Hijmans, et al. 2007)"
wfo-0001026739,"2n = 2x = 24; voucher: Ochoa 1490 (CIP) (Hijmans, et al. 2007)"
wfo-0001028501,"2n = 2x = 24; voucher: Ochoa & Salas 14727 (CIP) (Hijmans, et al. 2007)"
wfo-0001028487,"2n = 2x = 24; voucher: Ochoa 2479 (OCH) (Hijmans, et al. 2007)"
wfo-0001026441,"2n = 2x = 24; voucher: missing (Ochoa 1982)
"
wfo-0001025700,"2n = 2x = 24; voucher: Ochoa & Salas 86 (CIP) (Hijmans, et al. 2007)"
wfo-0001029546,"2n = 3x = 36; voucher: Okada 6154 (BAL) (Hijmans, et al. 2007)<br/>2n = 2x = 24; voucher: Spooner & Clausen 4632 (PTIS) (Hijmans, et al. 2007)"
wfo-0001027624,"2n = 2x = 24; voucher: Ochoa 12070 (CIP) (Hijmans, et al. 2007)"
wfo-0001026529,"2n = 2x = 24; voucher: Ochoa & Salas 15565 (US) (Hijmans, et al. 2007)"
wfo-0001031252,"2n = 2x = 24; voucher: Ochoa 15988 (MOL) (Hijmans, et al. 2007)"
wfo-0001026830,"2n = 2x = 24; voucher: Ochoa & Salas 14681 (CIP) (Hijmans, et al. 2007)"
wfo-0001027622,"2n = 2x = 24; voucher: Hawkes et al. 4534 (C, K) (Hijmans, et al. 2007)"
wfo-0001027146,"2n = 6x = 72; voucher: Castillo et al. 1243 (PTIS) (Hijmans, et al. 2007);  2n = 4x = 48; voucher: Castillo et al. 1212 (PTIS) (Hijmans, et al. 2007)
"
wfo-0001025792,2n = 2x = 24; voucher: Ochoa 10527 (CIP) (Ochoa 1990)
wfo-0001028815,2n = 3x = 36; voucher: Huamán 815 (CIP) (Ochoa 1990)
wfo-0001025825,"2n = 2x = 24; voucher: Spooner et al. 5030 (CIP) (Hijmans, et al. 2007)"
