Wfo,Distribution
wfo-0001030090,"Native in the Pacific islands, from Australia, Papua New Guinea and New Zealand, to Taiwan and Hawaii, west to the Pitcairn Islands and Rapa Nui (Easter Island). It grows in a wide variety of habitats, usually in disturbed areas, along roadsides and field edges; between 0 - 2,600 elevation.
"
wfo-0001028050,"Solanum furcatum is native to temperate southern Chile (including the Juan Fernández Islands; Regions I [Tarapacá], II [Antofagasta], IV [Coquimbo], V [Valparaiso], VI [O’Higgins], VII [Maule], VIII [Bío-Bío], IX [Araucania], X [Los Lagos], XIII [Metropolitana], XIV [Los Rios]) and adjacent southern Andean Argentina (Provs. Chubut, Neuquén, Río Negro). It is locally introduced and naturalised along the west coast of the United States of America (California and Oregon), Australia (Victoria and Tasmania) and New Zealand (see Särkinen et al. 2018; Knapp et al. 2019). In open places and disturbed areas, along roadsides, and field margins; between 0 - 3,000 m elevation in its native range, in Australia collected in coastal habitats along the foreshore or along creeks near sea level.
"
wfo-0001029932,"Native to southern South America and possibly western North America, but sporadically to widely adventive in Europe, North America, Australia and New Zealand. It grows along roadsides, in disturbed and cultivations in the shade of trees and shrubs, in rocky and sandy areas; between 0 - 2,000 (-2,700) m elevation in its native range, between 0 - 2,400 m in the Eastern Hemisphere primarily as a weed in cultivations. In South America it appears to be native in Chile (Regions III [Atacama], V [Valparaiso], VI [O’Higgins], VIII [Bío-Bío], XII [Magellanes], XIII [Metropolitana], XIV [Los Ríos]), Argentina (Provs. Buenos Aires, Catamarca, Chubut, Córdoba, Entre Rios, La Rioja, Mendoza, Neuquén, Río Negro, Salta, San Juan, San Luis, Santa Cruz, Santiago del Estero, Tucumán) and coastal southern Peru (Depts. Moquegua, Tacna); it is perhaps adventive in Ecuador (Prov. Tungurahua).
"
wfo-0001021590,Only known from a few collections in southern Peru.
wfo-0001030827,"Endemic to southern Africa but has been introduced to Australia and was introduced as a garden plant to North America in the early 20th century and now globally available through commercial seeds from online sources under the name Garden Huckleberry. It grows in disturbed soil at watering holes, along dry watercourses, in shady places, in long grass, in Euphorbia candelabrum-Buxus zone, in dry hillsides, and in disturbed areas along roads; between 0 - 1,800 (-2,300) m elevation.
"
wfo-0001032383,"Native to the northern Hemisphere, from Europe, especially around the Mediterranean basin, Arabian Peninsula to dry sub-tropical Asia, and eastern Africa (where it is cultivated for its fruit); introduced globally. The native distribution of S. villosum is restricted to the Eastern Hemisphere, but cultivated and/or introduced populations that never seem to persist are occasionally found in North America and the Caribbean (Stebbins and Paddock 1949). It grows in open and disturbed areas in a wide variety of habitat types, including in cities; between 0 - 3,000 (-3,600) m elevation.
"
wfo-0001031661,"Common throughout sub-Saharan tropical Africa from Sudan to Mozambique and South Africa, and west to Cameroon and Angola; we have also seen a few isolated collections from the Comoro Islands and Madagascar (perhaps introduced). It grows in a wide variety of disturbed habitats, along forest margins and roadsides and in clearings, often cultivated; between (0-) 500 - 3,300 m elevation.
"
wfo-0001025878,"Globally distributed weed found across tropical and subtropical areas; probably native to the Americas, but there is little evidence for its origin or introduction. It grows in disturbed habitats and associated with human activities in tropical moist to dry areas, in dry areas often found growing in full shade close to watersources; between 0 - 2,000 (-2,500) m elevation.
"
wfo-0001032187,"Endemic to the southern highlands of Tanzania, and grows on volcanic soils, frequent on the ash layer in charcoal-burning areas, also commonly cultivated; between 1,700 - 2,200 m elevation.
"
wfo-0001028423,"Endemic to the high mountains of Ethiopia on the western side of the Rift Valley. It grows in open grassy areas, arable land, along river banks, in forest and along roadsides; between 2,200 - 3,500 m elevation.
"
wfo-0001030417,"Apparently native to coastal areas from northern Peru to central Chile, 0-500 m, although populations are found to central coastal Ecuador (but see below). Solanum pimpinellifolium grows in wet places and on the edges of cultivations throughout its native range and has apparently escaped from cultivation in the Galápagos (see Darwin et al. 2003)."
wfo-0001029216,"Worldwide, but is really known only from cultivation, specimens collected from natural habitats are, in our opinion, feral escapes and not truly wild populations."
wfo-0001031853,"Native to the Americas with an amphitropical distribution between temperate South and North America. Introduced outside its native range in Europe, South Africa and Australia, probably with agricultural seed or wool waste. In South America it is only known from Argentina (Provs. Buenos Aires, Chubut, Córdoba, La Pampa, Mendoza, Neuquén, Río Negro, San Juan, San Luis, Santa Cruz), largely in Patagonia. It grows across a wide range of habitats, along road sides, sandy soils, in cultivations, and in salt plains; between 0 - 2,300 (-2,900) m elevation in its native range, between 0 - 1,800 m in the introduced range.
"
wfo-0001030176,"In its native range Solanum palitans occurs in northwestern Argentina (Depts. Tucumá;n, Salta, Jujuy), Bolivia, southern Peru (Dept. Cuzco), at 1200-4750 m, rarely down to 800 m. In hte Eastern Hemisphere it is very locally naturalised in New South Wales, Australia (near sea level). In disturbed sites, along roadsides and field margins, on rocky, sandy, or clay soils; between (50–)1,400 and 3,000(–3,700) m elevation.
"
wfo-0001029680,"Coastal Peru in the Departments of Ancash, Arequipa, Ica, La Libertad, Lima, Moquegua and Tacna. On arid sandy soil and dunes, rocky and gravelly hillsides. 0-1200 m in elevation."
wfo-0001027538,"Australia, Queensland: Port Curtis."
wfo-0001027198,In wet and dry forests as a second growth shrub or tree in western Ecuador and northwestern Peru from sea level to 500 m elevation.
wfo-0001027114,"Northern Peru in the province of Cajamarca, in montane forest from 2000-2600 m."
wfo-0001030315,"Solanum pentlandii occurs in the Andes from central Peru (Depts. Apurimac, Arequipa, Ayacucho, Cusco, Huancavelica, Junín, Lima, Puno, Tacna) to northern Bolivia (Dept. La Paz). In open areas at high elevation, often in grassland and along roadsides; it appears to favour high nitrogen environments and is often collected near villages and cities, from 2,400 to 5,200 m elevation."
wfo-1200007610,"Mexico (Chiapas, Colima, Jalisco, Michoacá;n, Oaxaca, Sinaloa), Guatemala (El Progreso, Huehuetenango, Zacapa), El Salvador, Honduras, Nicaragua, and Costa Rica, in oak forest, pine forest, and tropical dry forest, in open disturbed areas, riparian areas, road edges, canyons and ravines, thickets and hedges, sometimes on limestone, 0-1300 m in elevation.
"
wfo-0001022223,"Atlantic slope in Belize, Mexico (states of Campeche, Chiapas, Quintana Roo, Yucatan) and Guatemala in forest (often secondary forest), usually seasonal evergreen forest, tropical evergreen forest, tall forest, selva mediana subperennifolia, selva subcaudicifolia, sometimes on limestone, 0-500 m in elevation.
"
wfo-0001032576,"Coastal areas of southern Kenya, Tanzania, and Mozambique; dry forest or forest edges, savannah, shrubland, and roadsideswet or dry forest undergrowth, forest edges, and rocky outcrops on sand or sandy loam; 0-700 m elevation.
"
wfo-0001020127,"Capsicum hookerianum is restricted to extra-Andean western Ecuador (Guayas, El Oro, Loja and Manabí Provinces) and northern Peru (Tumbes Department); grows in dry deciduous forests at low elevations (100–1,000 m)."
wfo-0001028594,"Eastern slopes of the Andes from S. Ecuador to S. Peru, montane forest and forest edges, 1540-3000 m."
wfo-0001025782,"Endemic to Kenya; found in wet montane forest understory, Croton-Brachylaena-Calodendrum and Ocotea forests; 1800-2500 m elevation.
"
wfo-0001031155,"Only known from the island of Hispaniola, in valleys (Morne de la Selle, Haiti) at ca. 1600 m. The type and one other sheet from the Dominican Republic (not seen) are the only specimens of this species. "
wfo-1000023516,"In Panama (Chiriquí and Bocas Del Toro provinces) in cloud forest and wet forest with Quercus, Podocarpus, Magnolia, Symplocos, and laurel, and with Chusquea (bamboo) understory, 2200-2850 m in elevation.
"
wfo-0001027276,"Known from a handful of localities in the sub-arid tropical zone of the Northern Territory (a region known colloquially as the Top End), most of these habitats are classified under the Tropical eucalypt woodlands/grasslands Major Vegetation Group (National Land and Water Resources 2002). The species is associated with low sandstone outcrops and open eucalypt woodlands, where it typically grows among small boulders or in sandy grassy areas between or around rock formations. The areas where Solanum cowiei has been collected are fire-prone and burn at semi-regular intervals, allowing for this taxon to compete effectively with species of lesser fire tolerance.
"
wfo-0001345395,"Solanum ossicruentum is presently known from a wide range of localities in the sub-arid tropical zone of the Northern Territory and eastern Kimberley in Western Australia, including the northern edge of the Tanami Desert, mostly within the Victoria Bonaparte Terrestrial Bioregion (Australian Government 2012). The species associates closely with red sandstone, quartzite sandstone, and conglomerates (as per Tyler 1996), where it is found on hills, ridges, outcrops, and plateaus, growing in gravel or from fissures in pavement and dissected rock. It has also been collected frequently in steep gorges and washes, as well as at the base of rock formations in sandy levees and alluvial deposits. Among the associated taxa noted on herbarium labels are species of Triodia (Poaceae), Acacia (Fabaceae), Eucalyptus (Myrtaceae), and Grevillea (Proteaceae). Although little is known about its relation with fire (one fruiting collection by Latz is from a recently burned habitat), the species is likely fire tolerant to some degree. Pollination biology of the species is unknown, but, like other Australian congeners, the flowers are likely buzz pollinated by bees in the genera Xylocopa and Amegilla (see Anderson and Symon 1988, Switzer et al. 2015). A small set (n=8) of ex situ hand pollinations conducted for this study showed that inaperturate pollen produced by functional females does not lead to fruit set when used to pollinate other females – suggesting that, like other dioecious solanums, reproduction in this species is dependent on intersexual outcrossing via biotic pollination. SEM images of the pollen confirm that morphologically hermaphrodite flowers produce inaperturate grains incapable of germination."
wfo-0001029368,"On the western slopes of the Andes in wet forest from S Colombia to N Ecuador, from 600 to 2000 m."
wfo-0001029215,"S Peru to N Chile on the W slopes of the Andes on dry rocky hillsides, 2900-3600 m elevation."
wfo-0001026220,"A weed of floodplains, abandoned fields, overgrazed places and roadsides, versatile in soil tolerance, throughout tropical Mexico, E to Honduras.
"
wfo-0001032176,"Eastern slopes of the Andes from central Ecuador to central Peru, from 200-1200 m elevation, usually growing in primary forest or at the edges of clearings."
wfo-0001030768,"Solanum radicans occurs from Ecuador (Provs. Carchi, Chimborazo, Cotopaxi, El Oro, Esmeraldas, Imbabura, Pichincha, Tungurahua) and Peru (Depts. Arequipa, Apurímac, Ayacucho, Cajamarca, Cusco, Huancavelica, Huánuco, Ica, Junín, Lima, Moquegua, Piura, Tacna) to Bolivia (Depts. Cochabamba, La Paz) and central Chile (Regions I [Tarapacá], III [Atacama], IV [Coquimbo], XV [Arica y Parinacota]). Most collections are from the western Andean slopes. A plant of open places usually at high elevations but can occur to almost sea level in the southern part of its range, from (40-) 1,500 to 3,700 m elevation. It is generally a weedy species and is found in disturbed areas, often associated with human habitation."
wfo-0001031300,"Endemic to South Africa; growing in open high altitude grassland, sometimes in disturbed areas; 1200-2000 m elevation.
"
wfo-0001029662,"Only known from the area near the town of Trinidad in the Department of Beni, Bolivia. It has a weedy habit and grows in disturbed and grazed areas at elevations from 150 to 200 m.
The few collections to date show Solanum moxosense is adapted to weedy or disturbed areas around cattle pens, but the original adaptation is probably to natural disturbances of the seasonally inundated savanna in which Trinidad, Bolivia is situated. So far it is only known from the immediate vicinity of the city at ca. 200 m in elevation. It is a weed in the city of Trinidad and was also seen commonly on dirt roads and near cattle yards near Puerto Almacén, 7 km SW of the city, but not yet blooming there, so no specimens were collected. No collections have been seen from the Estación Bioógica del Beni, ca. 150 km to the west, one of the few areas of the Beni plains that has been thoroughly explored botanically (Nee et al. 2006).
"
wfo-0001019619,Argentina (Chubut).
wfo-0001019615,Argentina (Chubut).
wfo-0001019616,Argentina (Chubut).
wfo-0001019617,"Argentina (Chubut, Rio Negro)."
wfo-0001019625,Argentina (Santa Cruz)
wfo-0001019624,"Argentina (Chubut, Santa Cruz)."
wfo-0001019628,Argentina (Santa Cruz)
wfo-0001019614,"Argentina (Santa Cruz, Neuquen) and Chile (Magallanes)"
wfo-0001019623,Argentina (Chubut to Santa Cruz) and Chile (Magallanes).
wfo-0001019622,"Argentina (Santa Cruz, Tierra del Fuego) and Chile (Magallanes)."
wfo-0001019620,Argentina (Santa Cruz).
wfo-0001019626,Argentina (Santa Cruz)
wfo-0001031839,"Rocky slopes and dry montane meadows, on limestone and limestone-derived soils, from 2000-3000 m, Querétaro to SE Puebla, Mexico; uncommon."
wfo-0001347008,"Solanum michaelis occurs in Bolivia (Depts. Chuquisaca, Santa Cruz, Tarija), northern Argentina (Prov. Salta) and Paraguay (Dept. Presidente Hayes). In dry Chaco vegetation and in lower inter-Andean valleys, along slopes in sandy soils in mostly unshaded dry creek beds on bare soil, often in areas that have been burned, or in more humid Chaco vegetation at the edge of “palmares” (stands of Copernicia alba Morong, Arecaceae), between 300 and 900 m elevation."
wfo-0001347009,"Solanum woodii occurs in Bolivia (Depts. Chuquisaca, Santa Cruz) and in northern Argentina (Prov. Jujuy); in Chaco and Chaco forests of inter-Andean valleys in Bolivia and northern Argentina, in dry Chaco woodlands on sandy and clay soils near water sources, rivers and in moist depressions in partial or full shade; between 300 and 1,800 m elevation."
wfo-0001429804,"Solanum medusae is only known from the region of the Serra da Canastra in southwestern Minas Gerais state, Brazil. It has been collected from six municipalities located northeast (Campinópolis, Piumhi, São José do Barreiro and São Roque de Minas), north (São João Batista da Serra) and west (Sacramento) of the Serra da Canastra; in open areas along roads, pastures and clearings in Cerrado, above 700 m elevation. Populations have been found in areas originally dominated by Cerrado strictosensu (lower areas), grasslands (higher areas) and seasonal semi-deciduous tropical forests (mountain slopes)."
wfo-0001029125,"Solanum longifilamentum is distributed from Ecuador (Provs. Azuay, Cañar, Chimborazo, Loja, Napo, Pastaza, Pichincha, Zamora-Chinchipe) to Peru (Depts. Amazonas, Ayacucho, Cajamarca, Cusco, Huánuco, Junín, Pasco, Puno, San Martín, Ucayali) and Bolivia (Depts. Beni, Cochabamba, La Paz, Santa Cruz) along the eastern slopes of the Andes. In mid-elevation montane forests in moist areas, along roadsides, often amongst mosses and small herbs; from (200-) 1,000 to 2,800 (-3,500) m elevation. In the Huancabamba depression in northern Peru (e.g., Kujikat 104), plants have often been collected at lower elevations.
"
wfo-0001026513,"In middle elevation forests in eastern Ecuador and adjacent Peru, 900 to 1500 m."
wfo-0001028505,"In rainforests on the western slopes of the Andes in Ecuador, from sea level to ca. 600 m."
wfo-0001025872,"On the western slopes of the Andes in the department of Lima, Peru, common streamside shrub just below the snowline from 2500 to 3500 m."
wfo-0001030814,"Cultivated and occurring as a weed about human clearings and habitations, predominantly in moist situations, from Fiji, Samoa, and Tonga east to the Society and Marquesas Islands."
wfo-0001026241,"Southern Peru on rocky and clayey arid slopes at ca. 2800 m (ca. 13&deg;30'S, 72&deg;40'W) on either side of the Río Apurímac west of Cusco on the road to Abancay.
"
wfo-0001022511,"Central America (Nicaragua, Costa Rica, and Panama) in primary and secondary forest at 0-1200 m in elevation.
"
wfo-0001031897,"Endemic to the east-central region of Madagascar in Antananarivo, Fianarantsoa, and Toamasina provinces. Ti grows in humid and subhumid montane forest; (600-)1000-2000 m elevation.
"
wfo-0001022467,"Lycianthes parasitica occurs in Brunei Darussalam, Indonesia, Malaysia, the Philippines and Thailand (a single sterile specimen only, Put Phraisurind 122). Lycianthes parasitica grows as an epiphytic shrub in wet forests, usually at low elevations along rivers and streams and in swamp forests, from 100 to 1,000 m elevation."
wfo-0001020201,"Capsicum pubescens is native to Bolivia and Peru (Fig. 105), probably originating in mid-elevation southern Andes (Eshbaugh 1976, 1993; Pickersgill 1984), but confirmed wild populations have not been recorded. Currently, this species is confined to the Americas being moderately cultivated in North America (mainly in Mexico) and Central America and more intensively along the Andean Region of South America, especially from Colombia to Bolivia and less in northern Argentina (Salta and Jujuy), Chile (Arica and Parinacota, cf. Tapia and Campos 2016) and Venezuela. Frequently found in the Andean mid-elevations to highlands from (800–) 1,200–3,500 m and rarely below 500 m elevation. In Indonesia, the cultivation of C. pubescens occurs also in highlands, over 1,400 m elevation."
wfo-0001029464,"Cultivated worldwide in tropical and subtropical areas (in the temperate zone under glass); the greatest diversity of landraces and cultivars is found in Asia (India, China and southeast Asia), with secondary centres in the Middle East and around the Mediterranean.. The origin of Solanum melongena is in Asia, but the exact place of domestication in not clear (see references in <a href=""http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0057039"">Knapp et al. 2013</a>).
"
wfo-0001025760,"Cultivated throughout tropical Sub-Saharan Africa and on Madagascar, not known in the wild except as feral individuals; also cultivated in South America and in some parts of Europe and Asia; thrives in full sun and woodland savannah. In temperate zones cultivars apparently cannot tolerate cold or wet conditions and are only grown in greenhouse conditions or in the summer.
"
wfo-0001028672,"India to southeastern Asia (east to the Philippines), also found in Madagascar and Mauritius; degraded scrubland and secondary vegetation, 0-500 m elevation.
"
wfo-0001030509,"Kenya and Tanzania; savanna, rocky hillsides, bushland and scrub, on granite, volcanic rocks or red sandy soil; 1800-2200 m.
"
wfo-0001029310,"Madagascar, endemic to northern Antsiranana; growing in tropical forest on limestone; 0-300 m elevation.
"
wfo-0001028963,"Eastern African inland Rift Valley endemic, from southern Ethiopia to Tanzania; often locally abundant in disturbed areas, bushland, thickets, and stony slopes, on black cotton soil; 1200-2300 m elevation.
"
wfo-0001028558,"Sub-Saharan Africa north of the equator, from Senegal, Mali, and Niger, to Ethiopia, Somalia, Sudan, and northern Kenya west to Burkina Faso and northern Nigeria; reported from Chad by Brundu & Camarda (2013); also common across the Middle East to western Pakistan; growing in thickets, scrubland, and savanna; 0-1900 m.
"
wfo-0001027396,"Common throughout the highlands of western, central and eastern Africa, between ca. 15&deg;N and ca. 10&deg;S, sometimes found as far south as South Africa; usually a forest species but also found on hillsides, savannah, grassland, or wasteland, frequently near water; 600-1600 m elevation, although sometimes found at sea level.
"
wfo-0001026406,"Southern Africa, from southern Democratic Republic of the Congo to Angola, southern Tanzania, Zambia, and Zimbabwe; edges of roadsides, Brachystegia woodland, and grassland; 800-1600 m elevation.
"
wfo-0001029072,"In southern Africa from South Africa to Angola, Democratic Republic of the Congo, and Tanzania; dry grassland, woodland, and thickets; 500-2000 m.
"
wfo-0001029370,"Ethiopia and Eritrea, introduced elsewhere in the Americas and Asia; growing in scrub, grassland or open woodland on hillsides, locally common in wasteland and roadsides, on red soil, acidic soil, or limestone; 2100-2900 m elevation.
Solanum marginatum is also found around the world, most likely spread by man (Symon, 1981). It can be fairly common in high-nitrogen habitats around the major cities in the Andes (thought to have been spread from Persian rugs), and has also been reported from the Middle East, Canary Islands, and southern Australia (Symon, 1981). It was introduced to Europe as an ornamental from Palestine by 1775 (Walker, 1817).
"
wfo-0001027117,"Northeastern Africa with limited occurrence on the Arabian Peninsula; reported from Chad by Brundu & Camarda (2013); common weed of cultivations, grazed ground, roadsides, coastal plains, and savanna; usually on sand, silt or loam; 0-1700 m elevation.
"
wfo-0001028131,"Arabia and northeastern Africa, commonly collected in Yemen and Ethiopia; growing in open dry places, disturbed ground and roadsides, on limestone, silt, loam, or sand, 1200-2500 m elevation (a few Arabian collections from 400-600 m elevation).
"
wfo-0001029263,"Cultivated across tropical Africa; particularly common in western Africa, frequent in central and eastern Africa, occasional in southern Africa; also recorded in cultivation in Brazil, West Indies and Guadeloupe; not known in the wild.
"
wfo-0001030529,"Solanum polytrichostylum is a plant of Andean slopes from central Peru (Depts. Ancash, Apurímac, Ayacucho, Cajamarca, Cusco, Huancavelica, Junín, Lima, Pasco, Piura) and Bolivia (Depts. Cochabamba, La Paz). In Peru it has been collected both on the eastern and western slopes of the Andes. In wet forests and cloud forests (‘yungas’), often in marginal sites or landslides, from 2,000 to 4,000 m elevation."
wfo-0001020106,"Capsicum galapagoense is endemic to the Galápagos Archipelago of Ecuador (Islands of Bartolomé, Fernandina, Isabela, Santa Cruz, Santiago, Rabida and Pinta); grows in shade under shrubs or small trees in the arid lowlands to moist uplands of the islands (Pisonia, Scalesia or Croton forests); 15–900 m elevation."
wfo-0001027214,"Premontane and montane forests, 200-2000 m, S. Ecuador to SE Peru."
wfo-0001030751,Cultivated between 1000 and 2400 m in mountains of Colombia and Ecuador; recently introduced and becoming a successful weed in montane regions of Costa Rica and Panama.
wfo-0001026216,"Central and northern Argentina, with a few collections from Bolivia; 45–2000 m. Often cultivated and found escaped; Bolivian specimens are thought to be escapes from cultivation (Morton 1976); in many vegetation types, from chaco habitats to high elevation dry forests."
wfo-0001027265,"Solanum corymbosum occurs on the western slopes of the Andes in Peru (Depts. Amazonas, Ancash, Cajamarca, Huánuco, Lambayeque, La Libertad, Lima, Moquegua), and is naturalized in central Mexico (Hidalgo, Puebla and Zacatecas, ca. 2100-2450 m) and in Eastern Africa (Kenya and Ethiopia).
"
wfo-0001025749,"In northeastern Africa in Sudan, Eritrea and northern Ethiopia, around the Red Sea, also in the Arabian peninsula; growing in scrub and abandoned cultivation; 1700-3000 m elevation.
"
wfo-0001029246,"Endemic to Ethiopia, primarily in the highlands; growing in montane forest, forest edges, open spaces and steep slopes; 2100-3300 m elevation.
"
wfo-0001030447,"Native to Yemen and Saudi Arabia; widespread on the escarpment between 1500 and 2800 m from Turbah north to J. R?zih in Yemen (Wood 1997), but is otherwise difficult to find in the wild (Abdul Wali A. Al Khulaidi, pers. comm.), found on forest edges, hillsides, roadsides, and abandoned cultivation at 1500-2800 m altitude but more common between 2000-2500 m.
"
