Wfo,Conservation
wfo-0001030626,"Preliminary conservation status (IUCN 2016). Solanum pseudospinosum is a relatively narrow endemic with a relatively small AOO (48 km2, EN) and EOO (4,009 km2, EN). Based on this narrow distribution and the fragmented high elevation habitat, it is given a preliminary conservation status of EN (Endangered). Most collections are from the protected area of Mount Cameroon, and populations outside this national park will be vulnerable.
"
wfo-0001029498,"Preliminary conservation status (IUCN 2016). Solanum memphiticum is a widespread species with AOO of 320 km2 (EN) and EOO of 4,489,278 km2 (LC); considering the weedy nature of the species and the large EOO, we suggest a preliminary status of LC (Least Concern) for the species. Like other members of the group, it is a species of open, disturbed areas, but is less common than S. tarderemotum or S. villosum in eastern Africa.
"
wfo-0001030090,"Preliminary conservation status (IUCN 2016). Solanum opacum is a relatively widespread species across the Pacific; it can be assigned a preliminary status of LC (Least Concern) on a global scale, but local country assessments may differ. The species has a very scattered distribution in the Pacific, and although its overall range is very large, the land area it occupies is small.
"
wfo-0001028050,"Least Concern [LC]. EOO = 342,557 km2 [LC]; AOO = 168 km2 [EN]; calculated using South American distribution only and excluding the Juan Fernández Islands. Solanum furcatum has a relatively large range in Chile and adjacent Argentina and is a plant of disturbed areas. It occurs within several Chilean protected areas and in Parque Nacional Bariloche (Argentina). The populations on the Juan Fernández Islands are within the Juan Fernández Archipelago National Park (Chile).
"
wfo-0001029932,"Least Concern [LC]. EOO = 188,100,484 km2 [LC]; AOO = 1,824 km2 [EN]; calculated on the global range. Solanum nitidibaccatum is widespread and weedy throughout its range.
"
wfo-0001030827,"Preliminary conservation status (IUCN 2016). Solanum retroflexum is widespread and can be assigned a preliminary status of LC (Least Concern). Taking into account only collections from within the native range in Africa, the EOO is still very large (2,929,097 km2) and the assessment does not change.
"
wfo-0001032383,"Preliminary conservation status (IUCN 2016). Solanum villosum is a very widespread species and can be assigned a preliminary status of LC (Least Concern).
"
wfo-0001031661,"Preliminary conservation status (IUCN 2016). Solanum tarderemotum is widespread across tropical Africa and can be assigned a preliminary status of LC (Least Concern).
"
wfo-0001025878,"Preliminary conservation status (IUCN 2016). Solanum americanum is an extremely widespread cosmopolitan weed, and can be assessed as LC (Least Concern).
"
wfo-0001032187,"Preliminary conservation status (IUCN 2016). Solanum umalilaense is known mostly from cultivation in the southern part of Tanzania; based on its range (EOO = 2,559 km2; EN) and the number of populations (AOO = 32 km2) it would be assigned a preliminary conservation status of EN (Endangered), but might be better considered DD (Data Deficient). It is protected by local people, and its range is poorly known.
"
wfo-0001028423,"Preliminary conservation status (IUCN 2016). Solanum hirtulum is a country-restricted endemic with AOO of 48 km2 (EN) and EOO of 49,487 km2 (LC). The species is known from a small number of records, and it could be that the lack of collections reflects small population sizes and/or local rarity. From the EOO measure it would be assessed as LC (Least Concern), but since it is a single-country endemic it merits some attention, and we assign the species as NT (Near Threatened). The high mountains where it grows are at threat from grazing and human disturbance, but S. hirtulum, like other members of this group is a species of open, disturbed areas. The Simien Mountains have protected status as both a World Heritage Site and as a National Park in Ethiopia.
"
wfo-0001031853,"Least Concern [LC]. EOO = 92,225,775 km2 [LC]; AOO = 3,708 km2 [EN]; calculated on global range. Solanum triflorum is weedy and common where it occurs. In Patagonia it is common along roads and in highly disturbed sites."
wfo-0001030176,"Least Concern [LC]. EOO = 1,008,132 km2 [LC]; AOO = 468 km2 [EN]; calculated excluding adventive Australian range. Solanum palitans is a widespread species in its native range. It grows in open disturbed areas and has been collected in at least one protected area in Argentina (e.g., Parque Nacional Calilegua).
"
wfo-0001030315,"Least Concern [LC]. EOO = 190,050 km2 [LC]; AOO = 228 km2 [EN]. Solanum pentlandii has a wide distribution, is a plant of disturbed areas and is common around the protected archaeological sites in the Sacred Valley near Cusco, Peru."
wfo-1200007610,"Lycianthes scandens var. flavicans is a widespread variety of western Mexico and Central America, represented by 111 collections and occurring in four protected areas. The EOO is 1,500,273.062 km2, and the AOO is 408 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001022223,"Lycianthes armentalis is a widespread species ranging from southeastern Mexico to Belize represented by 116 collections and occurring in seven protected areas; unfortunately, the habitat of this species is vulnerable. The EOO is 122,903.444 km2 (LC) and AOO is 404 km2 (EN). Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001020127,"EOO (32,802.812 km2); AOO (136 km2). Although C. hookerianum has a relatively large extent of occurrence and is found in many localities, some of them protected areas, we observed a continued decline in the area of occupancy outside of official natural reserves; for these reasons, we assign a category of Near Threatened (NT)."
wfo-0001027276,"Based on IUCN Red List Categories (IUCN 2011), Solanum cowiei is considered Data Deficient (DD). The species is relatively widespread, occurring over a geographic range of over 800 km, but it has been collected in fewer than 10 localities. The small number of collections, coupled with the fact that populations outside of Litchfield National Park were only confirmed within the last several years, suggest that the species is common in some localities but uncommon on the regional and global scales. The clonal nature of the species is worth considering, as populations of Solanum cowiei often appear to be large multi-stemmed genets connected by an underground network of stolons. Because the species is dioecious, individual genets cannot self-fertilize, leading to the potential for reproductively isolated clonal individuals. Further data are required before a certain conservation status can be determined. Key populations are protected in Litchfield, Limmen and Keep River National Parks and appear secure given current fire management regimes.
"
wfo-0001345395,"Based on IUCN Red List Categories (IUCN 2011), S. ossicruentum is considered Data Deficient (DD). While the species appears to be relatively widespread over a range of approximately 90,000 km2, its range is not comprehensively understood. A relatively small number of collections, coupled with the fact that populations often consist of multiple individuals, suggest that the species is common in some localities but uncommon on the regional and global scales. Further data are required before a certain conservation status can be determined. Like other dioecious species of clonal nature, “populations” of S. ossicruentum have the potential to represent large multi-stemmed genets connected by an underground network of stolons (e.g. Martine et al. 2013). Given that individual genets in dioecious taxa cannot self-fertilize, clonal individuals have particular potential to be reproductively isolated. Recent observations of a small unisexual population by CTM in the Carr Boyd Ranges (just north of Lake Argyle) found that numerous female flowers had bloomed and senesced, ostensibly for lack of nearby male individuals and/or effective pollinators, and preliminary results from a population genetics study (Cantley et al. in prep) show low levels of genetic diversity for the species in Mirima National Park – a surprising outcome given that dioecious taxa are obligate outcrossers."
wfo-0001030768,"Least Concern [LC]. EOO = 2,210,753 km2 [LC]; AOO = 484 km2 [EN]. Solanum radicans is widely distributed and is often found in conjunction with people (in villages and along roadsides and streams). It has been collected around protected archaeological sites in Cusco (Peru)."
wfo-0001029662,"Solanum moxosense is known from five collections, three of which have geographical coordinates. All were made in or very near the town of Trinidad, and none are from protected areas. Thus, all of the material known for the species likely represents a single location and population with a highly restricted extent of occurrence of 4.5 km<sup>2</sup> and area of occupancy of 12 km<sup>2</sup>. Solanum moxosense is assigned a preliminary conservation status of &quot;critically endangered&quot; [CR B1ab(i,ii,iii,v)].
"
wfo-0001347008,"Least Concern [LC]. EOO = 1,008,132 km2 [LC]; AOO = 468 km2 [EN]. Collection densities in the Chaco remain low, and S. michaelis is likely to be highly vulnerable to grazing pressure and changes in rainfall patterns due to its ephemeral ecology as an annual plant and its threatened habitat. Two populations are known to occur within the protected area network in Bolivia (e.g., Parque Nacional de Gran Chaco Kaa-lya along the border with Paraguay, and Parque Nacional de Serranía del Aguaragüe)."
wfo-0001347009,"Least Concern [LC]. EOO = 122,138 km2 [LC]; AOO = 64 km2 [EN]. Recent collections from Argentina have revealed the species to be more widely distributed than previously thought but is rare where it occurs. No occurrences are known within protected areas thus far."
wfo-0001429804,"Solanum medusae is classified as endangered (EN-B1, B2+bii, iii, ciii, iv) according to the IUCN Red List Categories, based on its relatively restricted extent of occurrence (EOO = 2,146 km2 < 5,000 km2) and area of occupancy (AOO = 80 km2 < 500 km2). In addition to its restricted distribution, threats posed by the ongoing agricultural and urban expansion in the region of the Serra da Canastra are high; in this area native Cerrado vegetation has already been replaced by agricultural monocultures (e.g., sugarcane, soybean and coffee) and pastures. The high frequency of non-natural fires in areas of native vegetation also poses a considerable risk. The presence of S. medusae in some areas of the Parque Nacional da Serra da Canastra is encouraging, but not enough to eliminate important risks, such as the loss of genetic diversity."
wfo-0001029125,"Least Concern [LC]. EOO = 1,008,132 km2 [LC]; AOO = 468 km2 [EN]. Solanum longifilamentum, since its recognition at the species level, has been shown to have a much wider distribution than originally thought by Särkinen et al. (2015c). Many recent collections exist, indicating that populations are not in decline and, as are most members of the Morelloid clade, S. longifilamentum is a weedy plant of disturbed areas.
"
wfo-0001026241,"Solanum anomalostemon is known from only a few collections, all collected within 20 km of each other in the Río Apurímac drainage. The species had not been collected for more than half a century until its recent rediscovery in Cusco Department, on the other side of the Apurímac. The dry forests in which it occurs are not widely protected in Peru, and S. anomalostemon does not occur in or near any of the Peruvian network of protected areas(<a href=""http://www.inrena.gob.pe"">INRENA</a>). Solanum anomalostemon can be added to the list of endemic Peruvian solanums, and using the IUCN Red List criteria (IUCN, 2001) it has been given a preliminary conservation status of Endangered (EN B1a[iii], B2a) based on its restricted distribution (extent of occurrence , 5000 km<sup>2</sup>, area of occupancy , 100 km<sup>2</sup>), low number of populations (2-3), and threatened and unprotected habitat.
"
wfo-0001031897,"Preliminary conservation status (IUCN 2014). Vulnerable (VU B1a, biii). EOO 19,845 km2 (VU), AOO 56 km2 (EN). Although Solanum truncicola has been been consistently but sparsely recorded over a coherent stretch of the eastern Malagasy rainforest from Toamasina in the northernmost part of its distribution range to the Ambalavao area in the southernmost part, the highly fragmented nature of these eastern forest habitats gives cause for conservation concern.
"
wfo-0001022467,"EOO (26,990,176 km2 - LC); AOO (1,684 km2 - VU). Lycianthes parasitica is a species known from more than five localities and is relatively widely distributed in the region, though as an epiphyte is rarely collected. Throughout the range it is known from protected areas (e.g., Mount Kinabalu and the Sepilok Forest Reserve, Sabah, Malaysia; Sohoton National Park on Samar Island in the Philippines). The assessment of Vulnerable (VU) based on AOO is likely due to collecting bias, but also due to the island nature of the distribution. I therefore assign it a preliminary status of Least Concern (LC)."
wfo-0001020201,"EOO (7,150,643 km2); AOO (536 km2). Capsicum pubescens is a widespread cultivated species across the Americas and can be assigned the Least Concern (LC) status."
wfo-0001029464,"(IUCN 2019). Solanum melongena is known primarily from cultivation, and as such we have not assigned it a threat status using the IUCN criteria."
wfo-0001028672,"(IUCN 2019). Least Concern (LC). EOO (10,914,652 km2, LC); AOO (1,052 km2, VU). Solanum insanum is a widespread weedy species of disturbed areas and agricultural margins. It was not considered of conservation concern in an assessment of eggplant wild relatives (Syfert et al. 2016)."
wfo-0001030529,"Least Concern [LC]. EOO = 432,164 km2 [LC]; AOO = 244 km2 [EN]. Solanum polytrichostylum is widely distributed and is a plant of disturbed areas wherever it occurs. It is found within the World Heritage Site of Machu Picchu (Peru) and is common among protected archaeological sites in the Sacred Valley of Cusco (e.g., Ollantaytambo [Ullantaytampu], Pisac)."
wfo-0001020106,"EOO (ca. 8000 km2); AOO (56 km2). Based on the number of locations and the area of occupancy, these suggest an Endangered (EN; B2ab(iii)) category for Capsicum galapagoense. The threats in the Galápagos, such as land-use activities, introduced alien plants in the inhabited islands and the population explosion of goats and pigs in the uninhabited ones (e.g. Islas Bartolomé, Fernandina or Rabida), have caused serious ecological problems that need to be addressed urgently to protect the rare and endemic species of the islands (Adsersen 1989)."
wfo-0001026216,"Least Concern (LC); EOO >50,000 km2 (LC) and AOO >5,000 km2 (LC). See Moat (2007) for explanation of measurements."
wfo-0001027265,"Least Concern [LC]. EOO = 338,062 km2 [LC]; AOO = 240 km2 [EN]; calculated using South American distribution only. Solanum corymbosum has a disjunct distribution in Peru and Mexico; in its native range in Peru the species is quite widely distributed, but in Mexico potential morphological differences from Peruvian populations suggests it could be of conservation concern in its introduced range (Knapp et al. 2019). In Peru it occurs in several protected areas (e.g., Reserva Nacional Calipuy and the lower elevations of Parque Nacional Huascarán)."
wfo-0001027742,Widespread. Not considered at risk.
wfo-0001028014,Solanum forskalii has been formally assessed as least concern (LC; https://www.iucnredlist.org/species/101526207/101526210).
wfo-0001030125,"The conservation status of Solanum junctum, according to the IUCN Red List Categories (IUCN, 2010) is Least Concern due to the large extent of occurrence (~99, 000 km<sup>2</sup>) and numerous collections (Bachman et al. 2011).
"
wfo-0001020071,"EOO (738,784.034 km2); AOO (452 km2). Capsicum dimorphum is a widespread Andean species in northern South America; considering the large EOO and its presence in officially protected areas in Colombia, Ecuador and Peru, we suggest a status of Least Concern (LC)."
wfo-0001028294,"IUCN, 2001: Endangered (EN B1ab(iii,iv,v)+2ab(iii,iv,v); C1). Currently listed as “Rare” under the Queensland Nature Conservation Act, 1992. Solanum hamulosum was considered a weed of secondary regrowth during the 1930’s and 1940’s, when the rainforests of the Atherton Tableland were being cleared, and was called ‘Dirran Curse’. Now, little of the original habitat remains, and the species is exceedingly difficult to locate. The rainforest edges (the most likely habitat) are usually swathed in Lantana camara."
wfo-0001027585,"Currently listed as “Rare” under the Queensland Nature Conservation Act, 1992. The extent of occurrence is small, but the species is not considered at risk."
wfo-0001032594,"Least Concern [LC]. EOO = 144,608 km2 [LC]; AOO = 108 km2 [EN]. Solanum zuloagae is a plant of roadsides and disturbed areas and occurs over a relatively wide range. The small AOO may be a result of collecting deficit but bears consideration. It has been found within protected areas in Argentina (e.g., Yungas Biosphere Reserve, Parque Nacional Baritú) and in the region of Parque Nacional Carrasco in Bolivia."
wfo-0001028971,"(IUCN 2019). Least Concern (LC). EOO (6,950,615 km2, LC); AOO (1,032 km2, VU). As a cultivated plant, the true wild distribution of S. lasiocarpum is difficult to assess. As a weedy ruderal species, however, we suggest it is not of immediate conservation concern."
wfo-0001429742,"Solanum plastisexum is known from only two to three extant populations, each consisting of a few dozen individuals (with some likelihood of clonality) and two historical (pre-2000) collections. The currently-known distribution of the species is not under conservation protection, but one of the populations appears to have been stable since at least the 1970s. When evaluated using the IUCN Red List Categories and Criteria for extinction risk (IUCN 2012), S. plastisexum falls into the Vulnerable (VU) category under Criterion B (B1ab(iii)+2ab(iii)). The VU designation is the lowest of three threatened categories, but indicates the taxon still faces a high risk of extinction in the wild. It has an Area of Occupancy that is likely much less than < 20 km2 and an Extent of Occurrence < 5 km2, as calculated using the geocat.kew.org online tool. There are fewer than 10 known locations that are possibly fragmented and a decline in overall habitat quality is likely, given population localities along a road."
wfo-0001028475,"Least Concern [LC]. EOO = 80,000 km2 [LC]; AOO = 92 km2 [EN]. Solanum huayavillense is relatively common where it is found in at least two protected areas in Argentina (Parque Nacional Baritú and Parque Nacional Calilegua)."
wfo-0001028444,"(IUCN 2016). Endangered/Critically Endangered (EN/CR). EOO = 273 km2 (EN- Endangered); AOO = 12 km2 (EN – Endangered). Solanum homalospermum might best be considered CR (Critically Endangered) because the EOO and AOO measures are at the low end of the EN scale (IUCN 2016). It is known only known from two localities (see Specimens examined) and despite repeated recent searches by F. Chiarini and colleagues, has not been found since its first description."
wfo-0001029657,"(IUCN 2016). EN (Endangered). EOO = 1,115 km2 (EN – Endangered); AOO = 32 km2 (EN – Endangered). Solanum mortonii has a very narrow distribution along the Sierra de Ambato and is not common where it occurs. It does, however, appear to reproduce vegetatively through underground stems, so may persist well within this narrow range."
wfo-0001027050,"Solanum chrysotrichum is of limited distribution in teh Old World where it was relatively recently introduced, but has been classified as a naturalized exotic in South Africa (SANBI 2011); it was introduced as a shade tree (via Asia, but is native to Central America (Nee 1999)."
wfo-0001031793,"(IUCN 2019). Least Concern (LC). EOO (2,372,285 km2, LC); AOO (212 km2, EN). As a specialist of disturbed areas with a wide distribution when the island of New Guinea is taken into account, S. torvoideum is not of conservation concern."
wfo-0001028896,"EOO = 51 km2 [CR – Critically Endangered]; AOO = 12 km2 [EN – Endangered]. We assess Solanum labyrinthinum as EN (Endangered) using IUCN Criteria B1a,b, due to its restricted distribution, its primary forest habitat and lack of recent collections indicating population decline. Although it is found both on New Guinea and in the Solomon Islands, the destruction of lowland forest habitat in coastal areas suggests conservation concern."
wfo-0001030625,"(IUCN 2019). Least Concern (LC). EOO (2,387,194 km2, LC); AOO (160 km2, EN). Solanum pseudosaponaceum is widely distributed across tropical Asia, and where it occurs apparently grows in large populations at forest edges and other disturbed habitats."
wfo-0001028109,(IUCN 2019). Solanum giganteum has been formally assessed as LC (Least Concern) due to its wide range and weedy nature and is so listed on the IUCN Red List (Botanic Gardens Conservation International (BGCI) and IUCN SSC Global Tree Specialist Group 2020).
wfo-0001429810,"(IUCN 2019). Vulnerable (VU [B1,2a,bi,ii,]. EOO (10,013 km2, VU); AOO (44 km2, EN). Solanum peikuoense is a single island endemic with a small extent of occurrence. It is found in at least one protected area (Dawushan National Park), so is likely to be protected in the future."
wfo-0001026790,"Least Concern (LC); a widespread, semi-invasive weed. Further investigation of ploidy differentiation may reveal populations worthy of protection (<a href=""http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0057039"">Knapp et al. 2013</a>).
"
wfo-0001028404,"(IUCN 2016). LC (Least Concern). EOO 315,043 km2 (LC – Least Concern); AOO 544 km2 (VU- Vulnerable). Solanum hindsianum is widespread throughout Baja California and along the coast of the Gulf of California, and although it is habitat restricted, it appears to be common where it occurs."
wfo-0001026208,"Least Concern (LC); a widespread and weedy species.
"
wfo-0001032413,"(IUCN 2019). Least Concern (LC). EOO (10,078,363 km2, LC); AOO (988 km2, VU). Solanum violaceum is one of the most widely distributed spiny solanums of tropical Asia and grows in a wide variety of disturbed habitats, often as large populations of individuals."
wfo-0001029685,"(IUCN 2019). Least Concern (LC). EOO (669,122 km2, LC); AOO (324 km2, EN). Solanum multiflorum is a species of disturbed habitats in southern India, with many recent collections. It is not of particular conservation concern."
wfo-0001029802,"(IUCN 2019). Near Threatened (LC). EOO (64,999 km2, LC); AOO (72 km2, EN). Solanum nienkui is a plant of dry forests, often considered less valuable than wetter habitats and thus more often subject to anthropogenic change. Given the relatively small areas in which the species occurs and the potential habitat alteration, we have assigned a preliminary status indicating some threat."
wfo-0001030881,"(IUCN 2019). Endangered (EN [B1,2abii,iii]). EOO (610 km2, EN); AOO (20 km2, EN). Solanum robinsonii has a narrow distribution and grows in coastal forests that are subject to much anthropogenic disturbance. The species is of concern due to extreme habitat alteration (Wikramanayake et al. 2002)."
wfo-0001020196,"EOO (271,639.782 km2); AOO (92 km2). Capsicum pereirae has a relatively large extent of occurrence and is found in more than 10 localities, the majority of them in protected areas (Bahia: RPPN Palmeira, PN de Boa Nova; Espírito Santo: Estação Biológica de Santa Lúcia; Mina Gerais: APA Felício, Parque Estadual do Ibitipoca and RPPN Loredano Aleixo). For these reasons, we assign the preliminary LC category. However, subpopulations outside conservation areas within the Atlantic Forest may be threatened."
wfo-0001429794,"EOO (483.4 km2); AOO (32 km2). Capsicum carassense is considered Endangered (EN, B1ab(iii,iv)). We suggest this because of its very restricted geographic distribution, as well as the increasingly degraded habitat quality, especially associated with the extensive iron mining activities in the region. "
wfo-0001020214,"EOO (288,689.164 km2); AOO (380 km2). Capsicum recurvatum occupies a large range along the Serra do Mar and is very frequent in many conservation units. Based on these criteria and the number of locations, we consider this species in the Least Concern (LC) category."
wfo-0001032271,"(IUCN 2019). Least Concern (LC). EOO (75,338 km2, LC); AOO (76 km2, EN). Solanum vagum is found both in southern India and Sri Lanka, and where it occurs it is a plant of open, disturbed areas, suggesting that it is not of immediate conservation concern."
wfo-0001020039,"EOO (3,612.392 km2); AOO (32 km2). Capsicum ceratocalyx is an endemic with relatively small EOO and AOO from the montane forests of the Bolivian Yungas, an ecoregion that deserves urgent special conservation efforts (Mueller et al. 2002). The few collections (9) come from unprotected areas and the populations are threatened by expanding agriculture. For these reasons, it is assigned a status of Endangered (EN; B1ab(iii,iv))."
wfo-0001020089,"EOO (123.163 km2); AOO (24 km2). Capsicum friburgense grows in two forested areas that have been set aside as Environmental Protection Areas in Rio de Janeiro, the APA do Caledônia (Maciço da Caledônia) and the Parque Estadual dos Três Picos. It has a small population (< 250 mature individuals) with not more than 10 subpopulations per site. Observers are seeing a continuing decline of subpopulations size, due to serious environmental pressures caused by deforestation, development and changes in hydrology. In recent years, these protected areas faced important natural disasters, including forest fires (2007, 2011 and 2019), great floods and mudslides (2011, see Rosi et al. 2019), all of which caused a loss of biodiversity. Due to all these factors, we assign C. friburgense the threat status of Critically Endangered (CR; C2a(i))."
wfo-0001020020,"EOO (6,070,048 km2); AOO (64 km2). Capsicum baccatum var. umbilicatum is a cultigen in the Least Concern (LC) category."
wfo-0001020219,"EOO (148,467.320 km2); AOO (216 km2). Capsicum schottianum is distributed mainly along the Serra do Mar system (Serra da Carioca, Serra da Bocaina, Serra do Paranapiacaba, Serra dos Órgãos and others) and is very frequent in many conservation units. Considering the large extent of occurrence, the high number of locations in Natural Reserves and the large population size with many highly reproductive individuals, we suggest a Least Concern (LC) category for this species."
wfo-0001020188,"EOO (4,493,957.435 km2); AOO (228 km2). Capsicum parvifolium is under threat in its fragmented habitat. Although in Brazil it is common, its habitat is restricted to the Caatinga, the least protected of all the major ecoregions in the country (Fonseca et al. 2017; Silva et al. 2019). The species is more seriously threatened along the coast of Colombia, since only four records, which all date from the early 1900s, exist from areas that are currently highly urbanised (the cities of Santa Marta and Barranquillas). Few collections are known (13) in Venezuela and none of them is from protected areas. Considering the severely-fragmented habitat (Antongiovanni et al. 2018) and the projected decline of the area of occupancy by the impact of climate change (Silva et al. 2019), we assign a threat status of Vulnerable (VU; B2ab(iii) for C. parvifolium."
wfo-1000020807,EOO (10.195 km2); AOO (8 km2). Capsicum piuranum has a very restricted distribution (EOO and AOO) and a small population size (< 250 individuals). This species is proposed as Critically Endangered (CR; C2a(i)) because of the inferred continuing decline in the number of mature individuals in each subpopulation (< 50).
wfo-0001020028,"EOO (14,005.388 km2); AOO (84 km2). Capsicum caballeroi grows mostly in the cloud forest of the Amboró National Park and peripheral areas where the population consists of few individuals; although found in a relatively large geographical area, we observed a severe decline of both the EOO and the AOO of this species due to the continuing indiscriminate deforestation occurring in the last years; in this way, we consider C. caballeroi under threat and assign the Vulnerable category (VU; B1ab(ii,iii))."
wfo-0001020018,"EOO (11,296,813 km2); AOO (356 km2). Capsicum baccatum var. pendulum is a very widespread cultivated plant and can be assigned a category of Least Concern (LC)."
wfo-0001020017,"EOO (11,809,545.422 km2); AOO (1,212 km2). Capsicum baccatum var. baccatum is considered Least Concern (LC)."
wfo-0001020212,"EOO (2,746,764 km2); AOO (404 km2). Capsicum rabenii is well-adapted to different environments including highly disturbed anthropogenic areas and is easily cultivated in farms, which suggest that it is not under threat. This species is proposed as Least Concern (LC)."
wfo-0001020174,"EOO (190,248.624 km2); AOO (224 km2). Based on the large extent of occurrence, as well the many collections made in several protected areas (Parque Nacional Serra das Lontras, PN do Caparaó, Parque Estadual Serra do Brigadeiro, PN Itatiaia, Parque Estadual Pico do Itacolomi, Reserva Florestal Uaimi, Parque Estadual Três Picos, PN da Serra dos Órgãos, Parque Estadual Maciço da Pedra Branca, Estação Biológica de Boracéia and PN Serra do Bocaina), we assign Capsicum mirabile the Least Concern (LC) category. Subpopulations are not rare in the interior of forests, but this species could be at risk due to the fragmentation and loss of its primary forest habitat outside the legal conservation units."
wfo-1000050012,"EOO (15.520 km2); AOO (16 km2). Capsicum muticum is one of the rarest species. The few collections are mostly historical, date from the early 1800s to 1900s and have imprecise locations for the Serra dos Órgãos (Rio de Janeiro). The species was rediscovered in 1986 in Alto da Serra (Petropolis) and gathered several times at the same location. In this site, Capsicum muticum is severely threatened since a progressive decline of the habitat has been observed due to anthropogenic disturbance and serious deforestation of the area. Based on the extent of occurrence, the advanced fragmentation, loss of habitat and the few known records for C. muticum, we assign this species a threat status of Critically Endangered (CR; B1ab(iii,iv))."
wfo-0001020257,"EOO (216,703.381 km2); AOO (172 km2). Capsicum villosum is relatively widespread in the Brazilian Atlantic Forest and occurs in several reserves or in restored and recuperating forests of this system. Although C. villosum has a large EOO and occurs in a number of locations, we assign the Near Threatened (NT) category, since the pressure on this ecosystem continues due to the illegal extraction of the forests and its replacement by other land uses which may adversely affect some subpopulations."
wfo-0001020062,"EOO (17,682.480 km2); AOO (72 km2). Capsicum cornutum occurs exclusively in the Brazilian Atlantic Forest, one of the world’s biological diversity hotspots that is increasingly threatened by the rapid destruction (deforestation) and fragmentation of its natural areas. This species inhabits the Serra do Mar, in much reduced subpopulations mainly in officially protected areas, such as Parque Nacional do Itatiaia and APA-Cairuçu (Rio de Janeiro), Parque Estadual da Serra do Mar and Reserva Biológica do Alto da Serra de Paranapiacaba (São Paulo). Based on the EOO, the continuing decline observed in the quality of its habitat outside of the natural reserves and decline in number of locations, we assign the threat status of Vulnerable (VU; B1ab(iii,iv))."
wfo-0001020081,"EOO (278,222.889 km2); AOO (396 km2). Capsicum eximium is found over a large extent of occupancy from northern Bolivia to northern Argentina and is common in the inter-Andean valleys. We suggest the status of Least Concern (LC). It is a species of open areas, forming small populations and is sometimes cultivated on farms for self-consumption of the fruits."
