taxonID,description,type,source,language, 
wfo-0000726843,"A small, much branched, unarmed procumbent herb with upto 30 cm long branches rooting at the nodes and pubescent near apex. Leaves opposite, subsessile, oblong-ovate, 1-3.5 cm x 4-10 mm, mostly glabrous or puberulous, margins entire, ± obtuse at the apex. Flowers white to pale-blue or violet, c. 8 mm long, in axillary and terminal, up to 8 cm long spikes; bracts broadly elliptic, subacute; bracteoles linear, 4-5 mm long, pubescent. Calyx 5-lobed to the middle, lobes linear, c. 2 mm long, hairy, scarious-ciliate on margins, acute. Corolla pubescent, tube c. 3 mm long, limb 2-lipped, upper lip 2-lobed, patent, lower lip shortly 3-lobed. Stamens 2 fertile and 2 staminodial, anthers oblong, ± divaricate basally. Ovary oblong, many-ovuled, hairy at tip; style filiform, c. 5 mm long. Capsule narrowly oblong, glabrous except the tip, more than 15-seeded. Seeds minute, ± orbicular.",general,ref_wfo-0000726843,English,100051
wfo-0000402029,"An erect to spreading, perennial, up to 1 m tall, almost glabrous undershrub. Leaves sessile, linear or linear-oblong, 6-30 cm x 5-16 mm, whithish veined above, long attenuate, entire or somewhat undulate, acute. Flowers blue-violet, in lax, terminal, leafy corymbiform panicle; bracts linear, 1-2 cm long, acute; bracteoles absent. Pedicel up to 1.5 cm long. Calyx 5-lobed, lobes linear, 5-6 mm long. Corolla glabrous externally, tube 2-2.5 cm. long, cylindrical below, expanded above, the limb lobes spreading, 1-1.5 cm long, rounded, somewhat crenate. Stamens included, filaments glabrous, anthers oblong, c. 3 mm long. Style filiform, c. 2 cm long, included, stigma slightly bent. Capsule ellipsoid, compressed, 1.8-2 cm long, glabrous, apically pointed, 12-14-seeded. Seeds orbicular, c. 2.5 mm across, brown.",general,ref_wfo-0000402029,English,100094
wfo-0000514024,"Trees, up to 25 m tall, deciduous. Bark canescent or pale brown. Twigs red-brown, glabrous, peppered with callous dots. Flower buds large, prominent in dormant season. Leaves 8-20 cm across, palmately 3-5-lobed; basal lobes small, nerves 3-5, each penninerved, thinly pubescent to glabrescent except in the axils beneath; petioles 5-15 cm long, stout. Inflorescence terminal, corymbose, puberulous. Flowers 5-merous, 5 mm across, yellow-green. Sepals obovate, 3-4 mm long, Petals shorter than the sepals. Stamens 8, inserted inside the disc, glabrous. Ovary pubescent; styles connate halfway. Samaras 3-5 cm long, glabrous; wings erect to connivent; nutlets gibbous, dark brown.",general,ref_wfo-0000514024,English,200123
wfo-0000514841,"A small tree or shrub, deciduous, dark brownish-grey, smooth. Twigs glabrous, grey or reddish. Leaves 4-15 cm across, 3-lobed; lobes triangular, grey-green above, pale green beneath; margins crenate-serrate to subentire; base truncate, subcordate or rounded, glabrescent except nerve axils, pubescent beneath; petioles 3-10 cm long, slender. Inflorescence corymbose, glabrous. Flowers 5-merous, 7-8 mm across, greenish. Sepals obovate, 3-4 mm long. Petals smaller. Stamens 8, inserted at margin of disc. Ovary glabrous; styles connate to top. Samaras glabrous, 2-3 cm long; wings divergent to connivent; nutlets gibbous.",general,ref_wfo-0000514841,English,200127
wfo-0000020781,"Annual up to 35 cm long. Stem glabrous to sparsely pubescent. Leaves sub-orbiculate to obovate, 1.5-2.6 cm long, 0.6-2.5 cm broad, obtuse or acute; petiole 4-11 mm long, papillose to glabrous, base dilated, clasping, calyculate, with 2 lateral stipular appendages. Flowers axillary solitary, sessile. Calyx tube closely sheathed by the leaf base; sepals 5, oblong, 2.5-3.0 mm long, shortly aristate. Stamens 10-15, unequal, filaments 1.5-2.2 mm long. Ovary c. 2 mm long, more or less conical; style 1, linear, 1.5-2.0 mm long, persistent. Pyxidium c. 4 mm long; amphora 4-5-seeded, lid 2.5-3.0 mm broad. Seeds c. 2 mm broad, black, rugose.",general,ref_wfo-0000020781,English,700006
wfo-0000703708,"Annual procumbent herb up to 40 cm long, with stellate woolly parts. Leaves sub-verticillate, 0.6-2.0 cm long, 0.5-1.8 cm broad, orbiculate or more or less cuneate, often mucronate; petiole 2-8 mm long. Flowers in axillary clusters of 5(-6), sub-sessile; pedicel up to 1.5 mm long. Sepals 4-4.5mm long, up to 7 mm in fruit, persistent, ovate to ovate-oblong, apiculate, imbricate. Fertile stamens 12; filaments 2-3.5 mm long, unequal, persistent; anthers less than 1 mm long, bilobed. Ovary c. 2 mm long, ovoid. Stigmas 5 (4), linear, c. 1 mm long, persistent. Capsule sub-globose or oblong, c. 6 mm long, membranous, enclosed in the sepals. Seeds many, less than 1 mm long, tuberculate, strophiolate, with a curved linear appendage c. 3/4 the size of the seed.",general,ref_wfo-0000703708,English,700231
wfo-0000619977,"Branches rigid, often reddish. Leaves attenuate, elliptic ovate to obovate, 1.5-4.0 cm long, 0.7-2.6 cm broad, mucronate, fleshy; petiole up to 7 mm long. Cymes up to 10 cm long. Bracts lanceolate, membranous. Flowers c. 5 mm broad. Sepals ovate, 4 mm long, margin white. Petaloid staminodes c. 2.5 mm long, oblong ovate, adnate; filaments 1-2 mm long. Ovary c. 1.5 mm broad, globose; styles 5, as long as or longer than the ovary, linear, deciduous. Capsule papery, 5-6 mm broad, dehiscing by 5 valves; valves ovate. Seeds c. 1 1 mm long, compressed, rugose, shiny black, strophiolate.",general,ref_wfo-0000619977,English,700287
wfo-0000400882,"A much branched, prostrate to procumbent, herb with long internodes, twigs 4-angled, up to 50 cm long (pubescent when young). Leaves with 6-18 mm long hairy petiole; Lamina ovate-elliptic to deltoid, 1.5-7.5 x 1.2-4.5 sparsely hairy to almost glabrous, entire, ± acute at the apex. Flowers pale-purple to violete, 2.5-3 cm long, solitary axillary; bracteoles leafy, elliptic, 8-10 mm x 4-5 mm. Calyx lobes linear-subulate, 6-7 mm long ciliate, acute. Corolla sparsely hairy outside, tube infundibuliform, 1.5-2 cm long, limb lobes semi-orbicular, 1-1.5 cm x 8-10 mm, rounded. Staminal filaments glabrous, anthers oblong, c. 2.5 mm long. Ovary oblong, c. 3 mm pubescent; style up to 2 cm long, hairy. Capsule oblong, 1.8-2 cm long, hairy, 16-20-seeded. Seeds flat, orbicular, 3-4 mm across, marginally hairy.",general,ref_wfo-0000400882,English,100096
wfo-0000354592,"A much branched, basally ± woody, 30-50 cm tall herb with striate, ± quadrangular, sparsely hairy twigs. Leaves with 4-10 mm long petioles; lamina elliptic-lanceolate, 2-4 x 1-2 cm, entire, glabrescent on vein and margin, base and apex ± acute, cystoliths irregularly scattered, lineolate. Inflorescene terminal or axillary, erect up to 6 (-12) cm long, narrow spike. Flowers small, c. 6-8 mm long pink or pale-purple; bracts ovate, c. 2-3 mm long, glabrous, acute-acuminate with scarious margins; bracteoles shorter than calyx lobes. Calyx 4-lobed to near the base, lobes lanceolate, 3-3.5 mm long, ± equal margins glabrous, scarious, acute. Corolla 5-6 mm long, slightly hairy outside, tube c. 3.5 mm long, upper lip c. 2 mm long, emarginate, lower lip broad, c. 4.5 mm long, 3-lobed. Staminal filaments c. 2 mm long. Ovary glabrous with filiform, c. 3 mm long hairy style. Capsule oblong, c. 4-5 mm long, glabrous. Seeds ovate, minutely papillate.",general,ref_wfo-0000354592,English,101691
wfo-0000566595,"Perennial, greyish-pubescent to glabrescent, up to 30 cm tall, basally branched herb. Leaves with up to 1.2 cm long petiole; lamina coriaceous, oblong to lanceolate, 2-6 x 0.8-2 cm, margins entire to remotely spinulose, puberulous above, apex spine tipped, evanescent. Inflorescence a dense, strobilate spike. Flowers purplish-blue, fading to white, 1.5-2 cm long; bracts 4-rowed, ovate, 3-5 cm long, hairy on both sides, patent, apex long-acuminate with a sharp, 1.5-3.5 cm long spine at tip, margins with 3-5 pairs of lateral spines; bracteoles linear-subulate, 1-1.5 cm long, villose. Calyx scarious, ± membranous, soft hairy, 4-lobed, lobes unequal, upper lobe longest, 2-3-lobed, lateral small. Corolla tube short, c. 5 mm long, upper lip absent, lower lip flat with 3 obtuse lobes, puberulous. Capsule compressed-ovate, 6-7 mm long, glabrous, acu¬minate.",general,ref_wfo-0000566595,English,103345
wfo-0000703444,"Plants 2.5-3.0 cm long. Roots slender. Leaves 0.8-4.0 cm long, linear lanceolate to spathulate, with raphides on the undersurface. Sepals ovate, c. 1.8 mm long, persistent, margin white. Stamens 5, alternating with the sepals, less than 1 mm long; filaments dilated at the base. Carpel c. 1 mm long; ovary sub-globose, styles 5, free, lateral. Fruit parts with wall more or less fimbriate and with raphides. Seeds c. 1 mm long, minutely punctate, shiny.",general,ref_wfo-0000703444,English,700003
wfo-0000432991,"Stem prostrate, diffuse, papillose. Leaves 6-15 mm long, 2.5-6 mm broad, oblong ovate to elliptic ovate; petiole 2-5 mm long. Flowers axillary, solitary or 2-3, sessile. Calyx campanulate, prominently nerved; sepals 3 mm long, up to 4.5 mm in fruit, ovate, aristate. Stamens 5-7, alternating with the sepals; filament c. 1.2 mm long, dilated at the base. Ovary sub-globose, c.1.8 mm long, style c. 1 mm long, persistent. Pyxidium up to 5.5 mm long, lid 2.5-3 mm long, conoid, amphora 13-20 seeded. Seeds 1 mm long, rugose, black.",general,ref_wfo-0000432991,English,700294
wfo-0000626342,"A small glabrous, evergreen undershrub, up to 1 (-1.5) m tall with terete branchlets. Leaves crowded near the spike, on 1-4 cm long petiole; lamina ovate-elliptic to lanceolate-oblong, 5-10 x 2-5 cm, basally attenuate, glabrous, margin undulate-crenate, acute at tips. Spikes dense, terminal and axillary, up to 15 cm long. Flowers bright orange-scarlet with yellow throat; bracts lanceolate, 12-15 x 4-5 mm, mucronate, glandular-pubescent to glabrescent; bracteoles linear-lanceolate, hairy, mucronate. Calyx lobes hairy, lanceolate, 7-9 mm long, outer 2 obtuse or bifid, inner smaller. Corolla tube c. 2.5 cm long, limb c. 1.5 cm long. Stamens inserted at the middle of tube. Ovary 2.5-3 mm long; style filiform, up to 2 cm long, glabrous. Capsule oblong, 10-12 mm long, glabrous. Seeds densely clothed with fringed scales.",general,ref_wfo-0000626342,English,100032
wfo-0001033282,"An erect, up to 1.25 m tall, finely hairy shrublet with cylindrical branches. Leaves on 4-10 mm long petioles; lamina ovate, 5-10 x 4-6 cm, dentate-serrate, acute-acuminate. Flowers pale-blue or white, 3.5-4.0 cm long, solitary, axillary or in small clusters; bracts absent; bracteoles ovate, c. 2.5 cm long, entire, acuminate. Calyx lobes linear-subulate, erect, one a little longer and broader than the rest. Corolla tube cylindrical, hairy within, limb lobes patent, obovate, obtuse, minutely crenulate. Ovary ovoid, glandular above; style shortly hairy, longer than corolla tube. Capsule compressed, shortly stipitate, c. 12 mm long, usually 2-seeded.",general,ref_wfo-0001033282,English,100085
wfo-0001033299,"A prostrate herb with 4-angled, softly pubescent twigs. Leaves with 0.4-2.5 cm long petioles; lamina ovate lanceolate or ovate-elliptic to obovate, 3-9 x 1-3 cm, pointed at both ends, margins crenate, ± pubescent on both sides. Flowers white, in terminal and axillary, soft hairy, upto 4 cm long spikes; bracts ovate or elliptic-ovate, 7-12 x 4-6 mm, 3-nerved, acute; bracteoles ovate-lanceolate, shorter than bracts. Calyx 5-lobed, lobes unequal, not sharp-tipped, softly appressed hairy, outer 2 ovate-lanceolate, longest, inner 2 lobes linear. Corolla pubescent outside, tube c. 4 mm long, upper lip shorter than the lower, 2-lobed, lower lip c. 6 mm long, with 3 obtuse lobes. Stamens included. Ovary globose with c. 4.5 mm long style. Capsule oblong, c. 6 mm long, hairy at the tip, 4-seeded. Seeds suborbicular, c. 1.5 mm across.",general,ref_wfo-0001033299,English,100132
wfo-0000410024,"A large woody climber or twiner with quadrangular, strigose twigs. Leaves with 2-5 (-6) cm long scabrous petiole; lamina ovate or lanceolate-ovate, (6-) 8-15 (-16) x (3-) 4-12 cm, hairy on both sides except the scabrous costa and veins, ± cordate at 3-5-costate base, margins entire or coarsely toothed in the lower half, apically acute to acuminate. Flowers blue or violet with yellow centre, 6-8 cm long, c. 6 cm across, pedicellate, usually in axillary or terminal drooping racemes; bracts free or ± connate, ovate-oblong, 3-3.5 cm x 1.5-2 cm, acute-acuminate. Calyx truncate, velvety-rimmed, purplish. Corolla glabrous, tube 3-4.5 cm long, abruptly contracted near the base, lobes ± equal, patent, 3-4 cm long, obtuse. Stamens inserted at the throat, filaments flattened, anthers oblong, bithecous, anterior anthem with a single spur, posterior ones with 2, sharply curved spurs. Ovary glabrous. Capsule globular, contracted into a stout, c. 2 cm long flat beak.",general,ref_wfo-0000410024,English,100139
wfo-0000560485,"A much branched shrub armed with (1-) 2-4, greyish-white, 1-2 cm long sharp, axillary spines. Leaves on 0-2.5 cm long petiole; lamina elliptic or ovate-elliptic to obovate, (4-) 6-12 (-17) x 2-5 (-6) cm, sparsely pubescent beneath, scabrid-lineolate above, attenuate, entire, ciliate, bristly acuminate. Flowers large, golden-yellow, up to 7 cm long, often sessile and solitary lower leaf-axils, in short terminal spikes above; bracts oblong or oblong-lanceolate, 1-2.5 cm x 3-5 mm, keeled, glabrous or sparsely hairy on keel, acute, spine-tipped; bracteoles linear-subulate, 10-20 mm long, spinescent. Calyx lobes spine-tipped, outer 2 lobes broadly oblanceolate, 1.5-1.7 cm long, acuminate, glabrous, inner ones narrowly ovate-lanceolate, 10-12 mm long, mucronate; Corolla c. 1.5 cm across, pubescent to glabrous outside, tube 2-2.5 cm long; limb nearly as long as tube, lobes oblong-ovate, obtuse. Fertile stamens 2 with exserted filaments, anthers 2-6 mm long; stminodes 2 with short filaments, included, hairy at insertion. Ovary c. 3.5 mm long; style up to 4 cm long. Capsule ovoid-conical, 1.5-2 cm x 8-10 mm, beaked, 2-seeded. Seeds ± orbicular, c. 6 mm long, 5 mm across, appressed hairy.",general,ref_wfo-0000560485,English,100022
wfo-0000566686,"A prostrate or suberect, much branched herb roothing at nodes. Leaves (3-) 4 in a whorl, unequal, petiole 1-5 mm long; lamina thin, elliptic-ovate to oblanceolate, 2-6 (-8) x 1-2.5 (-3) cm, entire or minutely denticulate, apex acutely apiculate, puberulous above, hairy on nerves below, basally attenuate. Inflorescence usually an axillary cluster of 2-3 flowers, 1-1.5 cm long or solitary. Flowers white to purplish-pink, 1.2-1.8 cm long; bracts in 4 opposite paris, broadly spathulate-obovate 7-8 x 2-4 mm, apex obtuse with up to 4 mm long stiff, reflexed hairy, slender bristles on margins and apex; bracteoles spathulate with 2-5 mm long hairy bristles. Calyx 4-lobed, lobes unequal, ciliate margined, outer lobes 1-1.5 cm long, inner ones 7-8 mm long, all sharp-pointed. Corolla tube urceolate, c. 4 mm long, pubescent, upper lip absent, lower lip c. 1.2-1.4 cm long, obscurely lobed. Stamens 4, filaments c. 4.5 mm long, glabrous, anthers oblong, c. 3 mm long. Style c. 7 mm long. Capsule ovoid, 6-7 mm long, shining. Seeds 2, ± orbicular, flattened, c. 4 x 3.5 mm.",general,ref_wfo-0000566686,English,100027
wfo-0000354710,"An erect, up to 45 cm, much branched, basally woody herb with glabrous or ± pubescent, 4-angled branches. Leaves with 1-4 (-6) mm long petiole; lamina linear or lanceolate to elliptic-lanceolate, 2.5-6 cm x (3-) 5-15 (-18) mm, sparsely hairy on both sides, entire, subacute. Inflorescence an axillary or terminal, 2.5-15 (-20) cm long, c. 5-10 mm across spike. Flowers mostly purple, c. 10 mm long, sessile; bracts narrowly ovate, 5-6 mm x c. 2 mm, with membranus ciliated margins; bracteoles linear-lanceolate, smaller than the calyx, hairy. Calyx 4-lobed nearly to the base, lobes lanceolate, 5-6 mm long subequal, acute, scarious and ciliated on margins. Corolla tube funnel-shaped, c. 4 mm long, pubescent outside; upper, patent, 3-lobed. Filaments glabrous, c. 4 mm long, hairy at base. Ovary sparsely hairy at apex; style filiform, hairy in the lower half. Capsule oblong, c. 5 mm long, ± 4-angled, hairy towards the apex, mucronate. Seeds ± concentric, papillate-rugose.",general,ref_wfo-0000354710,English,100074
wfo-0001033279,"An erect, up to 1.2 m, glabrous shrublet with stout, obtusely 4-angled, opposite branches. Leaves on c. 5-6 mm long petioles; lamina ± fleshy, oblong-elliptic, 10-15 x 3-7 cm, glabrous, ± acute, entire, basally attenuate to petiole inflorescence a dense, terminal, 5-9 cm long spike. Flowers white with red spots, subsessile, c. 1.8 cm long; bracts imbricated, elliptic-orbicular, 8-12 mm long and broad, puberulous; bracteoles 2, opposite, subulate, 3-4 mm long, puberulous. Calyx 5-lobed, lobes erect, subulate-lanceolate, as long as bracteoles. Corolla tube cylindrical, pubescent outside; upper lip oblong, shorter than tube, ± notched; lower lip ± ovate-oblong, reflexed-patent, shortly 3-lobed. Staminal filaments white, filiform, hairy; anther lobes dimorphic, one oblong, the other hemisphaerical-ovate. Style filiform, white. Capsule oblong, 8-10 mm long, pubescent.",general,ref_wfo-0001033279,English,100075
wfo-0000524796,"A perennial with slender roots. Stem woody, papillose to velutinous. Leaves spathulate, up to 8 cm long, 5-9 mm broad. Flowers axillary solitary, sessile, c. 2.5 mm long. Sepals 5, ovate, c. 2 mm long, velutinous, persistent. Stamens usually 20, poly-adelphous, the groups alternating with the sepals; filaments c. 1 mm long. Styles 5, free, c. 1 mm long, papillose, linear, persistent. Capsule c. 4.5 mm broad, 5 angled, papillose. Seeds c. 0.9 mm long, ribbed, black, shiny.",general,ref_wfo-0000524796,English,700374
wfo-0000371473,"A procumbent annual with a characteristic covering of glistening papil¬lae. Leaves 3-8 cm long, 5-20 mm broad, more or less spathulate, succulent. Flowers solitary, terminal, pinkish red; pedicel up to 11 cm long. Sepals 5, ovate, persistent. Petals linear, up to 2 cm long, longer than the sepals. Outer stamens petaloid staminodes. Capsule star shaped on dehiscing.",general,ref_wfo-0000371473,English,703725
